symbol,config,train_trades,train_pf,train_pnl,val_trades,val_pf,val_pnl,train_wr,val_wr
EUR_USD,swp12_rej_engul_rr1.5,34,1.105,8.3,19,1.338,22.5,0.353,0.579
EUR_USD,swp12_rej_engul_rr2.0,34,1.474,37.32,19,1.616,43.11,0.353,0.526
EUR_USD,swp12_rej_engul_rr3.0,34,2.211,95.37,19,2.424,99.66,0.353,0.526
EUR_USD,swp12_rej_ob_re_rr1.5,34,1.105,8.3,19,1.338,22.5,0.353,0.579
EUR_USD,swp12_rej_ob_re_rr2.0,34,1.474,37.32,19,1.616,43.11,0.353,0.526
EUR_USD,swp12_rej_ob_re_rr3.0,34,2.211,95.37,19,2.424,99.66,0.353,0.526
EUR_USD,swp12_eng_engul_rr1.5,25,2.271,44.58,17,0.592,-31.06,0.52,0.353
EUR_USD,swp12_eng_engul_rr2.0,25,3.028,71.13,17,0.432,-50.04,0.52,0.235
EUR_USD,swp12_eng_engul_rr3.0,25,4.542,124.23,17,0.647,-31.04,0.52,0.235
EUR_USD,swp12_eng_ob_re_rr1.5,25,2.271,44.58,17,0.592,-31.06,0.52,0.353
EUR_USD,swp12_eng_ob_re_rr2.0,25,3.028,71.13,17,0.432,-50.04,0.52,0.235
EUR_USD,swp12_eng_ob_re_rr3.0,25,4.542,124.23,17,0.647,-31.04,0.52,0.235
GBP_USD,swp12_rej_engul_rr1.5,35,1.835,84.01,19,1.832,34.1,0.571,0.474
GBP_USD,swp12_rej_engul_rr2.0,35,2.415,142.31,19,1.362,20.1,0.571,0.316
GBP_USD,swp12_rej_engul_rr3.0,35,1.789,110.52,19,2.043,57.9,0.457,0.316
GBP_USD,swp12_rej_ob_re_rr1.5,35,1.835,84.01,19,1.832,34.1,0.571,0.474
GBP_USD,swp12_rej_ob_re_rr2.0,35,2.415,142.31,19,1.362,20.1,0.571,0.316
GBP_USD,swp12_rej_ob_re_rr3.0,35,1.789,110.52,19,2.043,57.9,0.457,0.316
GBP_USD,swp12_eng_engul_rr1.5,23,1.614,49.38,9,0.24,-36.07,0.609,0.222
GBP_USD,swp12_eng_ob_re_rr1.5,23,1.614,49.38,9,0.24,-36.07,0.609,0.222
USD_JPY,swp12_rej_engul_rr1.5,35,1.116,426.35,13,5.125,2287.85,0.457,0.769
USD_JPY,swp12_rej_engul_rr2.0,35,1.482,1766.35,13,3.027,2002.24,0.457,0.615
USD_JPY,swp12_rej_engul_rr3.0,35,1.668,2769.73,13,2.672,2252.69,0.4,0.462
USD_JPY,swp12_rej_ob_re_rr1.5,35,1.116,426.35,13,5.125,2287.85,0.457,0.769
USD_JPY,swp12_rej_ob_re_rr2.0,35,1.482,1766.35,13,3.027,2002.24,0.457,0.615
USD_JPY,swp12_rej_ob_re_rr3.0,35,1.668,2769.73,13,2.672,2252.69,0.4,0.462
USD_JPY,swp12_eng_engul_rr1.5,22,2.03,1830.54,11,0.779,-340.13,0.591,0.364
USD_JPY,swp12_eng_engul_rr2.0,22,1.785,1763.53,11,1.039,59.87,0.5,0.364
USD_JPY,swp12_eng_engul_rr3.0,22,1.317,964.13,11,1.021,37.48,0.318,0.273
USD_JPY,swp12_eng_ob_re_rr1.5,22,2.03,1830.54,11,0.779,-340.13,0.591,0.364
USD_JPY,swp12_eng_ob_re_rr2.0,22,1.785,1763.53,11,1.039,59.87,0.5,0.364
USD_JPY,swp12_eng_ob_re_rr3.0,22,1.317,964.13,11,1.021,37.48,0.318,0.273
AUD_USD,swp12_rej_engul_rr2.0,39,1.484,48.48,13,0.911,-3.24,0.462,0.308
AUD_USD,swp12_rej_ob_re_rr2.0,39,1.484,48.48,13,0.911,-3.24,0.462,0.308
AUD_USD,swp12_eng_engul_rr1.5,20,2.534,52.8,11,4.869,23.3,0.8,0.727
AUD_USD,swp12_eng_engul_rr2.0,20,3.129,77.22,11,3.395,23.1,0.75,0.545
AUD_USD,swp12_eng_engul_rr3.0,20,2.83,84.39,11,2.654,23.0,0.65,0.455
AUD_USD,swp12_eng_ob_re_rr1.5,20,2.534,52.8,11,4.869,23.3,0.8,0.727
AUD_USD,swp12_eng_ob_re_rr2.0,20,3.129,77.22,11,3.395,23.1,0.75,0.545
AUD_USD,swp12_eng_ob_re_rr3.0,20,2.83,84.39,11,2.654,23.0,0.65,0.455
USD_CAD,swp12_rej_engul_rr1.5,27,2.001,62.54,20,1.314,12.34,0.63,0.45
USD_CAD,swp12_rej_engul_rr2.0,27,2.502,97.68,20,1.752,29.54,0.593,0.45
USD_CAD,swp12_rej_engul_rr3.0,27,2.02,90.87,20,2.352,56.13,0.444,0.4
USD_CAD,swp12_rej_ob_re_rr1.5,27,2.001,62.54,20,1.314,12.34,0.63,0.45
USD_CAD,swp12_rej_ob_re_rr2.0,27,2.502,97.68,20,1.752,29.54,0.593,0.45
USD_CAD,swp12_rej_ob_re_rr3.0,27,2.02,90.87,20,2.352,56.13,0.444,0.4
USD_CAD,swp12_eng_engul_rr1.5,25,1.953,44.27,10,0.311,-21.42,0.6,0.2
USD_CAD,swp12_eng_engul_rr2.0,25,2.261,63.86,10,0.415,-18.19,0.52,0.2
USD_CAD,swp12_eng_engul_rr3.0,25,3.101,111.89,10,0.316,-23.66,0.48,0.1
USD_CAD,swp12_eng_ob_re_rr1.5,25,1.953,44.27,10,0.311,-21.42,0.6,0.2
USD_CAD,swp12_eng_ob_re_rr2.0,25,2.261,63.86,10,0.415,-18.19,0.52,0.2
USD_CAD,swp12_eng_ob_re_rr3.0,25,3.101,111.89,10,0.316,-23.66,0.48,0.1
XAU_USD,swp12_rej_engul_rr1.5,34,1.545,1838.1,15,2.874,1956.24,0.529,0.667
XAU_USD,swp12_rej_engul_rr2.0,34,1.261,1099.04,15,3.832,2956.24,0.412,0.667
