symbol,sweep_lookback_hours,h1_confirmation,rr,trades,wins,win_rate,pf,pnl,max_dd_pct
XAU_USD,12,rejection_wick,1.5,192,86,0.4479,1.093,2166.12,38.23
XAU_USD,12,rejection_wick,2.0,192,72,0.375,1.07,1867.67,51.27
XAU_USD,12,rejection_wick,3.0,192,60,0.3125,1.215,6278.1,43.2
XAU_USD,12,engulf,1.5,135,66,0.4889,1.29,4399.09,19.9
XAU_USD,12,engulf,2.0,135,61,0.4519,1.482,7818.83,29.39
XAU_USD,12,engulf,3.0,135,49,0.363,1.527,9953.52,33.49
XAU_USD,24,rejection_wick,1.5,70,32,0.4571,1.149,1246.9,35.45
XAU_USD,24,rejection_wick,2.0,70,28,0.4,1.217,1997.19,35.45
XAU_USD,24,rejection_wick,3.0,70,23,0.3286,1.339,3494.42,40.78
XAU_USD,24,engulf,1.5,48,18,0.375,0.825,-1145.62,26.66
XAU_USD,24,engulf,2.0,48,16,0.3333,0.918,-574.59,28.53
XAU_USD,24,engulf,3.0,48,14,0.2917,1.131,974.41,36.8
BCO_USD,12,rejection_wick,1.5,137,46,0.3358,0.497,-13373.52,68.19
BCO_USD,12,rejection_wick,2.0,137,36,0.2628,0.455,-16291.37,74.11
BCO_USD,12,rejection_wick,3.0,137,31,0.2263,0.557,-13848.84,69.86
BCO_USD,12,engulf,1.5,102,37,0.3627,0.579,-7852.88,65.13
BCO_USD,12,engulf,2.0,102,31,0.3039,0.591,-8304.59,61.08
BCO_USD,12,engulf,3.0,102,28,0.2745,0.768,-4902.39,59.72
BCO_USD,24,rejection_wick,1.5,58,23,0.3966,0.649,-3525.36,38.38
BCO_USD,24,rejection_wick,2.0,58,19,0.3276,0.637,-4043.96,39.55
BCO_USD,24,rejection_wick,3.0,58,19,0.3276,0.956,-493.96,34.98
BCO_USD,24,engulf,1.5,38,15,0.3947,0.659,-2246.23,32.85
BCO_USD,24,engulf,2.0,38,12,0.3158,0.615,-2882.73,32.68
BCO_USD,24,engulf,3.0,38,11,0.2895,0.811,-1467.23,32.34
