name,rule,knowable_at_entry,n,n_dropped,baseline_pf,filtered_pf,baseline_r,filtered_r,delta_r,dropped_pnl_usd,dollars_saved,pos_years,filtered_wr,n_early_cut,delta_r_vs_db
A_skip_worst1_utc_hours,entry_utc_hour NOT IN [22],True,27355,595.0,1.516,1.526,8279.2,8243.7,-35.5,9423.0,-9423.0,21/21,49.04,,
A_skip_worst2_utc_hours,"entry_utc_hour NOT IN [5, 22]",True,26616,1334.0,1.516,1.54,8279.2,8182.1,-97.1,21687.0,-21687.0,21/21,49.35,,
A_skip_worst3_utc_hours,"entry_utc_hour NOT IN [1, 5, 22]",True,25920,2030.0,1.516,1.551,8279.2,8100.8,-178.4,39177.0,-39177.0,21/21,49.44,,
A_skip_worst4_utc_hours,"entry_utc_hour NOT IN [1, 5, 20, 22]",True,24459,3491.0,1.516,1.576,8279.2,7967.8,-311.4,55306.0,-55306.0,21/21,49.6,,
A_skip_worst5_utc_hours,"entry_utc_hour NOT IN [1, 3, 5, 20, 22]",True,23709,4241.0,1.516,1.586,8279.2,7834.3,-444.9,73990.0,-73990.0,21/21,49.78,,
A_skip_worst6_utc_hours,"entry_utc_hour NOT IN [1, 3, 5, 6, 20, 22]",True,22942,5008.0,1.516,1.597,8279.2,7693.9,-585.3,89881.0,-89881.0,21/21,49.98,,
A_skip_worst8_utc_hours,"entry_utc_hour NOT IN [1, 3, 5, 6, 20, 21, 22, 23]",True,21591,6359.0,1.516,1.609,8279.2,7348.5,-930.7,129393.0,-129393.0,21/21,50.29,,
A_skip_utc_hours_avgR_lt_0.15,"entry_utc_hour NOT IN [1, 5, 19, 20, 22]",True,23008,4942.0,1.516,1.594,8279.2,7754.7,-524.5,75144.0,-75144.0,21/21,49.6,,
A_skip_worst1_ny_hours,ny_hr NOT IN [17],True,27751,199.0,1.516,1.521,8279.2,8283.3,4.1,743.0,-743.0,21/21,49.01,,
A_skip_worst2_ny_hours,"ny_hr NOT IN [1, 17]",True,27001,949.0,1.516,1.534,8279.2,8224.1,-55.1,16506.0,-16506.0,21/21,49.31,,
A_skip_worst3_ny_hours,"ny_hr NOT IN [1, 17, 18]",True,26197,1753.0,1.516,1.546,8279.2,8132.0,-147.2,32884.0,-32884.0,21/21,49.46,,
A_skip_worst4_ny_hours,"ny_hr NOT IN [1, 17, 18, 22]",True,25438,2512.0,1.516,1.555,8279.2,8009.6,-269.6,44332.0,-44332.0,21/21,49.56,,
B_skip_within15m_after_session_boundary,"NOT (0 <= mins_utc - boundary < 15) for boundary in {420,780,960,1260,1380}",True,26613,1337.0,1.516,1.5,8279.2,7661.0,-618.2,66033.0,-66033.0,21/21,48.76,,
B_skip_within15m_around_session_boundary,"NOT (|mins_utc - boundary| < 15) for boundary in {420,780,960,1260,1380}",True,26613,1337.0,1.516,1.5,8279.2,7661.0,-618.2,66033.0,-66033.0,21/21,48.76,,
B_skip_within30m_after_session_boundary,"NOT (0 <= mins_utc - boundary < 30) for boundary in {420,780,960,1260,1380}",True,25137,2813.0,1.516,1.488,8279.2,7074.3,-1204.9,123344.0,-123344.0,21/21,48.7,,
B_skip_within30m_around_session_boundary,"NOT (|mins_utc - boundary| < 30) for boundary in {420,780,960,1260,1380}",True,23762,4188.0,1.516,1.484,8279.2,6648.5,-1630.7,170809.0,-170809.0,21/21,48.59,,
B_skip_within60m_after_session_boundary,"NOT (0 <= mins_utc - boundary < 60) for boundary in {420,780,960,1260,1380}",True,22342,5608.0,1.516,1.463,8279.2,6002.5,-2276.7,228913.0,-228913.0,21/21,48.46,,
B_skip_within60m_around_session_boundary,"NOT (|mins_utc - boundary| < 60) for boundary in {420,780,960,1260,1380}",True,18172,9778.0,1.516,1.474,8279.2,5019.9,-3259.3,327968.0,-327968.0,21/21,48.32,,
C_skip_Mon,entry_dayofweek != 0,True,22635,5315.0,1.516,1.521,8279.2,6756.6,-1522.6,150056.0,-150056.0,21/21,48.97,,
C_skip_Tue,entry_dayofweek != 1,True,22305,5645.0,1.516,1.522,8279.2,6704.3,-1574.9,162068.0,-162068.0,21/21,48.95,,
C_skip_Wed,entry_dayofweek != 2,True,22088,5862.0,1.516,1.535,8279.2,6780.0,-1499.2,162357.0,-162357.0,21/21,48.84,,
C_skip_Thu,entry_dayofweek != 3,True,22228,5722.0,1.516,1.498,8279.2,6351.2,-1928.0,203908.0,-203908.0,21/21,48.9,,
C_skip_Fri,entry_dayofweek != 4,True,22682,5268.0,1.516,1.503,8279.2,6544.4,-1734.8,170430.0,-170430.0,21/21,48.93,,
C_skip_worst_dow_Sat,entry_dayofweek != 5,True,27949,1.0,1.516,1.516,8279.2,8280.4,1.2,-80.0,80.0,21/21,48.92,,
D_skip_fri_from_16utc,NOT (dayofweek==4 AND entry_utc_hour >= 16),True,26455,1495.0,1.516,1.52,8279.2,7905.2,-374.0,31092.0,-31092.0,21/21,48.94,,
D_skip_fri_from_18utc,NOT (dayofweek==4 AND entry_utc_hour >= 18),True,27012,938.0,1.516,1.518,8279.2,8031.9,-247.3,21108.0,-21108.0,21/21,48.95,,
D_skip_fri_from_19utc,NOT (dayofweek==4 AND entry_utc_hour >= 19),True,27295,655.0,1.516,1.52,8279.2,8137.7,-141.5,12694.0,-12694.0,21/21,48.98,,
D_skip_fri_from_20utc,NOT (dayofweek==4 AND entry_utc_hour >= 20),True,27568,382.0,1.516,1.516,8279.2,8162.4,-116.8,11205.0,-11205.0,21/21,48.96,,
D_skip_fri_from_21utc,NOT (dayofweek==4 AND entry_utc_hour >= 21),True,27861,89.0,1.516,1.516,8279.2,8252.9,-26.3,2265.0,-2265.0,21/21,48.95,,
E_maxhold_K6m5_X0.0R,exit at bar K=6 close if MFE < 0.0R and partial not taken (causal per-bar),True,27950,,1.516,1.393,8279.2,6291.4,0.0,,,21/21,48.3,0.0,-1987.8
E_maxhold_K6m5_X0.5R,exit at bar K=6 close if MFE < 0.5R and partial not taken (causal per-bar),True,27950,,1.516,0.96,8279.2,-495.8,-6787.1,,,11/21,32.09,15208.0,-8775.0
E_maxhold_K12m5_X0.0R,exit at bar K=12 close if MFE < 0.0R and partial not taken (causal per-bar),True,27950,,1.516,1.393,8279.2,6291.4,0.0,,,21/21,48.3,0.0,-1987.8
E_maxhold_K12m5_X0.5R,exit at bar K=12 close if MFE < 0.5R and partial not taken (causal per-bar),True,27950,,1.516,1.138,8279.2,1842.2,-4449.1,,,13/21,37.57,10930.0,-6437.0
E_maxhold_K24m5_X0.0R,exit at bar K=24 close if MFE < 0.0R and partial not taken (causal per-bar),True,27950,,1.516,1.393,8279.2,6291.4,0.0,,,21/21,48.3,0.0,-1987.8
E_maxhold_K24m5_X0.5R,exit at bar K=24 close if MFE < 0.5R and partial not taken (causal per-bar),True,27950,,1.516,1.26,8279.2,3702.3,-2589.0,,,18/21,41.96,6929.0,-4576.8
E_maxhold_K48m5_X0.0R,exit at bar K=48 close if MFE < 0.0R and partial not taken (causal per-bar),True,27950,,1.516,1.393,8279.2,6291.4,0.0,,,21/21,48.3,0.0,-1987.8
E_maxhold_K48m5_X0.5R,exit at bar K=48 close if MFE < 0.5R and partial not taken (causal per-bar),True,27950,,1.516,1.331,8279.2,4993.9,-1297.5,,,21/21,45.17,3661.0,-3285.3
