n,sumR,deltaR,pf,wr,combo,depth
22333,7182.2,-1097.0,1.598,52.7,impulse_ge_q20,1
23359,7147.6,-1131.6,1.525,48.3,near_key_level,1
22682,6544.4,-1734.8,1.503,48.9,dow_not_fri,1
22187,6509.1,-1770.1,1.519,50.2,retr_0.4_0.7,1
19541,6328.5,-1950.7,1.616,53.8,impulse_ge_q20 & impulse_ge_q30,2
19541,6328.5,-1950.7,1.616,53.8,impulse_ge_q30,1
18366,6120.8,-2158.4,1.611,52.2,impulse_ge_q20 & near_key_level,2
16843,6006.7,-2272.5,1.652,51.4,atrpct_0.4_1.0,1
17749,5764.5,-2514.7,1.613,53.9,impulse_ge_q20 & retr_0.4_0.7,2
18179,5659.3,-2619.9,1.579,52.7,impulse_ge_q20 & dow_not_fri,2
19048,5638.0,-2641.2,1.509,48.4,dow_not_fri & near_key_level,2
18547,5575.8,-2703.4,1.523,49.6,retr_0.4_0.7 & near_key_level,2
19679,5543.7,-2735.5,1.511,51.7,retr_0.3_0.6,1
16750,5527.0,-2752.2,1.641,54.6,impulse_ge_q20 & impulse_ge_q40,2
16750,5527.0,-2752.2,1.641,54.6,impulse_ge_q30 & impulse_ge_q40,2
16750,5527.0,-2752.2,1.641,54.6,impulse_ge_q40,1
15906,5289.5,-2989.7,1.624,53.3,impulse_ge_q30 & near_key_level,2
17957,5147.7,-3131.5,1.508,50.2,retr_0.4_0.7 & dow_not_fri,2
14056,5111.0,-3168.2,1.654,50.8,atrpct_0.4_1.0 & near_key_level,2
15538,5050.7,-3228.5,1.625,54.8,impulse_ge_q30 & retr_0.4_0.7,2
17193,5044.8,-3234.4,1.531,51.8,retr_0.3_0.6 & retr_0.4_0.7,2
15925,5032.6,-3246.6,1.602,53.9,impulse_ge_q30 & dow_not_fri,2
15958,4995.2,-3284.0,1.602,54.7,impulse_ge_q20 & retr_0.3_0.6,2
15081,4892.2,-3387.0,1.584,50.7,atrpct_0.3_0.9,1
15383,4855.5,-3423.7,1.526,46.2,retr_0.5_0.8,1
13271,4840.9,-3438.3,1.706,54.4,impulse_ge_q20 & atrpct_0.4_1.0,2
13958,4793.4,-3485.8,1.679,55.1,impulse_ge_q20 & impulse_ge_q50,2
13958,4793.4,-3485.8,1.679,55.1,impulse_ge_q40 & impulse_ge_q50,2
13958,4793.4,-3485.8,1.679,55.1,impulse_ge_q30 & impulse_ge_q50,2
13958,4793.4,-3485.8,1.679,55.1,impulse_ge_q50,1
16418,4783.3,-3495.9,1.521,51.3,retr_0.3_0.6 & near_key_level,2
13391,4604.5,-3674.7,1.634,52.2,retr_0.4_0.7 & atrpct_0.4_1.0,2
13350,4534.2,-3745.0,1.664,55.4,impulse_ge_q40 & retr_0.4_0.7,2
13522,4530.6,-3748.6,1.64,54.1,impulse_ge_q40 & near_key_level,2
14895,4494.1,-3785.1,1.529,49.4,atrpct_0.2_0.8,1
