n,wr,sum_r,pf,avg_r,pos_yrs,per_yr,base_len,zone_atr,brk_buf,tp_r,delay
29,44.8,2.4,1.12,0.0844,5/10,0.2,10,1.2,0.25,2.5,1
13,38.5,1.0,1.099,0.0762,1/3,0.3,10,0.8,0.1,2.5,1
13,38.5,1.0,1.099,0.0762,1/3,0.3,10,0.8,0.25,2.5,1
35,40.0,-1.6,0.941,-0.0449,6/15,-0.1,10,1.2,0.1,2.5,1
13,38.5,-4.0,0.599,-0.3084,1/3,-1.3,10,0.8,0.1,1.5,1
13,38.5,-4.0,0.599,-0.3084,1/3,-1.3,10,0.8,0.25,1.5,1
29,48.3,-4.5,0.765,-0.1551,5/10,-0.4,10,1.2,0.25,1.5,1
35,42.9,-9.5,0.624,-0.2719,5/15,-0.6,10,1.2,0.1,1.5,1
147,30.6,-42.2,0.682,-0.2868,5/20,-2.1,6,0.8,0.25,2.5,1
226,31.0,-58.2,0.713,-0.2574,5/21,-2.8,6,0.8,0.1,2.5,1
147,35.4,-62.1,0.497,-0.4222,4/20,-3.1,6,0.8,0.25,1.5,1
226,38.5,-77.3,0.572,-0.3419,2/21,-3.7,6,0.8,0.1,1.5,1
1943,32.3,-425.5,0.746,-0.219,2/21,-20.3,6,1.2,0.25,2.5,1
1943,40.0,-575.6,0.613,-0.2962,0/21,-27.4,6,1.2,0.25,1.5,1
2940,31.9,-665.8,0.74,-0.2265,1/21,-31.7,6,1.2,0.1,2.5,1
2940,40.0,-871.3,0.615,-0.2964,0/21,-41.5,6,1.2,0.1,1.5,1
0,,,,,,,16,0.8,0.1,1.5,1
0,,,,,,,16,0.8,0.1,2.5,1
0,,,,,,,16,0.8,0.25,1.5,1
0,,,,,,,16,0.8,0.25,2.5,1
0,,,,,,,16,1.2,0.1,1.5,1
0,,,,,,,16,1.2,0.1,2.5,1
0,,,,,,,16,1.2,0.25,1.5,1
0,,,,,,,16,1.2,0.25,2.5,1
