month,trades,net_r
2022-01,5,2.61796341433947
2022-02,15,7.308778856783453
2022-03,28,10.129363157009262
2022-04,11,-1.6070988273504683
2022-05,14,6.083002799186787
2022-06,4,2.8887013051197887
2022-07,3,-0.39688513011635795
2022-08,9,0.33016570893047503
2022-09,13,0.7190160950595506
2022-10,7,3.7557969077302444
2022-11,10,0.8475583992115456
2022-12,6,-0.9221053082744696
2023-01,14,-1.8447048393888679
2023-02,12,1.5683306514944153
2023-03,17,9.63058103868862
2023-04,12,7.10920065952542
2023-05,10,0.023199028672738153
2023-06,8,-3.0719736364846244
2023-07,5,-1.0197691679464784
2023-08,4,0.31371004542746067
2023-09,2,0.2259589908423948
2023-10,11,-1.8764478029061187
2023-11,6,-2.1477649365153537
2023-12,5,-1.9849788765564935
2024-01,2,-0.12042809555404332
2024-02,3,1.75631627027628
2024-03,11,0.7562434294304775
2024-04,32,10.688331134382452
2024-05,16,4.560488774310687
2024-06,17,1.622690082732487
2024-07,21,6.010198416912537
2024-08,26,13.461615013581461
2024-09,12,1.5376563703422976
2024-10,14,6.014007829278305
2024-11,30,4.3016014798206
2024-12,13,-3.0883805382455622
2025-01,16,5.910319522160531
2025-02,15,3.202549292353943
2025-03,22,2.6078795842563895
2025-04,41,25.483357488501003
2025-05,25,5.4121439311290604
2025-06,32,6.412964164534572
2025-07,25,16.06616770879263
2025-08,22,0.006108577332854526
2025-09,29,5.161579471667405
2025-10,42,12.906301289597574
2025-11,31,1.3643995599186804
2025-12,36,4.987462786053937
2026-01,35,11.302730296574566
2026-02,33,11.921615740481567
2026-03,38,20.618241204732644
2026-04,40,20.347117783524787
2026-05,43,13.523259818090846
2026-06,29,6.670673132650599
