month,trades,net_r
2022-01,4,-0.169943749695189
2022-02,12,3.1105243055211957
2022-03,27,6.006371168127005
2022-04,17,0.35905136770609125
2022-05,10,4.341148715256808
2022-06,6,3.752257485337852
2022-07,3,-0.4030392774687025
2022-08,7,0.7439576885940428
2022-09,11,-0.5140597318549716
2022-10,9,0.6417786396666596
2022-11,7,-0.9715718401080212
2022-12,4,-0.1759472921530134
2023-01,16,-3.9253801340265317
2023-02,13,2.548830414705826
2023-03,21,9.501846155667181
2023-04,13,6.063153077023501
2023-05,14,1.8560628081191455
2023-06,10,-3.142155482188664
2023-07,6,-2.0525120892387325
2023-08,5,1.2667595893373156
2023-09,3,1.1882671663786057
2023-10,13,0.052543794723945325
2023-11,7,-1.18210503430287
2023-12,9,-2.160369448919436
2024-01,2,-0.12042809555404332
2024-02,5,1.6724783201647608
2024-03,12,-0.2802465792576183
2024-04,35,9.603011944778633
2024-05,18,4.505382995128862
2024-06,19,1.5344964835916395
2024-07,23,5.924557969472887
2024-08,32,13.246674215312042
2024-09,12,1.5376563703422976
2024-10,15,6.980967142032009
2024-11,35,1.125703779008711
2024-12,19,2.667509758901974
2025-01,19,8.803232910917313
2025-02,22,3.939103682955875
2025-03,26,2.483602555761771
2025-04,57,35.131467444238616
2025-05,36,4.118150551324414
2025-06,41,11.118740221397637
2025-07,39,13.511465230863488
2025-08,27,0.8068008908742258
2025-09,38,9.827835978293653
2025-10,62,8.577017961964494
2025-11,46,-0.043245139544374145
2025-12,45,1.7474599543269302
2026-01,52,10.029907682480761
2026-02,52,14.692199524403184
2026-03,59,25.32047071838021
2026-04,52,20.083045900236396
2026-05,68,17.911000352817414
2026-06,36,3.558069235668582
