zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned
39,15min,m15_2c_1atr,supply,1338.4,1336.55,2019-06-12 13:15:00+00:00,2019-06-12 11:00:00+00:00,2019-06-12 12:00:00+00:00,2019-06-12 13:00:00+00:00,2,1.3546762589928576,0.9316546762590784,0.1351351351351251,2019-06-12 19:00:00+00:00,2019-06-12 20:00:00+00:00,1332.54,1338.9228571428573,6.382857142857347,5.75,True,273,274,0,1332.56,0.6315789473684525,0.1175022381378655,1.0199194270366714,-7.893017009847571,-1.0,stop,2019,2019-06,2019-06-12,0.0470008952551462,-1.0470008952551462,0.03-0.05R,1,1,1,1.0,9,4,2,1.0,5,4,1.0,12,4,1.0,True,True,True,True,True,11,5,33,7,False,16,Wednesday,ny_main,bull,0.3251748251748251,low,missing,below,,0.8303030303030562,-0.2574778371926887,0.1433667788126612,False,unknown,unknown,False,False,,,True,True,0.3392330383480773,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True
59,15min,m15_2c_1atr,demand,1384.98,1381.45,2019-06-20 19:15:00+00:00,2019-06-20 16:00:00+00:00,2019-06-20 17:00:00+00:00,2019-06-20 19:00:00+00:00,3,1.2723178381856064,0.7949171626186309,0.2776203966005738,2019-06-21 10:00:00+00:00,2019-06-21 14:00:00+00:00,1394.75,1380.1101428571428,14.63985714285718,14.75,True,428,429,3,1394.76,0.4620853080568701,3.025302744952614,0.8832053396305605,-0.0963124152265395,1.0,tp1,2019,2019-06,2019-06-21,0.020492003239688,0.979507996760312,<=0.03R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,3,3,1.0,True,True,True,True,True,9,7,9,7,True,10,Friday,london_ny_overlap,bull,0.7029478458049887,high,missing,inside,,0.3595505617977798,0.2654669472989118,0.5940060856544422,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
76,15min,m15_2c_1atr,supply,1407.81,1406.07,2019-06-27 10:15:00+00:00,2019-06-27 08:00:00+00:00,2019-06-27 09:00:00+00:00,2019-06-27 10:00:00+00:00,2,1.3585726718885462,0.5300261096605794,0.1666666666666449,2019-06-27 13:00:00+00:00,2019-06-27 16:00:00+00:00,1401.08,1408.5421428571428,7.462142857142908,2.75,True,522,523,2,1401.07,0.4771689497716972,0.1380300564755386,1.1310424045180432,-1.644299798985341,-1.0,stop,2019,2019-06,2019-06-27,0.0402029290705462,-1.0402029290705463,0.03-0.05R,5,2,2,1.0,11,4,2,1.0,3,1,0.6896551724138157,7,4,1.0,True,True,True,True,True,11,7,25,7,False,12,Thursday,ny_main,bull,0.476,mid,missing,below,,0.5907258064516214,-0.2715907945294032,-0.852503893627775,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
159,15min,m15_2c_1atr,demand,1459.0,1455.94,2019-08-05 15:15:00+00:00,2019-08-05 12:00:00+00:00,2019-08-05 13:00:00+00:00,2019-08-05 15:00:00+00:00,3,1.1902424942263563,0.618360277136252,0.1601307189542541,2019-08-05 18:00:00+00:00,2019-08-05 19:00:00+00:00,1463.59,1454.9434285714287,8.646571428571178,2.75,True,1142,1143,0,1463.48,0.2032281731474692,8.263390939431233,0.8269173578297012,4.253709149786989,1.0,tp1,2019,2019-08,2019-08-05,0.0346958331956524,0.9653041668043476,0.03-0.05R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,3,3,1.0,True,True,True,True,True,9,7,9,7,True,15,Monday,ny_main,bull,0.842,high,missing,above,,0.7833333333333162,0.689868830714237,1.9599768275506344,False,unknown,unknown,False,False,,,False,False,,True,False,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
177,15min,m15_2c_1atr,supply,1522.17,1520.18,2019-08-15 09:15:00+00:00,2019-08-15 07:00:00+00:00,2019-08-15 08:00:00+00:00,2019-08-15 09:00:00+00:00,2,1.2325581395348613,0.355992844364939,0.1306532663316531,2019-08-15 12:00:00+00:00,2019-08-15 15:00:00+00:00,1515.09,1523.2554285714286,8.16542857142872,2.75,True,1322,1323,2,1515.08,0.4986175115207386,0.7507260575947092,1.458588474054359,-1.4096014556142356,-1.0,stop,2019,2019-08,2019-08-15,0.0367402638300843,-1.0367402638300844,0.03-0.05R,3,3,2,1.0,3,3,2,1.0,1,1,1.0,1,1,1.0,True,True,True,True,True,5,5,5,5,False,11,Thursday,london_ny_overlap,bull,0.776,high,missing,below,,0.4072900158478539,-0.7976399450080681,-0.7442839522025757,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
178,15min,m15_2c_1atr,demand,1515.22,1510.21,2019-08-15 12:15:00+00:00,2019-08-15 10:00:00+00:00,2019-08-15 11:00:00+00:00,2019-08-15 12:00:00+00:00,2,1.1767540751240426,0.9941885187810084,0.2954091816367307,2019-08-15 14:00:00+00:00,2019-08-15 18:00:00+00:00,1518.68,1509.047142857143,9.63285714285712,1.75,True,1325,1326,3,1518.77,0.513888888888892,0.9695981017351266,1.2768797271244237,1.4139107222304532,-1.0,stop,2019,2019-08,2019-08-15,0.0311434079786445,-1.0311434079786446,0.03-0.05R,9,4,2,1.0,9,4,2,1.0,4,3,1.0,4,3,1.0,True,True,True,True,True,17,7,17,7,False,14,Thursday,ny_main,bull,0.842,high,missing,inside,,0.7338308457711589,0.3832986812326169,0.5300519246155913,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
199,15min,m15_2c_1atr,demand,1495.9,1494.49,2019-08-23 12:15:00+00:00,2019-08-23 08:00:00+00:00,2019-08-23 09:00:00+00:00,2019-08-23 12:00:00+00:00,4,1.0396624472573666,0.832911392405102,0.1702127659574434,2019-08-23 13:00:00+00:00,2019-08-23 16:00:00+00:00,1502.38,1493.954,8.426000000000158,0.75,True,1461,1462,2,1502.3,0.698154180238875,6.488250652741375,1.1037265606456217,-1.117968193686197,1.0,tp1,2019,2019-08,2019-08-23,0.0356040826014709,0.964395917398529,0.03-0.05R,5,2,2,1.0,11,4,2,1.0,9,4,1.0,11,4,1.0,True,True,True,True,True,23,7,33,7,True,12,Friday,ny_main,bear,0.202,low,missing,above,,0.6264855687606098,2.366665639745399,2.7651492817824095,False,unknown,unknown,False,False,,,False,False,,False,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
237,15min,m15_2c_1atr,demand,1490.75,1487.76,2019-09-10 10:15:00+00:00,2019-09-10 08:00:00+00:00,2019-09-10 09:00:00+00:00,2019-09-10 10:00:00+00:00,2,1.4437593025727855,0.8900701679778811,0.3311036789297679,2019-09-10 15:00:00+00:00,2019-09-10 16:00:00+00:00,1495.62,1486.8895714285711,8.730428571428547,4.75,True,1733,1734,0,1495.63,0.4546568627450979,0.6116538216091686,1.0022417488914006,1.161455009572446,-1.0,stop,2019,2019-09,2019-09-10,0.0343625742477051,-1.0343625742477052,0.03-0.05R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,5,3,1.0,True,True,True,True,True,9,7,13,7,False,12,Tuesday,ny_main,bear,0.534,mid,missing,above,,0.6795154185021911,0.7617228039449464,0.4637548941185826,False,unknown,unknown,False,False,,,False,False,,True,False,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
241,15min,m15_2c_1atr,demand,1487.93,1486.36,2019-09-11 04:15:00+00:00,2019-09-11 02:00:00+00:00,2019-09-11 03:00:00+00:00,2019-09-11 04:00:00+00:00,2,1.1399107280283125,0.3383099892258316,0.3439490445859282,2019-09-11 16:00:00+00:00,2019-09-11 18:00:00+00:00,1494.54,1485.700857142857,8.83914285714286,11.75,True,1758,1759,1,1494.55,0.5977528089887252,3.355528978246121,1.255777871157503,0.0441219252028428,1.0,tp1,2019,2019-09,2019-09-11,0.0339399424637165,0.9660600575362834,0.03-0.05R,1,1,1,1.0,5,4,2,1.0,4,3,1.0,4,3,1.0,True,True,True,True,True,9,5,13,7,True,14,Wednesday,ny_main,bear,0.229,low,missing,above,,0.1662337662337863,0.45400463139817,0.5994437882512407,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True
305,15min,m15_2c_1atr,demand,1462.3,1459.83,2019-10-01 12:15:00+00:00,2019-10-01 11:30:00+00:00,2019-10-01 11:45:00+00:00,2019-10-01 12:00:00+00:00,2,1.622003687768905,1.0626920712968857,0.2348178137652422,2019-10-01 16:45:00+00:00,2019-10-01 17:05:00+00:00,1474.32,1459.2795714285714,15.040428571428492,4.5,True,2631,2632,3,1474.34,0.8347176079734206,1.5730934718805645,0.1090394460644089,1.5125898768082295,1.0,tp1,2019,2019-10,2019-10-01,0.0199462401337348,0.9800537598662652,<=0.03R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,3,3,1.0,True,True,True,True,True,9,7,9,7,True,13,Tuesday,ny_main,bear,0.626,mid,above,above,1.07804370447452,0.959876543209878,2.6897290545026165,2.9766810898143503,True,value_low_half,mid_volume,False,True,-0.4777124512029471,0.6181818181818182,True,False,0.3459801264679402,True,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True
