zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned
453,15min,m15_2c_1atr,supply,1491.29,1486.18,2019-10-16 16:30:00+00:00,2019-10-16 15:45:00+00:00,2019-10-16 16:00:00+00:00,2019-10-16 16:15:00+00:00,2,1.2529456004011716,1.793431937829011,0.6516634050881056,2019-10-16 16:30:00+00:00,2019-10-16 16:40:00+00:00,1485.39,1491.712,6.321999999999889,0.0,True,5661,5662,1,1485.44,0.4968750000000027,0.4745333755140861,1.1784245491932852,-1.0423916482125963,-1.0,stop,2019,2019-10,2019-10-16,0.0474533375514086,-1.0474533375514086,0.03-0.05R,1,1,1,0.5048923679060622,6,3,2,0.5048923679060622,0,0,0.0,2,2,0.2426614481409067,True,True,True,False,True,1,1,10,7,False,12,Wednesday,ny_main,bear,0.93,high,above,above,0.7877237851662725,0.1154639175257641,-0.263799351147137,0.1695811142552278,True,above_value,mid_volume,False,False,1.183960771907665,0.3666666666666666,False,False,,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True
1488,15min,m15_2c_1atr,supply,1588.51,1585.82,2020-01-31 19:00:00+00:00,2020-01-31 18:15:00+00:00,2020-01-31 18:30:00+00:00,2020-01-31 18:45:00+00:00,2,2.0146947048391395,0.9541423866227702,0.6059479553903628,2020-01-31 19:35:00+00:00,2020-01-31 19:45:00+00:00,1581.89,1588.876,6.985999999999876,0.5833333333333334,True,26204,26205,1,1581.82,0.7936893203883223,0.0085886057830194,1.0062983109075432,0.687088462639603,-1.0,stop,2020,2020-01,2020-01-31,0.0429430289149735,-1.0429430289149737,0.03-0.05R,3,2,1,1.0,6,4,2,1.0,4,4,0.0594795539033749,4,4,0.0594795539033749,True,True,True,True,True,11,7,14,7,False,14,Friday,ny_main,bull,0.94,high,above,above,0.7095260441107673,0.5700325732898719,-0.0018334737067737,0.2015862833182387,True,above_value,mid_volume,False,True,0.4888348124821105,0.3611111111111111,False,False,,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,True
1688,15min,m15_2c_1atr,supply,1647.78,1643.65,2020-02-21 18:15:00+00:00,2020-02-21 17:30:00+00:00,2020-02-21 17:45:00+00:00,2020-02-21 18:00:00+00:00,2,1.056508395017112,1.0438707347896456,0.4479418886198455,2020-02-21 18:15:00+00:00,2020-02-21 18:25:00+00:00,1642.0,1648.1891428571428,6.18914285714277,0.0,True,30280,30281,1,1641.91,0.7665369649805065,0.5897424060567121,1.0437632720893937,-5.184885975440924,-1.0,stop,2020,2020-02,2020-02-21,0.0484719785800025,-1.0484719785800023,0.03-0.05R,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,False,False,False,False,False,0,0,0,0,False,13,Friday,ny_main,bull,1.0,high,above,above,0.4877873563218522,0.3173652694611157,-0.3089514037244835,0.2400043517884834,True,above_value,hvn,False,False,1.9332240790324575,0.7611940298507462,False,False,,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True
1752,15min,m15_2c_1atr,demand,1641.66,1635.62,2020-02-28 00:00:00+00:00,2020-02-27 22:45:00+00:00,2020-02-27 23:00:00+00:00,2020-02-27 23:45:00+00:00,4,1.8638388878987653,1.5070397433612928,0.692052980132439,2020-02-28 01:05:00+00:00,2020-02-28 01:10:00+00:00,1646.46,1635.1561428571426,11.303857142857396,1.0833333333333333,True,31453,31454,0,1646.43,0.7032040472175427,0.2680500966800123,1.027967697498945,-5.40965789174354,-1.0,stop,2020,2020-02,2020-02-28,0.0265396135326747,-1.0265396135326748,<=0.03R,7,4,2,1.0,31,4,2,1.0,12,4,1.0,13,4,1.0,True,True,True,True,True,31,7,57,7,False,20,Thursday,after_hours,bear,0.67,high,below,below,0.9530936302244908,0.8661654135338214,1.2011656885476627,1.0708486474018315,True,below_value,mid_volume,False,False,-0.7174542191666513,0.2708333333333333,False,False,,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
1783,15min,m15_2c_1atr,demand,1596.95,1591.44,2020-03-02 19:15:00+00:00,2020-03-02 18:15:00+00:00,2020-03-02 18:30:00+00:00,2020-03-02 19:00:00+00:00,3,1.487539173257758,1.1511714669452382,0.4791288566242971,2020-03-02 19:20:00+00:00,2020-03-02 19:30:00+00:00,1598.03,1591.057,6.972999999999956,0.0833333333333333,True,31949,31950,1,1598.05,0.5161290322580487,0.4961996271332365,1.0942205650365595,6.384626416176719,-1.0,stop,2020,2020-03,2020-03-02,0.0430230890577946,-1.0430230890577947,0.03-0.05R,7,3,2,0.8566243194192441,7,3,2,0.8566243194192441,1,1,0.1633393829401256,3,2,0.3593466424682434,True,True,True,True,True,9,5,13,7,False,14,Monday,ny_main,bear,0.686,high,below,below,1.3727161997564097,0.6965317919075308,0.563390875506032,0.5055153218063284,True,value_low_half,hvn,False,True,-0.7966441990534735,0.8235294117647058,False,False,,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True
1809,15min,m15_2c_1atr,demand,1640.07,1633.98,2020-03-04 21:45:00+00:00,2020-03-04 20:45:00+00:00,2020-03-04 21:00:00+00:00,2020-03-04 21:30:00+00:00,3,1.0124602980698862,2.0830686537991383,0.6239737274220042,2020-03-04 21:45:00+00:00,2020-03-04 21:50:00+00:00,1640.26,1633.6704285714286,6.589571428571389,0.0,True,32529,32530,0,1640.29,0.6829268292682792,5.214299650963659,0.9439157109718918,5.108071194744986,1.0,tp1,2020,2020-03,2020-03-04,0.0455264812365862,0.9544735187634138,0.03-0.05R,10,4,2,0.8653530377668395,20,4,2,1.0,6,3,1.0,24,4,1.0,True,True,True,True,True,22,7,68,7,True,16,Wednesday,ny_main,bull,0.202,low,below,below,1.9568381430363573,0.5917431192660211,0.2008037228001487,-0.1314471799562173,True,below_value,mid_volume,False,True,-0.8687970169315066,0.7083333333333334,True,True,0.1600318471337579,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True
1854,15min,m15_2c_1atr,demand,1656.05,1649.98,2020-03-10 16:45:00+00:00,2020-03-10 16:00:00+00:00,2020-03-10 16:15:00+00:00,2020-03-10 16:30:00+00:00,2,1.5353118552610938,1.3486748135216542,0.5551894563426941,2020-03-10 16:45:00+00:00,2020-03-10 16:50:00+00:00,1658.82,1649.357142857143,9.462857142857048,0.0,True,33585,33586,0,1658.8,0.4513274336282972,0.3170289855072496,1.333635265700485,-1.1000905797101408,-1.0,stop,2020,2020-03,2020-03-10,0.0317028985507249,-1.031702898550725,0.03-0.05R,4,4,2,0.7775947281713471,7,4,2,1.0,1,1,0.7775947281713471,8,3,0.7990115321251994,True,True,True,True,True,6,5,23,7,False,12,Tuesday,ny_main,bear,0.678,high,below,below,0.8884781269254253,0.5648535564853684,0.2604223003598343,-0.1441398618725111,True,below_value,mid_volume,False,False,-1.0287590579710382,0.4761904761904761,False,False,,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True
1861,15min,m15_2c_1atr,demand,1662.3,1659.02,2020-03-11 09:00:00+00:00,2020-03-11 08:15:00+00:00,2020-03-11 08:30:00+00:00,2020-03-11 08:45:00+00:00,2,1.667472793228479,1.388149939540509,0.939024390243888,2020-03-11 09:00:00+00:00,2020-03-11 09:05:00+00:00,1665.84,1658.6467142857143,7.193285714285594,0.0,True,33768,33769,0,1665.88,0.6359447004608918,0.1112148233471961,1.016225448334766,-3.429587114968359,-1.0,stop,2020,2020-03,2020-03-11,0.041705558755189,-1.041705558755189,0.03-0.05R,7,4,2,0.7256097560976003,20,4,2,1.0,2,1,1.0,9,4,1.0,True,True,True,True,True,11,7,38,7,False,5,Wednesday,asia_late,bear,0.19,low,below,below,1.4957936062815325,0.4654471544715304,0.6369115395490509,1.2933576531791258,True,value_low_half,hvn,False,True,-0.2905487259945041,0.7551020408163265,True,True,0.0664062499999931,True,True,False,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True
1906,15min,m15_2c_1atr,supply,1550.89,1544.37,2020-03-16 07:30:00+00:00,2020-03-16 06:45:00+00:00,2020-03-16 07:00:00+00:00,2020-03-16 07:15:00+00:00,2,1.1394444444444178,1.2677777777778103,0.2423312883435393,2020-03-16 07:45:00+00:00,2020-03-16 07:50:00+00:00,1541.18,1551.5794285714287,10.399428571428643,0.25,True,34581,34582,0,1541.22,0.4797843665768073,8.650475300840649,0.6086872905104564,5.597422935326081,1.0,tp1,2020,2020-03,2020-03-16,0.0288477388867518,0.971152261113248,<=0.03R,6,4,2,0.579754601227006,6,4,2,0.579754601227006,0,0,0.0,0,0,0.0,True,True,True,False,False,6,3,6,3,True,3,Monday,asia_late,bear,0.468,mid,above,above,3.3177809388335566,0.0346420323325832,-0.4781865220834362,-0.495380244973085,True,value_high_half,hvn,True,True,0.0365404692565628,0.9148936170212766,False,False,,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True
2049,15min,m15_2c_1atr,demand,1586.56,1583.64,2020-04-01 09:00:00+00:00,2020-04-01 08:15:00+00:00,2020-04-01 08:30:00+00:00,2020-04-01 08:45:00+00:00,2,1.654681381274448,1.4553221787112125,0.5753424657533991,2020-04-01 09:00:00+00:00,2020-04-01 09:05:00+00:00,1589.48,1583.3375714285714,6.142428571428582,0.0,True,37883,37884,0,1589.46,0.5428571428571779,1.776170430495161,1.4456822569016596,1.2893922831825573,1.0,tp1,2020,2020-04,2020-04-01,0.0488406167872176,0.9511593832127824,0.03-0.05R,2,2,1,0.2602739726027503,2,2,1,0.2602739726027503,0,0,0.0,2,2,1.0,True,True,True,False,True,2,2,6,6,True,5,Wednesday,asia_late,bear,0.056,low,below,below,1.440963855421595,0.7080924855491194,1.004239150606855,1.904210107849664,True,below_value,mid_volume,False,False,-3.1990603995627698,0.6767676767676768,False,False,,True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
