zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped
3,15min,m15_2c_1atr,supply,1341.87,1322.89,2019-02-21 00:15:00+00:00,2019-02-19 00:00:00+00:00,2019-02-20 00:00:00+00:00,2019-02-21 00:00:00+00:00,2,1.5134654471544673,1.6877540650406289,0.7961011591148612,2019-02-22 00:00:00+00:00,2019-02-28 00:00:00+00:00,1319.35,1344.2565714285713,24.906571428571397,23.75,True,40,41,3,1319.76,0.705069124423969,2.129558464203367,1.0310531930758415,-0.9202390648480648,1.0,tp1,2019,2019-02,2019-02-28,0.0120450139378018,0.987954986062198,<=0.03R,0,0,0,0.0,1,1,1,1.0,0,0,0.0,2,2,1.0,False,True,False,False,True,0,0,5,5
5,15min,m15_2c_1atr,demand,1299.14,1290.5,2019-03-13 00:15:00+00:00,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,2019-03-13 00:00:00+00:00,2,1.4031277150303956,0.75065160729801,0.3749999999999967,2019-03-14 00:00:00+00:00,2019-03-18 00:00:00+00:00,1302.27,1288.018,14.251999999999953,23.75,True,52,53,1,1302.02,0.4518218623481672,1.5618860510805546,1.086163345495374,2.709795116474898,1.0,tp1,2019,2019-03,2019-03-18,0.0210496772382824,0.9789503227617176,<=0.03R,0,0,0,0.0,1,1,1,1.0,0,0,0.0,1,1,1.0,False,True,False,False,True,0,0,3,3
6,15min,m15_2c_1atr,demand,1310.38,1292.87,2019-03-20 00:15:00+00:00,2019-03-14 00:00:00+00:00,2019-03-15 00:00:00+00:00,2019-03-20 00:00:00+00:00,4,1.3020996009022978,1.4178957718780858,0.784694460308386,2019-03-21 00:00:00+00:00,2019-03-25 00:00:00+00:00,1312.56,1290.528857142857,22.031142857142868,23.75,True,57,58,1,1313.24,0.5055624227441093,0.5433217912305967,1.0902748057943936,1.2300769041227408,-1.0,stop,2019,2019-03,2019-03-25,0.0136170874995136,-1.0136170874995136,<=0.03R,0,0,0,0.0,1,1,1,1.0,0,0,0.0,2,1,1.0,False,True,False,False,True,0,0,5,5
8,15min,m15_2c_1atr,supply,1324.53,1311.02,2019-03-27 00:15:00+00:00,2019-03-25 00:00:00+00:00,2019-03-26 00:00:00+00:00,2019-03-27 00:00:00+00:00,2,1.0384999706106957,1.111738082642679,0.6868985936343434,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00,1291.11,1327.1417142857142,36.031714285714315,23.75,True,61,62,0,1290.29,0.8110831234256922,0.6882825447423283,1.023542752020048,-1.4104241501534396,-1.0,stop,2019,2019-03,2019-03-29,0.0083259985251088,-1.0083259985251087,<=0.03R,2,2,2,1.0,3,3,2,1.0,4,4,1.0,8,4,1.0,True,True,True,True,True,10,6,19,7
14,15min,m15_2c_1atr,supply,1301.27,1282.02,2019-05-16 00:15:00+00:00,2019-05-13 00:00:00+00:00,2019-05-14 00:00:00+00:00,2019-05-16 00:00:00+00:00,3,1.2256174688769137,1.7941548498768385,0.6337662337662361,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,1277.55,1303.475,25.924999999999955,23.75,True,96,97,0,1277.61,0.6607396870554927,0.3089681774349085,1.1340405014464858,-2.553134040501453,-1.0,stop,2019,2019-05,2019-05-20,0.0115718418514947,-1.0115718418514947,<=0.03R,0,0,0,0.0,3,3,2,1.0,3,3,1.0,4,3,1.0,False,True,False,True,True,6,4,11,7
18,15min,m15_2c_1atr,demand,1323.92,1321.65,2019-06-04 09:15:00+00:00,2019-06-04 06:00:00+00:00,2019-06-04 07:00:00+00:00,2019-06-04 09:00:00+00:00,3,1.591597157862251,0.9817732468334832,0.5726872246696882,2019-06-04 12:00:00+00:00,2019-06-04 14:00:00+00:00,1326.94,1321.1575714285716,5.782428571428454,2.75,True,129,130,1,1326.94,0.7031802120140991,0.0726338414407929,1.1967290065963756,11.451935667169248,-1.0,stop,2019,2019-06,2019-06-04,0.0518813153148712,-1.0518813153148712,0.05-0.10R,3,3,2,1.0,3,3,2,1.0,4,4,1.0,4,4,1.0,True,True,True,True,True,11,7,11,7
20,15min,m15_2c_1atr,supply,1327.13,1324.3,2019-06-04 15:15:00+00:00,2019-06-04 13:00:00+00:00,2019-06-04 14:00:00+00:00,2019-06-04 15:00:00+00:00,2,1.3364978902954077,1.0448312236287534,0.7031802120140991,2019-06-04 16:00:00+00:00,2019-06-04 17:00:00+00:00,1324.2,1327.8117142857143,3.6117142857142426,0.75,True,132,133,0,1324.19,0.1098626716604382,1.0659757930543974,1.1324262321018814,-22.36611027608601,1.0,tp1,2019,2019-06,2019-06-04,0.0830630488094306,0.9169369511905694,0.05-0.10R,5,4,2,1.0,5,4,2,1.0,4,3,1.0,4,3,1.0,True,True,True,True,True,13,7,13,7
21,15min,m15_2c_1atr,demand,1326.14,1320.66,2019-06-04 20:15:00+00:00,2019-06-04 17:00:00+00:00,2019-06-04 18:00:00+00:00,2019-06-04 20:00:00+00:00,3,1.2827758154996431,1.594016206108458,0.5583941605839298,2019-06-04 21:00:00+00:00,2019-06-04 23:00:00+00:00,1326.58,1319.9922857142858,6.587714285714128,0.75,True,138,139,1,1326.6,0.2,3.289456564167154,1.0109728065229668,9.463069783580073,1.0,tp1,2019,2019-06,2019-06-04,0.0455393156091436,0.9544606843908564,0.03-0.05R,9,4,2,1.0,9,4,2,1.0,8,4,1.0,8,4,1.0,True,True,True,True,True,25,7,25,7
23,15min,m15_2c_1atr,demand,1334.31,1331.8,2019-06-05 13:15:00+00:00,2019-06-05 11:00:00+00:00,2019-06-05 12:00:00+00:00,2019-06-05 13:00:00+00:00,2,2.422381635581073,1.008321377331426,0.3067729083665277,2019-06-05 14:00:00+00:00,2019-06-05 15:00:00+00:00,1335.0,1331.1225714285713,3.877428571428709,0.75,True,153,154,0,1334.95,0.7118320610687046,2.341758160783923,2.05806499152598,18.47358337631652,1.0,tp1,2019,2019-06,2019-06-05,0.0773708643430817,0.9226291356569184,0.05-0.10R,1,1,1,1.0,1,1,1,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,5,5,5,5
25,15min,m15_2c_1atr,demand,1331.99,1330.38,2019-06-06 10:15:00+00:00,2019-06-06 07:00:00+00:00,2019-06-06 08:00:00+00:00,2019-06-06 10:00:00+00:00,3,1.7965779467680567,0.7141951837768948,0.3478260869565094,2019-06-07 09:00:00+00:00,2019-06-07 11:00:00+00:00,1335.41,1329.9775714285715,5.432428571428545,22.75,True,195,196,1,1335.41,0.9463869463869948,2.3635837694269823,1.1744286954006622,16.184290109658978,1.0,tp1,2019,2019-06,2019-06-07,0.0552239198464251,0.9447760801535748,0.05-0.10R,0,0,0,0.0,5,4,2,1.0,6,4,1.0,6,4,1.0,False,True,False,True,True,12,4,17,7
