feature,value,events,unique_days,net_r,avg_r,win_rate,profit_factor,avg_cost_r,median_risk_units
cost_bucket,<=0.03R,4527,752,21.292672092791275,0.004703484005476315,0.5111552904793462,1.0096469080299622,0.01909546282661911,15.424999999999272
same_dir_h1_overlap_30d,1,2398,758,-34.634824448551115,-0.014443212864283201,0.5329441201000834,0.9712865528571157,0.08045190571736255,4.45771428571436
stack_score_7d_30d_capped,2,843,416,-40.7111849055415,-0.04829322052851898,0.5195729537366548,0.9074246259571843,0.08256988297273364,4.2812857142857865
stack_score_7d_30d_capped,1,698,356,-64.4051137816176,-0.09227093664988195,0.49570200573065903,0.831254492362521,0.08469373462393626,4.312285714285736
stack_score_7d_30d_capped,0,559,385,-89.73795603268752,-0.1605330161586539,0.46153846153846156,0.7247874060743587,0.08498011609671569,4.273285714285748
same_dir_intraday_overlap_7d,0,1046,685,-124.20868155784616,-0.1187463494816885,0.4837476099426386,0.7881907948519568,0.08843862076512439,4.111285714285714
has_intraday_stack_7d,False,1046,685,-124.20868155784616,-0.1187463494816885,0.4837476099426386,0.7881907948519568,0.08843862076512439,4.111285714285714
stack_score_7d_30d_capped,4-5,3222,1072,-134.36807211792862,-0.04170331226503061,0.5204841713221602,0.91938587100237,0.08352842879722473,4.386499999999955
same_dir_intraday_overlap_7d,2,1744,750,-147.26313896516635,-0.08443987325984309,0.5,0.844046398619906,0.0828066045393782,4.3791428571427105
same_dir_intraday_overlap_7d,1,1443,708,-159.05580889584928,-0.11022578579060935,0.4885654885654886,0.8011622802003565,0.08739303217533598,4.275857142857149
spec_name,m30_3c_1p5atr,2434,1356,-165.66942097869347,-0.06806467583348129,0.4958915365653246,0.8717325736250681,0.05909227778188042,5.869357142857325
stack_score,3,2044,930,-167.64121205464534,-0.08201624855902413,0.50293542074364,0.8478772546596199,0.08655725993408743,4.219999999999914
same_dir_h1_overlap_30d,2,1986,669,-167.66206048768527,-0.08442198413277203,0.4944612286002014,0.8432857220246067,0.07793128910850651,4.612357142857036
stack_score,2,2273,1011,-186.29969949511957,-0.08196203233397253,0.5010998680158381,0.847880391600261,0.0845863952058516,4.207142857142799
stack_score,4-5,3608,1261,-189.9179418886767,-0.0526380105012962,0.5155210643015521,0.8995000122214358,0.08303161069961056,4.186285714285532
