trades,net_r,avg_r_per_trade,avg_r_per_year,win_rate,profit_factor,max_drawdown_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,start,end,month
3,-1.1076958275653805,-0.36923194252179353,-1.1076958275653805,0.3333333333333333,0.46929197107846377,-1.0402029290705463,0,1,0,1,-1.1076958275653805,-1.1076958275653805,-1.1076958275653805,-1.1076958275653805,2019-06-12 20:00:00+00:00,2019-06-27 16:00:00+00:00,2019-06
4,-0.13818358760585236,-0.03454589690146309,-0.13818358760585236,0.5,0.9331763244278697,-2.067883671808729,0,1,0,1,-0.13818358760585236,-0.13818358760585236,-0.13818358760585236,-0.13818358760585236,2019-08-05 19:00:00+00:00,2019-08-23 16:00:00+00:00,2019-08
2,-0.06830251671142173,-0.03415125835571087,-0.06830251671142173,0.5,0.9339665621978847,0.0,0,1,0,1,-0.06830251671142173,-0.06830251671142173,-0.06830251671142173,-0.06830251671142173,2019-09-10 16:00:00+00:00,2019-09-11 18:00:00+00:00,2019-09
3,2.905854845845724,0.9686182819485746,2.905854845845724,1.0,inf,0.0,1,0,1,0,2.905854845845724,2.905854845845724,2.905854845845724,2.905854845845724,2019-10-01 17:05:00+00:00,2019-10-04 19:15:00+00:00,2019-10
3,-2.6034085529281628,-0.8678028509760543,-2.6034085529281628,0.0,0.0,-1.55885189170731,0,1,0,1,-2.6034085529281628,-2.6034085529281628,-2.6034085529281628,-2.6034085529281628,2020-01-08 17:25:00+00:00,2020-01-31 19:45:00+00:00,2020-01
4,-0.17589638763515547,-0.04397409690878887,-0.17589638763515547,0.5,0.9156398280694802,-1.1333879871655386,0,1,0,1,-0.17589638763515547,-0.17589638763515547,-0.17589638763515547,-0.17589638763515547,2020-02-05 16:35:00+00:00,2020-02-28 16:10:00+00:00,2020-02
26,-0.8340473107146605,-0.032078742719794634,-0.8340473107146605,0.5,0.9378077640943658,-5.521388970922148,0,1,0,1,-0.8340473107146608,-0.8340473107146608,-0.8340473107146608,-0.8340473107146608,2020-03-02 18:20:00+00:00,2020-03-30 09:20:00+00:00,2020-03
16,3.340563925933729,0.20878524537085807,3.340563925933729,0.625,1.535524318824024,-3.193110699767064,1,0,1,0,3.3405639259337288,3.3405639259337288,3.3405639259337288,3.3405639259337288,2020-04-01 09:05:00+00:00,2020-04-28 19:05:00+00:00,2020-04
10,5.559247832991469,0.5559247832991469,5.559247832991469,0.8,3.659451195442493,-2.090374075116837,1,0,1,0,5.559247832991469,5.559247832991469,5.559247832991469,5.559247832991469,2020-05-01 17:30:00+00:00,2020-05-29 05:45:00+00:00,2020-05
9,0.6341408809796782,0.07046009788663092,0.6341408809796782,0.5555555555555556,1.1524163361937918,-2.1752913015713773,1,0,1,0,0.634140880979678,0.634140880979678,0.634140880979678,0.634140880979678,2020-06-05 17:30:00+00:00,2020-06-24 14:50:00+00:00,2020-06
6,5.7748104512511045,0.9624684085418508,5.7748104512511045,1.0,inf,0.0,1,0,1,0,5.7748104512511045,5.7748104512511045,5.7748104512511045,5.7748104512511045,2020-07-01 16:35:00+00:00,2020-07-31 16:50:00+00:00,2020-07
20,9.389592167658847,0.46947960838294234,9.389592167658847,0.75,2.8255487650899274,-2.038207033744045,1,0,1,0,9.389592167658845,9.389592167658845,9.389592167658845,9.389592167658845,2020-08-04 16:05:00+00:00,2020-08-31 15:45:00+00:00,2020-08
