month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019-06,8,-0.37784680704277185,-5.750356094682184,50.0,0.9093033012303181,-0.04723085088034648,-3.1865400752019135,-1.8045767380841164,2.087239601031732,6,3,-3.125845142891679,2,0,1,0,1
2019-07,14,9.219887302290257,124.72458656153763,85.71428571428571,5.406750467610265,0.6585633787350184,-1.0564986951491848,118.05465272621626,0.39771724764164634,2,1,-1.0564986951491846,4,1,1,1,1
2019-08,14,1.4247573198293129,20.815704442706263,57.14285714285714,1.2286265051686773,0.10176837998780806,-3.126151405882548,6.65857207156918,1.293984215249671,6,3,-3.126151405882548,6,1,1,1,1
2019-09,13,2.270205342704197,37.69056824648672,61.53846153846154,1.433797702277331,0.17463118020801513,-2.07640798328947,18.151812432726672,0.8899214397299007,4,2,-2.07640798328947,3,1,1,1,1
2019-10,40,2.020394645776121,24.598304812324276,57.49999999999999,1.1084706916640854,0.050509866144403025,-5.543948075144433,4.43696522386412,2.2875528006992227,19,3,-3.3231055399846676,5,1,1,1,1
2019-11,32,16.82638854576915,211.925462632489,81.25,3.9512881893653344,0.5258246420552859,-1.1459143968871572,184.94004718692625,0.44308670874030487,2,1,-1.1459143968871568,8,1,1,1,1
2019-12,40,-2.0765283529690333,-25.28173269739798,55.00000000000001,0.8980294039433308,-0.05191320882422583,-8.027642581409271,-3.149334619847975,4.065101355223035,39,6,-6.8968400849934905,5,0,1,0,1
2020-01,45,-8.680172697144702,-109.32527853903801,44.44444444444444,0.677604855055651,-0.1928927266032156,-12.126221994101655,-9.015609197342354,5.155364304463692,31,5,-5.469384988755673,3,0,1,0,1
2020-02,35,-2.5141113188560427,-35.31842920046806,51.42857142857142,0.8656539106594558,-0.0718317519673155,-5.8822354254130556,-6.00425291512163,3.64845695117389,35,4,-4.400494857408563,4,0,1,0,1
2020-03,39,3.578959811131133,46.68625253627309,56.41025641025641,1.202931354090206,0.09176820028541367,-4.196270382224047,11.125654041274887,1.8433103796346002,16,4,-4.196270382224048,4,1,1,1,1
2020-04,27,-1.9210460354530348,-23.388735481640698,51.85185185185185,0.8589272275348434,-0.07114985316492721,-4.469312814504242,-5.233183814240375,2.0045987519378845,14,3,-3.1724196519235663,5,0,1,0,1
2020-05,39,10.063027146709683,126.74209190812797,66.66666666666666,1.7164102736128386,0.2580263370951201,-3.7779711940195106,33.547659682731144,1.6919449132744082,13,3,-3.2948783240237116,9,1,1,1,1
2020-06,37,14.273721691894746,173.78256159881855,72.97297297297297,2.343836891577671,0.3857762619431012,-2.1094662298911917,82.38224397068562,0.7117898610235698,8,2,-2.1094662298911917,9,1,1,1,1
2020-07,33,9.0273617167953,109.90812890198278,66.66666666666666,1.7702662645101301,0.2735564156604636,-2.324772546193172,47.27693858995279,0.7763553444340259,6,2,-2.184730585090856,6,1,1,1,1
