variant,risk_pct,total_pnl_usd,positive_months,total_months,worst_month_usd,best_month_usd,worst_intramonth_dd_usd
matrix_intraday_stack_24h,0.01,19725.036502864397,63,85,-426.26440147982066,1172.1966034239222,-598.2565230783048
matrix_intraday_stack_24h,0.02,40730.359836247066,63,85,-835.5394829949182,2591.521704769163,-1178.6021115362537
matrix_intraday_stack_24h,0.03,63154.545434702224,63,85,-1225.8741751703183,4303.610053394361,-1738.6239953889344
matrix_intraday_stack_24h,0.04,87148.831622622,62,85,-1595.71528411169,6361.118479292923,-2335.058102126195
matrix_intraday_stack_24h,0.05,112877.82667512016,59,85,-1943.8982542926174,8824.520961185175,-3104.5237856054937
recalc_entry_right_ge1,0.01,19725.036502864397,63,85,-426.26440147982066,1172.1966034239222,-598.2565230783048
recalc_entry_right_ge1,0.02,40730.359836247066,63,85,-835.5394829949182,2591.521704769163,-1178.6021115362537
recalc_entry_right_ge1,0.03,63154.545434702224,63,85,-1225.8741751703183,4303.610053394361,-1738.6239953889344
recalc_entry_right_ge1,0.04,87148.831622622,62,85,-1595.71528411169,6361.118479292923,-2335.058102126195
recalc_entry_right_ge1,0.05,112877.82667512016,59,85,-1943.8982542926174,8824.520961185175,-3104.5237856054937
strict_entry_left_ge1,0.01,19443.131721734153,63,85,-426.26440147982066,1172.1966034239222,-598.2565230783048
strict_entry_left_ge1,0.02,40117.675476423545,63,85,-835.5394829949182,2591.521704769163,-1178.6021115362537
strict_entry_left_ge1,0.03,62159.00895322551,63,85,-1225.8741751703183,4303.610053394361,-1738.6239953889344
strict_entry_left_ge1,0.04,85715.18834760191,62,85,-1595.71528411169,6361.118479292923,-2335.058102126195
strict_entry_left_ge1,0.05,110947.64342406824,59,85,-1943.8982542926174,8824.520961185175,-3104.5237856054937
known_by_touch_ge1,0.01,19299.835806683746,63,85,-426.26440147982066,1172.1966034239222,-598.2565230783048
known_by_touch_ge1,0.02,39818.89104258218,63,85,-835.5394829949182,2591.521704769163,-1178.6021115362537
known_by_touch_ge1,0.03,61691.54364758587,63,85,-1225.8741751703183,4303.610053394361,-1738.6239953889344
known_by_touch_ge1,0.04,85064.95943204596,62,85,-1595.71528411169,6361.118479292923,-2335.058102126195
known_by_touch_ge1,0.05,110099.82926379835,60,85,-1943.8982542926174,8824.520961185175,-3104.5237856054937
known_by_zone_creation_ge1,0.01,16878.502404376362,61,85,-413.43798447025983,1097.1468001505755,-520.2745914271509
known_by_zone_creation_ge1,0.02,34705.92355768377,59,85,-810.4320070333824,2407.206980740795,-1019.4073808064031
known_by_zone_creation_ge1,0.03,53584.820082692044,59,85,-1189.3411677907661,3965.3618892721497,-1496.8054206169536
known_by_zone_creation_ge1,0.04,73626.37126337623,58,85,-1548.8593658165591,5811.3540300108125,-1952.1286525212336
known_by_zone_creation_ge1,0.05,94950.70745111634,56,85,-1888.0066846299246,7989.8387857653215,-2571.5920926617036
