segment,risk_pct,total_pnl_usd,positive_months,total_months,worst_month_usd,best_month_usd,worst_intramonth_dd_usd
full_rule,0.01,19725.036502864397,63,85,-426.26440147982066,1172.1966034239222,-598.2565230783048
full_rule,0.02,40730.359836247066,63,85,-835.5394829949182,2591.521704769163,-1178.6021115362537
full_rule,0.03,63154.545434702224,63,85,-1225.8741751703183,4303.610053394361,-1738.6239953889344
full_rule,0.04,87148.831622622,62,85,-1595.71528411169,6361.118479292923,-2335.058102126195
full_rule,0.05,112877.82667512016,59,85,-1943.8982542926174,8824.520961185175,-3104.5237856054937
m15_boundary_only,0.01,8302.3049051036,62,85,-227.71002135004983,516.3414519443559,-318.81451091434974
m15_boundary_only,0.02,16750.185144899537,62,85,-450.7185030592864,1077.9659893660228,-628.2268019750782
m15_boundary_only,0.03,25350.37004122386,62,85,-668.7585783192171,1688.0239388586879,-928.2244316825854
m15_boundary_only,0.04,34110.05452107995,62,85,-881.5893513535948,2349.807007471937,-1218.8204590216992
m15_boundary_only,0.05,43036.91965546311,62,85,-1088.9956447601326,3066.747273254643,-1500.0521026373344
inside_m15,0.01,11166.823474890163,49,82,-368.3782674666136,1231.3071512344404,-604.982860881858
inside_m15,0.02,22930.393938636094,46,82,-722.8237988551637,2741.4507683777692,-1177.342875205567
inside_m15,0.03,35382.057836187094,46,82,-1062.3985651787752,4587.740808852717,-1718.494429569263
inside_m15,0.04,48624.09275888665,45,82,-1386.353707388117,6837.959978829207,-2281.600442846123
inside_m15,0.05,62771.089998483556,44,82,-1694.12333879576,9572.003800038272,-2843.592683547401
