segment,extra_cost_r,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
full_rule,0.0,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,0.130300139775792,-18.00845741951471,3.0179536633020927,5.228654170913805,9,-9.869879846164237,13,8,8,63,85
full_rule,0.025,2936,309.16121038172537,43.92109377359984,59.67302452316077,1.2429960409896028,0.10530013977579201,-20.460011139265454,2.146679856361832,6.421177088386106,9,-10.094879846164234,13,8,8,59,85
full_rule,0.05,2936,235.76121038172516,33.49349750755547,59.67302452316077,1.181091625467558,0.08030013977579195,-23.18501113926548,1.4446185643979195,8.189724139115897,9,-10.319879846164234,13,7,8,55,85
full_rule,0.075,2936,162.36121038172547,23.065901241511174,59.67302452316077,1.1219395730277362,0.055300139775792054,-27.38330218419975,0.8423345397261939,10.53757477477166,9,-10.544879846164235,13,7,8,49,85
full_rule,0.1,2936,88.96121038172524,12.6383049754668,59.63896457765667,1.065359199225782,0.030300139775791976,-36.506554983097885,0.34619275856947307,14.572933552223732,9,-10.769879846164237,13,6,8,43,85
full_rule,0.15,2936,-57.83878961827461,-8.21688755662186,59.53678474114441,0.9592812712619485,-0.019699860224207975,-103.99117861616276,-0.07901523634952586,61.259007254112575,9,-11.219879846164234,13,3,8,36,85
full_rule,0.2,2936,-204.63878961827467,-29.07208008871055,59.46866485013624,0.8617208186124836,-0.06969986022420799,-213.81032615217717,-0.13597135653784473,139.35178862029795,9,-11.669879846164235,13,1,8,28,85
full_rule,0.3,2936,-498.2387896182747,-70.78246515288792,59.40054495912806,0.6884099224500126,-0.16969986022420802,-501.7317388392336,-0.14107631563561152,304.0591053748655,9,-12.569879846164238,13,0,8,18,85
m15_boundary_only,0.0,736,164.63296160660326,23.388638361264814,64.40217391304348,1.5952361927851766,0.2236860891394066,-10.427482550700443,2.242980340417231,2.486000044098678,7,-7.54895309518019,13,8,8,62,85
m15_boundary_only,0.025,736,146.23296160660328,20.77463602754253,64.40217391304348,1.5164792203776338,0.19868608913940664,-10.90248255070044,1.9054959208540851,2.7452511652623155,7,-7.723953095180188,13,8,8,62,85
m15_boundary_only,0.05,736,127.83296160660319,18.16063369382023,64.40217391304348,1.4412837681587767,0.1736860891394065,-11.377482550700442,1.5961908632153596,3.027740835073196,7,-7.8989530951801905,13,8,8,62,85
m15_boundary_only,0.075,736,109.43296160660327,15.546631360097956,64.40217391304348,1.3694135910979768,0.14868608913940662,-11.85248255070044,1.311677219822543,3.3323310174565317,7,-8.07395309518019,13,8,8,61,85
m15_boundary_only,0.1,736,91.03296160660321,12.93262902637566,64.2663043478261,1.3006298295622378,0.12368608913940653,-12.34311129525046,1.0477608697696863,3.665892483099469,7,-8.248953095180191,13,8,8,59,85
m15_boundary_only,0.15,736,54.232961606603254,7.704624358931092,64.2663043478261,1.171646391529718,0.0736860891394066,-15.547958821549344,0.49553928251035406,4.836437063113824,7,-8.598953095180189,13,7,8,52,85
m15_boundary_only,0.2,736,17.43296160660325,2.4766196914865177,64.2663043478261,1.0529704202341243,0.02368608913940659,-18.997958821549343,0.13036240970673615,6.8525515800609655,7,-8.94895309518019,13,6,8,42,85
m15_boundary_only,0.3,736,-56.167038393396766,-7.979389643402633,64.2663043478261,0.8419643893582766,-0.07631391086059343,-61.07405517408698,-0.1306510533917878,29.743794277857724,7,-9.64895309518019,13,0,8,32,85
inside_m15,0.0,2200,217.92824877512209,32.40972836527416,58.09090909090909,1.2255741232943016,0.09905829489778277,-21.445424993182392,1.5112653806384055,7.385132273872333,10,-10.536721634549167,14,7,8,51,82
inside_m15,0.025,2200,162.92824877512214,24.230269896218797,58.09090909090909,1.1647146076181165,0.07405829489778279,-25.36446625408509,0.9552840439651031,9.29250386297904,10,-10.786721634549167,14,7,8,44,82
inside_m15,0.05,2200,107.92824877512197,16.050811427163396,58.09090909090909,1.106626886350565,0.04905829489778271,-31.519965223605,0.5092268126978483,12.61561126183939,10,-11.03672163454917,14,7,8,42,82
inside_m15,0.075,2200,52.92824877512216,7.871352958108049,58.09090909090909,1.0511258170717919,0.024058294897782797,-48.69343657116478,0.1616512103557155,22.038100223051142,10,-11.286721634549167,14,6,8,42,82
inside_m15,0.1,2200,-2.0717512248779713,-0.3081055109473449,58.09090909090909,0.9980423870541775,-0.0009417051022172597,-73.75425765526381,-0.004177460674710696,38.245277548050375,10,-11.536721634549169,14,3,8,41,82
inside_m15,0.15,2200,-112.07175122487787,-16.66702244905808,57.95454545454546,0.8985307099185633,-0.05094170510221722,-147.8513729073911,-0.11272822241223095,95.72870604574447,10,-12.036721634549167,14,2,8,35,82
inside_m15,0.2,2200,-222.07175122487791,-33.02593938716884,57.86363636363636,0.8070264235956283,-0.10094170510221723,-232.6013729073911,-0.14198514382938715,156.00234474331816,10,-12.536721634549167,14,1,8,26,82
inside_m15,0.3,2200,-442.07175122487797,-65.74377326339035,57.77272727272727,0.6445261546155822,-0.20094170510221726,-444.5096549934635,-0.1479017891396692,277.87813702932476,10,-13.536721634549169,14,0,8,15,82
