month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019-06,8,-0.37784680704277185,-5.750356094682184,50.0,0.9093033012303181,-0.04723085088034648,-3.1865400752019135,-1.8045767380841164,2.087239601031732,3,-3.125845142891679,2,0,1,0,1
2019-07,14,9.219887302290257,124.72458656153763,85.71428571428571,5.406750467610265,0.6585633787350184,-1.0564986951491848,118.05465272621626,0.39771724764164634,1,-1.0564986951491846,4,1,1,1,1
2019-08,14,1.4247573198293129,20.815704442706263,57.14285714285714,1.2286265051686773,0.10176837998780806,-3.126151405882548,6.65857207156918,1.293984215249671,3,-3.126151405882548,6,1,1,1,1
2019-09,10,-0.5497981072165798,-10.56914519267662,50.0,0.8949429150127526,-0.05497981072165799,-2.1116479769779524,-5.0051643587879004,1.1543780450050116,2,-2.1116479769779524,3,0,1,0,1
2019-10,10,-1.10781632754048,-14.451068344077155,50.0,0.7997598628333223,-0.110781632754048,-3.6306793642806925,-3.9802656456666177,1.537682150651807,3,-3.405669211639847,4,0,1,0,1
2019-11,8,4.8798320624086715,77.49385481716381,87.5,5.258461256499258,0.6099790078010839,-1.1459143968871572,67.62621625810233,0.43382981925624126,1,-1.1459143968871568,6,1,1,1,1
2019-12,10,2.6539369452700194,42.14567257651629,70.0,1.7873299948178951,0.26539369452700196,-1.1786169941311446,35.758582123266706,0.6375634069282807,1,-1.1786169941311446,3,1,1,1,1
2020-01,9,-3.67094118988342,-46.23487136568687,33.33333333333333,0.43291068955568957,-0.4078823544314911,-5.405309278294323,-8.55360331578965,2.7147018662111195,5,-5.405309278294323,3,0,1,0,1
2020-02,8,-0.8181867157409082,-14.230604663065082,50.0,0.8144138355056101,-0.10227333946761352,-2.1436438168858665,-6.63851174853213,1.329181103690029,2,-2.1436438168858665,2,0,1,0,1
2020-03,8,-2.2951988582241984,-29.940049391656736,37.5,0.5563358413748809,-0.2868998572780248,-4.20398655666521,-7.121823295126452,3.0833999835309704,4,-4.151622565043025,2,0,1,0,1
2020-04,7,0.6516928389652024,8.815955904890377,57.14285714285714,1.2062469982118957,0.0930989769950289,-1.1636352247399033,7.576219520907788,0.7213772640562096,1,-1.0708215297450443,3,1,1,1,1
2020-05,15,9.894292210349985,138.99577807039736,86.66666666666667,5.670469775191413,0.659619480689999,-2.118479015303013,65.61111866879472,0.6912548208622137,2,-2.1184790153030124,8,1,1,1,1
2020-06,8,7.29588624147584,148.04569164994723,100.0,inf,0.91198578018448,0.8445710902227915,inf,0.0,0,0.0,8,1,1,1,1
2020-07,7,4.568712960255751,55.62408029111377,85.71428571428571,5.246605352099668,0.6526732800365359,-1.0758506104168173,51.70242016181346,0.40864428460867913,1,-1.0758506104168173,6,1,1,1,1
2020-08,15,6.405827249158632,83.56172866982823,73.33333333333333,2.5397021367332493,0.4270551499439088,-1.0683638257699064,78.21467430311976,0.539006632959013,1,-1.0683638257699062,4,1,1,1,1
2020-09,8,1.5221508645617043,26.474552537198214,62.5,1.4873130134172856,0.19026885807021304,-2.087017387247108,12.685353125936157,0.9018955971398646,2,-2.0870173872471076,4,1,1,1,1
2020-10,9,2.2848084621145093,34.77192878280518,66.66666666666666,1.7147295128824416,0.25386760690161214,-1.1133542049012206,31.231685863970156,0.6174771867645376,1,-1.1133542049012208,3,1,1,1,1
2020-11,8,-0.424044916575943,-5.340772613081489,50.0,0.8998383170246201,-0.053005614571992876,-4.233604148606161,-1.2615191278192233,2.3600878451527425,4,-4.233604148606161,3,0,1,0,1
2020-12,8,1.5668788007371202,26.013749180419687,62.5,1.496555540478079,0.19585985009214002,-1.1837657968981925,21.97541882742617,0.6720370649075005,1,-1.063507424320321,4,1,1,1,1
2021-01,5,0.7384937516904575,14.985269044718866,60.0,1.345078403611366,0.1476987503380915,-2.140075252353849,7.002215939947302,1.0686162868351166,2,-2.140075252353849,3,1,1,1,1
