zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,minute,r
20,15min,m15_2c_1atr,supply,1327.13,1324.3,2019-06-04 15:15:00+00:00,2019-06-04 13:00:00+00:00,2019-06-04 14:00:00+00:00,2019-06-04 15:00:00+00:00,2,1.3364978902954077,1.0448312236287534,0.7031802120140991,2019-06-04 16:00:00+00:00,2019-06-04 17:00:00+00:00,1324.2,1327.8117142857143,3.6117142857142426,0.75,True,132,133,0,1324.19,0.1098626716604382,1.0659757930543974,1.1324262321018814,-22.36611027608601,1.0,tp1,2019,2019-06,2019-06-04,0.0830630488094306,0.9169369511905694,0.05-0.10R,5,4,2,1.0,5,4,2,1.0,4,3,1.0,4,3,1.0,True,True,True,True,True,13,7,13,7,True,13,Tuesday,ny_main,bull,0.0896551724137931,low,missing,below,,0.0875912408759154,-0.773923517761577,-0.1246187869824558,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,0,0.9169369511905694
23,15min,m15_2c_1atr,demand,1334.31,1331.8,2019-06-05 13:15:00+00:00,2019-06-05 11:00:00+00:00,2019-06-05 12:00:00+00:00,2019-06-05 13:00:00+00:00,2,2.422381635581073,1.008321377331426,0.3067729083665277,2019-06-05 14:00:00+00:00,2019-06-05 15:00:00+00:00,1335.0,1331.1225714285713,3.877428571428709,0.75,True,153,154,0,1334.95,0.7118320610687046,2.341758160783923,2.05806499152598,18.47358337631652,1.0,tp1,2019,2019-06,2019-06-05,0.0773708643430817,0.9226291356569184,0.05-0.10R,1,1,1,1.0,1,1,1,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,5,5,5,5,True,11,Wednesday,london_ny_overlap,bull,0.1686746987951807,low,missing,above,,0.6776119402985051,1.6581142600870062,2.988243871829866,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,0,0.9226291356569184
30,15min,m15_2c_1atr,demand,1335.96,1332.96,2019-06-07 14:15:00+00:00,2019-06-07 12:00:00+00:00,2019-06-07 13:00:00+00:00,2019-06-07 14:00:00+00:00,2,1.4396173774411627,1.6739736946990738,0.966666666666697,2019-06-07 15:00:00+00:00,2019-06-07 16:00:00+00:00,1341.1,1332.4481428571428,8.651857142857125,0.75,True,200,201,0,1341.22,0.5793814432989786,0.8264121658438442,1.3950762016412617,7.653848059045971,-1.0,stop,2019,2019-06,2019-06-07,0.0346746363291119,-1.034674636329112,0.03-0.05R,5,4,2,1.0,7,4,2,1.0,7,4,1.0,7,4,1.0,True,True,True,True,True,19,7,21,7,False,12,Friday,ny_main,bull,0.1737089201877934,low,missing,above,,0.1325581395349232,1.5086273553029776,2.0790477425728597,False,unknown,unknown,False,False,,,True,True,0.2530712530712642,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,0,-1.034674636329112
39,15min,m15_2c_1atr,supply,1338.4,1336.55,2019-06-12 13:15:00+00:00,2019-06-12 11:00:00+00:00,2019-06-12 12:00:00+00:00,2019-06-12 13:00:00+00:00,2,1.3546762589928576,0.9316546762590784,0.1351351351351251,2019-06-12 19:00:00+00:00,2019-06-12 20:00:00+00:00,1332.54,1338.9228571428573,6.382857142857347,5.75,True,273,274,0,1332.56,0.6315789473684525,0.1175022381378655,1.0199194270366714,-7.893017009847571,-1.0,stop,2019,2019-06,2019-06-12,0.0470008952551462,-1.0470008952551462,0.03-0.05R,1,1,1,1.0,9,4,2,1.0,5,4,1.0,12,4,1.0,True,True,True,True,True,11,5,33,7,False,16,Wednesday,ny_main,bull,0.3251748251748251,low,missing,below,,0.8303030303030562,-0.2574778371926887,0.1433667788126612,False,unknown,unknown,False,False,,,True,True,0.3392330383480773,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,0,-1.0470008952551462
52,15min,m15_2c_1atr,demand,1347.04,1344.58,2019-06-18 13:15:00+00:00,2019-06-18 10:00:00+00:00,2019-06-18 11:00:00+00:00,2019-06-18 13:00:00+00:00,3,1.3957418046637418,1.163906725245018,0.6382113821138783,2019-06-18 14:00:00+00:00,2019-06-18 15:00:00+00:00,1350.83,1344.038,6.791999999999916,0.75,True,360,361,0,1350.83,0.6842105263157895,0.5653710247350108,1.47526501766786,9.605418138987163,-1.0,stop,2019,2019-06,2019-06-18,0.044169611307421,-1.044169611307421,0.03-0.05R,3,3,2,1.0,5,4,2,1.0,4,4,1.0,6,4,1.0,True,True,True,True,True,11,7,17,7,False,11,Tuesday,london_ny_overlap,bull,0.4262734584450402,mid,missing,above,,0.4493307839387955,1.568505071753434,2.728114834090802,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,-1.044169611307421
59,15min,m15_2c_1atr,demand,1384.98,1381.45,2019-06-20 19:15:00+00:00,2019-06-20 16:00:00+00:00,2019-06-20 17:00:00+00:00,2019-06-20 19:00:00+00:00,3,1.2723178381856064,0.7949171626186309,0.2776203966005738,2019-06-21 10:00:00+00:00,2019-06-21 14:00:00+00:00,1394.75,1380.1101428571428,14.63985714285718,14.75,True,428,429,3,1394.76,0.4620853080568701,3.025302744952614,0.8832053396305605,-0.0963124152265395,1.0,tp1,2019,2019-06,2019-06-21,0.020492003239688,0.979507996760312,<=0.03R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,3,3,1.0,True,True,True,True,True,9,7,9,7,True,10,Friday,london_ny_overlap,bull,0.7029478458049887,high,missing,inside,,0.3595505617977798,0.2654669472989118,0.5940060856544422,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,0,0.979507996760312
76,15min,m15_2c_1atr,supply,1407.81,1406.07,2019-06-27 10:15:00+00:00,2019-06-27 08:00:00+00:00,2019-06-27 09:00:00+00:00,2019-06-27 10:00:00+00:00,2,1.3585726718885462,0.5300261096605794,0.1666666666666449,2019-06-27 13:00:00+00:00,2019-06-27 16:00:00+00:00,1401.08,1408.5421428571428,7.462142857142908,2.75,True,522,523,2,1401.07,0.4771689497716972,0.1380300564755386,1.1310424045180432,-1.644299798985341,-1.0,stop,2019,2019-06,2019-06-27,0.0402029290705462,-1.0402029290705463,0.03-0.05R,5,2,2,1.0,11,4,2,1.0,3,1,0.6896551724138157,7,4,1.0,True,True,True,True,True,11,7,25,7,False,12,Thursday,ny_main,bull,0.476,mid,missing,below,,0.5907258064516214,-0.2715907945294032,-0.852503893627775,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,0,-1.0402029290705463
79,15min,m15_2c_1atr,demand,1407.44,1398.68,2019-06-27 17:15:00+00:00,2019-06-27 15:00:00+00:00,2019-06-27 16:00:00+00:00,2019-06-27 17:00:00+00:00,2,1.1092599767532385,2.3758233242929125,0.4771689497716972,2019-06-27 18:00:00+00:00,2019-06-27 20:00:00+00:00,1407.63,1397.9127142857144,9.717285714285708,0.75,True,526,527,1,1407.63,0.5014492753623505,1.756663383366896,1.745343349847846,0.6411255347613026,1.0,tp1,2019,2019-06,2019-06-27,0.0308728186883462,0.9691271813116538,0.03-0.05R,5,4,2,1.0,13,4,2,1.0,7,4,1.0,7,4,1.0,True,True,True,True,True,19,7,27,7,True,16,Thursday,ny_main,bull,0.518,mid,missing,above,,0.0352941176470273,0.3608245993485756,0.2130647665088746,False,unknown,unknown,False,False,,,True,True,0.3624420401854629,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,0,0.9691271813116538
87,15min,m15_2c_1atr,supply,1435.56,1426.69,2019-07-03 05:15:00+00:00,2019-07-03 03:00:00+00:00,2019-07-03 04:00:00+00:00,2019-07-03 05:00:00+00:00,2,1.489672162213385,1.176615501231749,0.3675310033822163,2019-07-03 07:00:00+00:00,2019-07-03 15:00:00+00:00,1419.34,1436.7025714285714,17.362571428571528,1.75,True,613,614,7,1419.37,0.780516431924895,1.928285803616966,1.0574470535964071,-0.5079892708453388,1.0,tp1,2019,2019-07,2019-07-03,0.0172785466273921,0.982721453372608,<=0.03R,1,1,1,1.0,1,1,1,1.0,1,1,1.0,4,2,1.0,True,True,True,True,True,3,3,9,5,True,11,Wednesday,london_ny_overlap,bull,0.856,high,missing,below,,0.3991880920162512,-0.7944108366951733,-0.1792506600272861,False,unknown,unknown,False,False,,,False,False,,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,0.982721453372608
90,15min,m15_2c_1atr,demand,1414.69,1410.28,2019-07-04 12:15:00+00:00,2019-07-04 10:00:00+00:00,2019-07-04 11:00:00+00:00,2019-07-04 12:00:00+00:00,2,1.1840203994900138,1.3119422014449835,0.6961451247165259,2019-07-04 13:00:00+00:00,2019-07-04 17:00:00+00:00,1415.07,1409.6645714285714,5.4054285714285015,0.75,True,638,639,3,1415.07,0.5799999999999272,1.6834927850309682,3.7536339129975578,0.9009461388022958,1.0,tp1,2019,2019-07,2019-07-04,0.0554997621438772,0.9445002378561228,0.05-0.10R,1,1,1,1.0,5,4,2,1.0,1,1,1.0,5,4,1.0,True,True,True,True,True,3,3,15,7,True,13,Thursday,ny_main,bull,0.402,mid,missing,above,,0.7097701149425328,0.4147336956905778,0.138719947116342,False,unknown,unknown,False,False,,,True,True,0.1512195121951222,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,0,0.9445002378561228
98,15min,m15_2c_1atr,demand,1393.32,1385.86,2019-07-09 14:15:00+00:00,2019-07-09 11:00:00+00:00,2019-07-09 12:00:00+00:00,2019-07-09 14:00:00+00:00,3,1.324150596877916,2.397612488521607,0.6903485254691777,2019-07-09 15:00:00+00:00,2019-07-09 18:00:00+00:00,1393.5,1385.162857142857,8.337142857142908,0.75,True,704,705,2,1393.51,0.5027777777777436,7.13193968471552,0.4258053461274765,2.675976696367352,1.0,tp1,2019,2019-07,2019-07-09,0.0359835503769703,0.9640164496230296,0.03-0.05R,3,3,2,1.0,11,4,2,1.0,4,3,1.0,18,4,1.0,True,True,True,True,True,11,7,47,7,True,14,Tuesday,ny_main,bear,0.45,mid,missing,above,,0.6615146831530069,1.2681255791003938,1.1010356096681095,False,unknown,unknown,False,False,,,True,False,0.2005494505494406,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,0,0.9640164496230296
101,15min,m15_2c_1atr,demand,1393.49,1389.95,2019-07-10 11:15:00+00:00,2019-07-10 09:00:00+00:00,2019-07-10 10:00:00+00:00,2019-07-10 11:00:00+00:00,2,1.1574130567419485,1.5118974984746865,0.7570621468926811,2019-07-10 12:00:00+00:00,2019-07-10 13:00:00+00:00,1395.65,1389.4634285714287,6.186571428571369,0.75,True,722,723,0,1395.64,0.5570291777188717,9.263612432457476,0.6740405486537845,3.961806678058504,1.0,tp1,2019,2019-07,2019-07-10,0.0484921258024296,0.9515078741975704,0.03-0.05R,9,4,2,1.0,13,4,2,1.0,8,3,1.0,16,4,1.0,True,True,True,True,True,25,7,45,7,True,9,Wednesday,london_ny_overlap,bear,0.208,low,missing,inside,,0.2352941176470719,0.5061080923783504,0.4472816442504876,False,unknown,unknown,False,False,,,True,False,0.2005494505494406,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,0,0.9515078741975704
