extra_cost_r_per_trade,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years,positive_year_list
0.0,2508,850.919812784699,126.64973986129232,0.717304625199362,2.100002799891556,0.3392822220034685,-12.596596300544903,10.054282668073892,5.971018474894801,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.005,2508,838.379812784699,124.78330343097446,0.717304625199362,2.078848028974954,0.33428222200346847,-12.741596300544856,9.793380710518859,5.883023612687818,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.01,2508,825.839812784699,122.91686700065661,0.717304625199362,2.057885389023757,0.3292822220034685,-12.886596300544923,9.538350091362677,5.795028750480836,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.025,2508,788.219812784699,117.31755770970307,0.717304625199362,1.9961244322950324,0.3142822220034685,-13.321596300544897,8.806569052456904,5.53104416385989,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.05,2508,725.5198127846988,107.9853755581138,0.717304625199362,1.8967979012844407,0.2892822220034684,-14.046596300544934,7.687654236487493,5.091069852824976,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.075,2508,662.819812784699,98.65319340652458,0.717304625199362,1.801730436537819,0.2642822220034685,-14.771596300544914,6.6785736219236735,4.651095541790066,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.1,2508,600.119812784699,89.32101125493534,0.717304625199362,1.7106538483871436,0.2392822220034685,-16.275807014913738,5.4879620514724285,4.211121230755154,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.15,2508,474.719812784699,70.65664695175685,0.717304625199362,1.539508591837816,0.1892822220034685,-19.525807014913745,3.6186287664212573,3.331172608685331,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.2,2508,349.319812784699,51.992282648578374,0.717304625199362,1.3816195173834849,0.13928222200346851,-22.775807014913745,2.2827855282815444,2.4512239866155077,8,8,"2019,2020,2021,2022,2023,2024,2025,2026"
0.25,2508,223.919812784699,33.32791834539988,0.717304625199362,1.2355038968808891,0.0892822220034685,-26.025807014913738,1.2805719463877436,1.5712753645456836,7,8,"2020,2021,2022,2023,2024,2025,2026"
0.3,2508,98.51981278469896,14.663554042221392,0.717304625199362,1.0998921818062861,0.03928222200346848,-53.36708044934387,0.2747677766659929,0.6913267424758598,4,8,"2023,2024,2025,2026"
