strategy,risk_pct,risk_label,trades,net_pnl_usd,avg_pnl_per_year,win_rate_pct,profit_factor,max_drawdown_usd,positive_years,positive_months,avg_lot,median_lot,max_lot,min_month_end_equity,max_month_end_equity
sdr001_raw,0.01,1%,13720,-51420.37561596128,-6427.54695199516,50.393586005830905,0.8509260588411316,-52770.108538567234,0/8,14/88,0.13659124330718156,0.11647645246962013,0.8740699992795622,2803.362672955377,6137.63808413522
sdr001_raw,0.02,2%,13720,-95530.8116722936,-11941.3514590367,50.393586005830905,0.8519801153180525,-97952.21525920526,0/8,14/88,0.25161884552430475,0.21162011780361326,1.786594857892201,1540.675744750762,7411.2549198336565
sdr001_raw,0.03,3%,13720,-133459.9185533049,-16682.489819163115,50.393586005830905,0.8529394604067028,-136968.63717217062,0/8,12/88,0.3485429438585084,0.28711963962911,2.773257616275637,829.7202404437955,8803.299609678887
sdr001_raw,0.04,4%,13720,-166122.08819454958,-20765.2610243187,50.393586005830905,0.8538356168724893,-170691.16800696804,0/8,12/88,0.43016196913911703,0.3448021264205415,3.8909968213346153,437.72272287959373,10286.37227578071
sdr001_raw,0.05,5%,13720,-194274.2509103965,-24284.28136379956,50.393586005830905,0.8546887355879969,-199859.48526468975,0/8,11/88,0.4987753618247135,0.3880107284387462,5.113552608766154,226.13319420283597,11823.266638878009
sdr001_sleeve1_replay_only,0.01,1%,1032,13298.329210991895,1662.2911513739868,63.856589147286826,1.6867805634032749,-637.6363996641121,8/8,53/80,0.05342270197895596,0.05583060562874349,0.09519041400210591,4834.609980014486,6220.913376121319
sdr001_sleeve1_replay_only,0.02,2%,1032,27657.709025506203,3457.213628188276,63.856589147286826,1.690066424986746,-1280.681436561119,8/8,53/80,0.11000709019780436,0.11518309691158843,0.21930327545216105,4670.366816971243,7711.0942703840665
sdr001_sleeve1_replay_only,0.03,3%,1032,43200.72205659252,5400.090257074065,63.856589147286826,1.6935924408366785,-1928.5785081408303,8/8,52/80,0.17005254135338102,0.17545315257636784,0.3811192132392258,4507.4906461875735,9522.954049805952
sdr001_sleeve1_replay_only,0.04,4%,1032,60064.326824762386,7508.040853095299,63.856589147286826,1.697330504875222,-2580.7723376529484,8/8,52/80,0.23389821074415332,0.2391664539168365,0.5889003315529282,4346.191937573933,11717.538044726756
sdr001_sleeve1_replay_only,0.05,5%,1032,78401.22107353405,9800.152634191758,63.856589147286826,1.7012464579977498,-3236.709423182063,8/8,51/80,0.30192844790392265,0.30060468976715815,0.8675041881668921,4186.671292151442,14365.619129381605
sdr002_clean,0.01,1%,296,2630.6562349010574,328.8320293626322,60.810810810810814,1.445495899245439,-378.59971902110556,8/8,41/74,0.05283545352561925,0.05578306933551506,0.08482032608376787,4746.881435949188,5557.953048426914
sdr002_clean,0.02,2%,296,5358.003439817588,669.7504299771985,60.810810810810814,1.4520565671380181,-750.813654361082,8/8,40/74,0.10617844169205484,0.11200216158484996,0.17289518612554108,4504.119082956987,6170.647769583673
sdr002_clean,0.03,3%,296,8188.422420495801,1023.5528025619752,60.810810810810814,1.458869893451356,-1116.9718902227128,8/8,40/74,0.1600628634474496,0.1684291740616119,0.27387513934813085,4271.391857647135,6842.673989850611
sdr002_clean,0.04,4%,296,11128.72486781656,1391.09060847707,60.810810810810814,1.465943367302517,-1477.39429176773,8/8,40/74,0.2145252972133515,0.22709027153658162,0.38999255622350376,4048.3853827287257,7578.932799671264
sdr002_clean,0.05,5%,296,14186.170480778435,1773.2713100973046,60.810810810810814,1.4732838690500758,-1832.3905998585287,8/8,40/74,0.26960523439644585,0.2863986361063601,0.5203138357321531,3834.7919162238336,8384.651257208434
