risk_pct,month,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.01,2019-09,2019,5,5000.0,5124.68983297326,124.68983297326031,2.4937966594652083,-55.758739138328565
0.01,2019-10,2019,39,5000.0,5566.038400583442,566.0384005834421,11.320768011668836,-206.12366656300765
0.01,2019-11,2019,21,5000.0,5067.022950045181,67.02295004518055,1.3404590009036044,-227.28659125277863
0.01,2019-12,2019,31,5000.0,5470.266877242067,470.2668772420666,9.405337544841341,-98.16380395940268
0.01,2020-01,2020,24,5000.0,5116.491599748025,116.49159974802478,2.329831994960485,-139.9006867514954
0.01,2020-02,2020,29,5000.0,5268.461797517396,268.461797517396,5.369235950347928,-186.9930881764658
0.01,2020-03,2020,22,5000.0,4748.227970529688,-251.7720294703122,-5.035440589406248,-353.5776578015011
0.01,2020-04,2020,35,5000.0,5559.925159360141,559.9251593601412,11.198503187202814,-132.9712008519582
0.01,2020-05,2020,33,5000.0,5415.502988284593,415.5029882845929,8.310059765691857,-138.13647823428983
0.01,2020-06,2020,31,5000.0,5414.276278575914,414.27627857591415,8.285525571518292,-237.17936021345758
0.01,2020-07,2020,40,5000.0,5594.694843644384,594.6948436443836,11.893896872887666,-233.54898236803365
0.01,2020-08,2020,21,5000.0,5514.364989810182,514.3649898101821,10.28729979620364,-64.57089922007253
0.01,2020-09,2020,35,5000.0,5760.432500675281,760.4325006752806,15.20865001350562,-77.10947242259317
0.01,2020-10,2020,28,5000.0,5499.058131232131,499.058131232131,9.981162624642614,-138.225914249565
0.01,2020-11,2020,34,5000.0,5796.747266760956,796.7472667609563,15.93494533521913,-108.71397394986798
0.01,2020-12,2020,27,5000.0,5204.2156695101685,204.21566951016848,4.084313390203365,-188.88620619896028
0.01,2021-01,2021,27,5000.0,5268.2484445018945,268.2484445018945,5.36496889003788,-189.3981717664219
0.01,2021-02,2021,30,5000.0,5482.313251267453,482.31325126745287,9.646265025349066,-253.32198494118256
0.01,2021-03,2021,32,5000.0,5135.5010511335595,135.50105113355949,2.710021022671194,-221.13401368905943
0.01,2021-04,2021,33,5000.0,4703.811133048174,-296.18886695182573,-5.923777339036517,-478.6051949762568
0.01,2021-05,2021,30,5000.0,5701.234001534831,701.2340015348309,14.024680030696612,-118.493550436453
0.01,2021-06,2021,26,5000.0,5468.953985662473,468.9539856624733,9.379079713249471,-123.23966905450015
0.01,2021-07,2021,32,5000.0,5303.016707992605,303.016707992605,6.060334159852099,-176.60317618231784
0.01,2021-08,2021,26,5000.0,5238.361913890935,238.36191389093528,4.767238277818708,-212.3192039885089
0.01,2021-09,2021,41,5000.0,5898.670396082556,898.6703960825562,17.97340792165112,-191.82710117632723
0.01,2021-10,2021,29,5000.0,5817.142772027608,817.1427720276079,16.342855440552164,-67.42889059508889
0.01,2021-11,2021,30,5000.0,6003.325820313595,1003.3258203135947,20.066516406271884,-77.57229163463398
0.01,2021-12,2021,37,5000.0,5281.248323538064,281.24832353806414,5.624966470761272,-192.80987188698055
