risk_pct,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.01,2019,96,5000.0,6325.067383100227,1325.0673831002268,26.501347662004537,-259.3269129271648
0.01,2020,359,5000.0,12598.555103792378,7598.555103792378,151.97110207584754,-460.45476498360586
0.01,2021,373,5000.0,13464.081500705375,8464.081500705375,169.28163001410752,-729.6812832049054
0.01,2022,421,5000.0,16113.52724197051,11113.52724197051,222.27054483941023,-522.1199773741146
0.01,2023,355,5000.0,17788.609998810214,12788.609998810214,255.7721999762043,-448.5773760022312
0.01,2024,391,5000.0,19913.972105746347,14913.972105746347,298.27944211492695,-575.4132138978639
0.01,2025,351,5000.0,24812.390453499942,19812.390453499942,396.2478090699989,-754.6940541839649
0.01,2026,162,5000.0,11350.867926596535,6350.867926596535,127.0173585319307,-292.5191257271481
0.02,2019,96,5000.0,7933.617326937913,2933.6173269379133,58.672346538758255,-600.0890386812771
0.02,2020,359,5000.0,30691.226575992318,25691.226575992318,513.8245315198463,-2256.0353097767984
0.02,2021,373,5000.0,35037.52989981777,30037.529899817768,600.7505979963554,-2596.464301129541
0.02,2022,421,5000.0,49956.67556086682,44956.67556086682,899.1335112173364,-2742.6971066476763
0.02,2023,355,5000.0,61289.06019512009,56289.06019512009,1125.7812039024018,-2020.1580500015916
0.02,2024,391,5000.0,76523.32259611144,71523.32259611144,1430.4664519222288,-3377.1991617203457
0.02,2025,351,5000.0,119087.89174263088,114087.89174263088,2281.7578348526176,-7009.454936041278
0.02,2026,162,5000.0,25367.10955856017,20367.10955856017,407.34219117120335,-913.5507761003682
0.03,2019,96,5000.0,9866.83729514269,4866.83729514269,97.33674590285379,-1036.3805058136395
0.03,2020,359,5000.0,72287.87180040353,67287.87180040353,1345.7574360080705,-8079.711551029031
0.03,2021,373,5000.0,88113.39969143874,83113.39969143874,1662.267993828775,-9952.677184640968
0.03,2022,421,5000.0,149001.08817890522,144001.08817890522,2880.0217635781046,-10720.71809317566
0.03,2023,355,5000.0,204512.90441064505,199512.90441064505,3990.258088212901,-6993.06160355336
0.03,2024,391,5000.0,283745.33378838154,278745.33378838154,5574.906675767631,-14435.895479863335
0.03,2025,351,5000.0,552925.0496668314,547925.0496668314,10958.500993336627,-47287.669225123245
0.03,2026,162,5000.0,55815.674785673626,50815.674785673626,1016.3134957134724,-2830.0879963579864
0.04,2019,96,5000.0,12166.693925304598,7166.693925304598,143.333878506092,-1583.2401005968286
0.04,2020,359,5000.0,164619.20029362614,159619.20029362614,3192.3840058725227,-24895.08511386896
0.04,2021,373,5000.0,214138.52201230533,209138.52201230533,4182.770440246107,-32811.685783041146
0.04,2022,421,5000.0,427542.1542853203,422542.1542853203,8450.843085706405,-35929.24263627065
0.04,2023,355,5000.0,660959.3932936471,655959.3932936471,13119.187865872942,-28815.448226372595
0.04,2024,391,5000.0,1015323.7065416647,1010323.7065416647,20206.474130833296,-53267.517924040905
0.04,2025,351,5000.0,2484022.4113806924,2479022.4113806924,49580.448227613844,-274687.62913408014
0.04,2026,162,5000.0,120931.98257373457,115931.98257373457,2318.639651474691,-7690.98630229602
0.05,2019,96,5000.0,14874.415114394591,9874.415114394591,197.4883022878918,-2256.4372463915497
0.05,2020,359,5000.0,362457.200037662,357457.200037662,7149.14400075324,-69602.73735045001
0.05,2021,373,5000.0,502892.8532071174,497892.8532071174,9957.857064142348,-98121.35338598862
0.05,2022,421,5000.0,1180191.291344151,1175191.291344151,23503.825826883018,-108883.7309512262
0.05,2023,355,5000.0,2068979.5645038935,2063979.5645038935,41279.59129007787,-113050.81007545651
0.05,2024,391,5000.0,3506340.059087542,3501340.059087542,70026.80118175084,-205894.51273467997
0.05,2025,351,5000.0,10799856.6682701,10794856.6682701,215897.133365402,-1449321.2225928437
0.05,2026,162,5000.0,258035.00170564765,253035.00170564765,5060.700034112952,-19339.84109020466
