rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
ema8_aligned + intraday_stack_24h + ny_main_or_overlap,3,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,-18.00845741951471,3.0179536633020927,8,8,63,85
ema8_aligned + trend_aligned + ny_main_or_overlap,3,1914,293.5275100765653,41.700086758251835,60.81504702194357,1.3725181748933228,-13.828536233250496,3.0155098164319547,8,8,65,85
ema8_aligned + ny_main_or_overlap + opposite_fvg_20,3,2814,382.8455086845714,54.38907897590032,59.879175550817344,1.323670592538056,-18.367234949349385,2.9612012437303155,8,8,60,85
ema8_aligned + intraday_stack_24h + opposite_fvg_20,3,6040,585.757510451459,81.07159177430671,59.15562913907285,1.2198284225753446,-28.248246570472407,2.869968993369308,8,8,65,86
ema8_aligned + zone_fvg_overlap_100 + opposite_fvg_20,3,6483,565.2102762794766,77.37745630100406,58.67653863951874,1.1954264717426424,-27.53429685362193,2.810220893322926,8,8,63,88
ema8_aligned + avoid_after_hours + opposite_fvg_20,3,5662,547.7267897210031,77.81299492244122,58.83080183680678,1.2189760056938397,-29.197774673318413,2.665031694814348,8,8,64,85
ema8_aligned + intraday_stack_7d + ny_main_or_overlap,3,3267,399.68656451645234,56.78160936975271,59.32047750229569,1.2861429473826256,-21.948998146691466,2.586979550969246,8,8,62,85
ema8_aligned + ny_main_or_overlap + avoid_after_hours,3,3516,411.3682555410596,58.44117282628239,59.01592718998862,1.2717956237869357,-22.760298794593226,2.5676803874018237,8,8,62,85
ema8_aligned + ny_main_or_overlap,2,3516,411.3682555410596,58.44117282628239,59.01592718998862,1.2717956237869357,-22.760298794593226,2.5676803874018237,8,8,62,85
cost_le_0p05 + ema8_aligned + avoid_after_hours,3,2238,308.1160707657518,43.80669320638024,58.35567470956211,1.3274152576786835,-17.12259598643727,2.5584142288400264,8,8,60,85
ema8_aligned + stack_7d30d_score3 + ny_main_or_overlap,3,3177,393.1314008434791,55.850347786106866,59.36418004406673,1.290041184236467,-21.88992605560508,2.5514178368732296,8,8,63,85
ema8_aligned + recent_fvg_20 + opposite_fvg_20,3,6533,522.795363850402,71.57084207134909,58.31930200520434,1.1777091859186242,-28.525012928951575,2.5090555523888294,8,8,63,88
ema8_aligned + stack_7d30d_score3 + opposite_fvg_20,3,6568,598.0168833629737,81.8686906477984,58.89159561510353,1.205010227573353,-33.23362633186122,2.4634293540609065,8,8,65,88
ema8_aligned + stack_score3 + opposite_fvg_20,3,5186,513.2253041242184,71.03279360794649,59.19784033937524,1.2247670943327256,-28.898019846988234,2.4580505510085864,8,8,61,87
ema8_aligned + stack_7d30d_score3 + avoid_after_hours,3,6308,543.7221394047189,77.2440728967614,58.370323398858595,1.1927621840479854,-31.93858586889309,2.4185188791340333,8,8,65,85
ema8_aligned + h1_stack_30d + opposite_fvg_20,3,5842,553.2277619691378,75.73704649896086,59.07223553577542,1.2143740336475999,-31.81774896417692,2.3803395577805317,8,8,65,88
ema8_aligned + ny_main_or_overlap + recent_fvg_20,3,3154,356.0713605916518,50.585400410774334,58.75079264426125,1.2605709828068816,-21.389965861707353,2.3649126294929297,8,8,60,85
ema8_aligned + intraday_stack_7d + opposite_fvg_20,3,6805,592.3265953338109,81.08968851037274,58.70683321087435,1.1950036347767619,-34.43409783797263,2.3549241479168384,8,8,65,88
ema8_aligned + h1_stack_96 + ny_main_or_overlap,3,2042,269.2293017002835,38.24815342124798,59.69637610186091,1.3128813722124923,-16.43005718650918,2.327937936372721,8,8,60,85
ema8_aligned + intraday_stack_24h + stack_score3,3,5816,481.4505508350704,66.63501845112144,58.39064649243466,1.184345539738013,-28.679785293676552,2.323414131897753,8,8,59,86
ema8_aligned + stack_score3 + avoid_after_hours,3,5011,468.73453615473534,66.59093322851695,58.670923967272,1.2109629250316012,-28.916734479971296,2.3028510800429443,8,8,59,85
ema8_aligned + h1_stack_96 + dir_supply,3,2287,262.09304865065747,36.274909442839196,60.122431132487975,1.2656196620086693,-15.91098259080507,2.2798660758891414,8,8,64,87
ema8_aligned + h1_stack_30d + ny_main_or_overlap,3,2852,364.23112026545755,51.74461947761897,59.53716690042076,1.3009863102423325,-23.08751609432074,2.2412380468398476,8,8,65,85
ema8_aligned + opposite_fvg_20,2,7289,603.7461969701461,82.65303539855543,58.49910824530114,1.1846553639108395,-37.33671687881063,2.213719960082049,8,8,62,88
ema8_aligned + intraday_stack_24h + avoid_after_hours,3,5843,506.2712361090549,71.92359742856176,58.34331678932055,1.193769108979487,-32.839031746975564,2.1901862997280923,8,8,62,85
ema8_aligned + intraday_stack_7d + avoid_after_hours,3,6545,532.5769796982247,75.66073194662644,58.13598166539343,1.1808597821471927,-34.66822774309285,2.182422837051449,8,8,63,85
ema8_aligned + h1_stack_96 + opposite_fvg_20,3,3987,400.66181588047084,55.453477927374756,59.21745673438675,1.2290880114424378,-25.721540280431327,2.1559159102755276,8,8,67,87
ema8_aligned + avoid_after_hours + zone_fvg_overlap_100,3,6265,500.8286137131844,71.15038940441096,58.02075019952115,1.1774087656807037,-33.00773961625453,2.1555668528532994,8,8,64,85
ema8_aligned + ny_main_or_overlap + zone_fvg_overlap_100,3,3125,348.4348319615975,49.50051434226896,58.720000000000006,1.2573818629329692,-23.28788402807666,2.125590898794818,8,8,62,85
ema8_aligned + body_ge_45 + ny_main_or_overlap,3,2498,302.9772825014592,43.0425719306332,59.12730184147318,1.2839186181802509,-20.581195129139687,2.0913543484990234,8,8,63,85
