rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
ema8_aligned + opposite_fvg_20,2,7289,603.7461969701461,82.65303539855543,58.49910824530114,1.1846553639108395,-37.33671687881063,2.213719960082049,8,8,62,88
ema8_aligned + stack_7d30d_score3 + opposite_fvg_20,3,6568,598.0168833629737,81.8686906477984,58.89159561510353,1.205010227573353,-33.23362633186122,2.4634293540609065,8,8,65,88
ema8_aligned + intraday_stack_7d + opposite_fvg_20,3,6805,592.3265953338109,81.08968851037274,58.70683321087435,1.1950036347767619,-34.43409783797263,2.3549241479168384,8,8,65,88
ema8_aligned + intraday_stack_24h + opposite_fvg_20,3,6040,585.757510451459,81.07159177430671,59.15562913907285,1.2198284225753446,-28.248246570472407,2.869968993369308,8,8,65,86
ema8_aligned + zone_fvg_overlap_100 + opposite_fvg_20,3,6483,565.2102762794766,77.37745630100406,58.67653863951874,1.1954264717426424,-27.53429685362193,2.810220893322926,8,8,63,88
ema8_aligned,1,9006,563.2448986122102,77.10839550903665,57.52831445702865,1.136096364169594,-54.48258457327023,1.4152851982515327,7,8,63,88
ema8_aligned + intraday_stack_7d,2,8317,558.4364048545062,76.45011127177976,57.76121197547192,1.146927200173636,-47.318651395188134,1.6156443393387585,7,8,61,88
ema8_aligned + stack_7d30d_score3,2,7996,555.904082437926,76.10343557363286,57.87893946973487,1.152576016761349,-43.4899681276992,1.749907825873108,7,8,62,88
ema8_aligned + h1_stack_30d + opposite_fvg_20,3,5842,553.2277619691378,75.73704649896086,59.07223553577542,1.2143740336475999,-31.81774896417692,2.3803395577805317,8,8,65,88
ema8_aligned + intraday_stack_24h + intraday_stack_7d,3,7317,549.7256137885986,76.08460797130945,58.09758097580976,1.1659335435110574,-38.242260085248745,1.9895426630566142,8,8,60,86
ema8_aligned + intraday_stack_24h,2,7317,549.7256137885986,76.08460797130945,58.09758097580976,1.1659335435110574,-38.242260085248745,1.9895426630566142,8,8,60,86
ema8_aligned + avoid_after_hours + opposite_fvg_20,3,5662,547.7267897210031,77.81299492244122,58.83080183680678,1.2189760056938397,-29.197774673318413,2.665031694814348,8,8,64,85
ema8_aligned + avoid_after_hours,2,7040,546.5834033993237,77.65055935107078,57.92613636363636,1.171776479184775,-38.4749498328946,2.0182108017898583,8,8,63,85
ema8_aligned + stack_7d30d_score3 + avoid_after_hours,3,6308,543.7221394047189,77.2440728967614,58.370323398858595,1.1927621840479854,-31.93858586889309,2.4185188791340333,8,8,65,85
ema8_aligned + intraday_stack_7d + stack_7d30d_score3,3,7735,542.921606784002,74.32613076381438,57.90562378797674,1.154133580803899,-44.56063666127842,1.6679773076133153,7,8,62,88
ema8_aligned + intraday_stack_24h + stack_7d30d_score3,3,6804,535.5132227477509,74.11754627079046,58.27454438565549,1.174535853906139,-35.48424535133903,2.0887451751314634,8,8,63,86
ema8_aligned + intraday_stack_7d + avoid_after_hours,3,6545,532.5769796982247,75.66073194662644,58.13598166539343,1.1808597821471927,-34.66822774309285,2.182422837051449,8,8,63,85
ema8_aligned + intraday_stack_7d + zone_fvg_overlap_100,3,7449,527.7238230068533,72.2455496076661,57.90038931400188,1.155719288172856,-40.90812136773789,1.7660441788129244,7,8,61,88
ema8_aligned + stack_7d30d_score3 + zone_fvg_overlap_100,3,7142,527.6186526913474,72.23115175993803,58.05096611593391,1.1629794235655495,-39.718082181135216,1.8185961605730665,7,8,63,88
ema8_aligned + recent_fvg_20 + opposite_fvg_20,3,6533,522.795363850402,71.57084207134909,58.31930200520434,1.1777091859186242,-28.525012928951575,2.5090555523888294,8,8,63,88
ema8_aligned + zone_fvg_overlap_100,2,7977,517.2494770737417,70.81160850868972,57.60310893819732,1.1414894755132403,-49.60967282523738,1.4273750354722459,7,8,65,88
ema8_aligned + h1_stack_30d,2,7109,516.3676322432607,70.69088368697562,58.03910535940358,1.1600615016091873,-46.81543066015617,1.5099911010140392,7,8,65,88
ema8_aligned + intraday_stack_24h + zone_fvg_overlap_100,3,6653,513.2621462366856,71.0378927294238,58.15421614309334,1.1707701924119756,-34.72885770196181,2.045500411763066,7,8,59,86
ema8_aligned + stack_score3 + opposite_fvg_20,3,5186,513.2253041242184,71.03279360794649,59.19784033937524,1.2247670943327256,-28.898019846988234,2.4580505510085864,8,8,61,87
ema8_aligned + h1_stack_30d + stack_7d30d_score3,3,7057,506.89850532881997,69.39455737307028,57.99914978035993,1.1581568238426687,-45.17503407814167,1.5361262872106485,7,8,65,88
ema8_aligned + intraday_stack_24h + avoid_after_hours,3,5843,506.2712361090549,71.92359742856176,58.34331678932055,1.193769108979487,-32.839031746975564,2.1901862997280923,8,8,62,85
ema8_aligned + avoid_after_hours + zone_fvg_overlap_100,3,6265,500.8286137131844,71.15038940441096,58.02075019952115,1.1774087656807037,-33.00773961625453,2.1555668528532994,8,8,64,85
ema8_aligned + h1_stack_30d + avoid_after_hours,3,5614,495.53395537182155,70.39820194459658,58.47880299251871,1.198011829146196,-34.58686085413099,2.0354030463041677,8,8,63,85
ema8_aligned + h1_stack_30d + intraday_stack_7d,3,6796,493.9160296748961,67.6172525632518,58.03413772807534,1.1601548579977567,-46.245702611720894,1.4621305060702943,7,8,65,88
ema8_aligned + stack_score3 + stack_7d30d_score3,3,6169,490.21343738777506,67.8478431246248,58.25903712108932,1.1763105075474354,-36.113512036335706,1.8787384360834114,7,8,59,87
