zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,entry_atr,entry_ema8,entry_close,entry_close_location,orb30_state,orb15_state,orb30_width,entry_ny_hour,entry_weekday,entry_session,entry_ema8_distance_atr,orb30_width_atr,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,closed_m15_timestamp,closed_m15_close,closed_m15_ema8,closed_m15_atr,closed_m15_ema8_distance_atr,closed_m15_ema8_aligned,m15_boundary_entry,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,intraday_stack_24h,xau_sdr_002_clean,orb_continuation,orb_reversal,orb_inside,trade_key
3,15min,m15_2c_1atr,supply,1341.87,1322.89,2019-02-21 00:15:00+00:00,2019-02-19 00:00:00+00:00,2019-02-20 00:00:00+00:00,2019-02-21 00:00:00+00:00,2,1.5134654471544673,1.6877540650406289,0.7961011591148612,2019-02-22 00:00:00+00:00,2019-02-28 00:00:00+00:00,1319.35,1344.2565714285713,24.906571428571397,23.75,True,40,41,3,1319.76,0.705069124423969,2.129558464203367,1.0310531930758415,-0.9202390648480648,1.0,tp1,2019,2019-02,2019-02-28,0.012045013937801857,0.9879549860621981,<=0.03R,11.932857142857172,1322.341118745522,1313.15,0.03547066848567442,missing,missing,,19,Wednesday,after_hours,-0.25066241133310496,,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,2019-02-27 00:00:00+00:00,1319.76,1324.9671526728139,11.447142857142905,-0.4548866680356556,True,True,0,0,0,False,False,False,False,False,2019-02-28 00:00:00+00:00|supply|1319.35
5,15min,m15_2c_1atr,demand,1299.14,1290.5,2019-03-13 00:15:00+00:00,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,2019-03-13 00:00:00+00:00,2,1.4031277150303956,0.75065160729801,0.3749999999999967,2019-03-14 00:00:00+00:00,2019-03-18 00:00:00+00:00,1302.27,1288.018,14.251999999999953,23.75,True,52,53,1,1302.02,0.45182186234816724,1.5618860510805546,1.0861633454953739,2.709795116474898,1.0,tp1,2019,2019-03,2019-03-18,0.021049677238282414,0.9789503227617176,<=0.03R,12.410000000000016,1300.713186289841,1303.6,0.6317647058823401,missing,missing,,20,Sunday,after_hours,0.12544832475093268,,True,False,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,2019-03-15 00:00:00+00:00,1302.02,1299.8883823726526,12.279285714285736,0.17359459474645736,True,True,0,0,0,False,False,False,False,False,2019-03-18 00:00:00+00:00|demand|1302.27
6,15min,m15_2c_1atr,demand,1310.38,1292.87,2019-03-20 00:15:00+00:00,2019-03-14 00:00:00+00:00,2019-03-15 00:00:00+00:00,2019-03-20 00:00:00+00:00,4,1.3020996009022978,1.4178957718780858,0.784694460308386,2019-03-21 00:00:00+00:00,2019-03-25 00:00:00+00:00,1312.56,1290.528857142857,22.031142857142868,23.75,True,57,58,1,1313.24,0.5055624227441093,0.5433217912305967,1.0902748057943936,1.2300769041227408,-1.0,stop,2019,2019-03,2019-03-25,0.013617087499513668,-1.0136170874995136,<=0.03R,11.705714285714341,1310.4397978284705,1321.84,0.8008882309400402,missing,missing,,20,Sunday,after_hours,0.18112539908110478,,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,2019-03-22 00:00:00+00:00,1313.24,1307.1825972080335,11.34071428571435,0.5341288599076076,True,True,0,0,0,False,False,False,False,False,2019-03-25 00:00:00+00:00|demand|1312.56
8,15min,m15_2c_1atr,supply,1324.53,1311.02,2019-03-27 00:15:00+00:00,2019-03-25 00:00:00+00:00,2019-03-26 00:00:00+00:00,2019-03-27 00:00:00+00:00,2,1.0384999706106957,1.111738082642679,0.6868985936343434,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00,1291.11,1327.1417142857142,36.031714285714315,23.75,True,61,62,0,1290.29,0.8110831234256922,0.6882825447423283,1.023542752020048,-1.4104241501534396,-1.0,stop,2019,2019-03,2019-03-29,0.008325998525108826,-1.0083259985251087,<=0.03R,13.058571428571472,1303.267205393409,1292.0,0.40015360983103254,missing,missing,,20,Thursday,after_hours,-0.930975142258659,,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,2019-03-28 00:00:00+00:00,1290.29,1306.4864069343832,12.745714285714339,-1.2707335635584225,True,True,2,2,2,True,False,False,False,False,2019-03-29 00:00:00+00:00|supply|1291.11
14,15min,m15_2c_1atr,supply,1301.27,1282.02,2019-05-16 00:15:00+00:00,2019-05-13 00:00:00+00:00,2019-05-14 00:00:00+00:00,2019-05-16 00:00:00+00:00,3,1.2256174688769137,1.7941548498768385,0.6337662337662361,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,1277.55,1303.475,25.924999999999955,23.75,True,96,97,0,1277.61,0.6607396870554927,0.30896817743490856,1.1340405014464858,-2.553134040501453,-1.0,stop,2019,2019-05,2019-05-20,0.011571841851494716,-1.0115718418514947,<=0.03R,11.024999999999993,1284.763095708796,1277.73,0.7589453860640328,missing,missing,,20,Sunday,after_hours,-0.6542490438817344,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,2019-05-17 00:00:00+00:00,1277.61,1286.772551625595,11.106428571428571,-0.8249773153150171,True,True,0,0,0,False,False,False,False,False,2019-05-20 00:00:00+00:00|supply|1277.55
18,15min,m15_2c_1atr,demand,1323.92,1321.65,2019-06-04 09:15:00+00:00,2019-06-04 06:00:00+00:00,2019-06-04 07:00:00+00:00,2019-06-04 09:00:00+00:00,3,1.591597157862251,0.9817732468334832,0.5726872246696882,2019-06-04 12:00:00+00:00,2019-06-04 14:00:00+00:00,1326.94,1321.1575714285716,5.782428571428454,2.75,True,129,130,1,1326.94,0.7031802120140991,0.07263384144079298,1.1967290065963756,11.451935667169247,-1.0,stop,2019,2019-06,2019-06-04,0.051881315314871224,-1.0518813153148712,0.05-0.10R,2.462142857142843,1325.0033899344166,1323.42,0.041362530413644016,missing,below,,10,Tuesday,london_ny_overlap,0.7865547118702605,,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,2019-06-04 13:00:00+00:00,1326.94,1325.4557870585356,2.2549999999999955,0.6581875571904318,True,True,3,3,2,True,False,False,False,False,2019-06-04 14:00:00+00:00|demand|1326.94
20,15min,m15_2c_1atr,supply,1327.13,1324.3,2019-06-04 15:15:00+00:00,2019-06-04 13:00:00+00:00,2019-06-04 14:00:00+00:00,2019-06-04 15:00:00+00:00,2,1.3364978902954077,1.0448312236287534,0.7031802120140991,2019-06-04 16:00:00+00:00,2019-06-04 17:00:00+00:00,1324.2,1327.8117142857143,3.6117142857142426,0.75,True,132,133,0,1324.19,0.10986267166043821,1.0659757930543974,1.1324262321018814,-22.36611027608601,1.0,tp1,2019,2019-06,2019-06-04,0.08306304880943062,0.9169369511905694,0.05-0.10R,3.4085714285714306,1323.7779735905417,1321.14,0.08759124087591544,missing,below,,13,Tuesday,ny_main,0.12381328022667132,,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,2019-06-04 16:00:00+00:00,1324.19,1324.5316803306964,3.174999999999987,-0.10761585218783129,True,True,5,4,2,True,False,False,False,False,2019-06-04 17:00:00+00:00|supply|1324.2
21,15min,m15_2c_1atr,demand,1326.14,1320.66,2019-06-04 20:15:00+00:00,2019-06-04 17:00:00+00:00,2019-06-04 18:00:00+00:00,2019-06-04 20:00:00+00:00,3,1.2827758154996431,1.594016206108458,0.5583941605839298,2019-06-04 21:00:00+00:00,2019-06-04 23:00:00+00:00,1326.58,1319.9922857142858,6.587714285714128,0.75,True,138,139,1,1326.6,0.2,3.289456564167154,1.0109728065229668,9.463069783580073,1.0,tp1,2019,2019-06,2019-06-04,0.04553931560914365,0.9544606843908563,0.03-0.05R,3.3385714285714294,1325.0005087581758,1325.3,0.10322580645152205,missing,inside,,19,Tuesday,after_hours,0.47310392352456154,,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,2019-06-04 22:00:00+00:00,1326.6,1324.9149398319403,3.42785714285716,0.49157829449541113,True,True,9,4,2,True,False,False,False,False,2019-06-04 23:00:00+00:00|demand|1326.58
23,15min,m15_2c_1atr,demand,1334.31,1331.8,2019-06-05 13:15:00+00:00,2019-06-05 11:00:00+00:00,2019-06-05 12:00:00+00:00,2019-06-05 13:00:00+00:00,2,2.422381635581073,1.008321377331426,0.3067729083665277,2019-06-05 14:00:00+00:00,2019-06-05 15:00:00+00:00,1335.0,1331.1225714285713,3.877428571428709,0.75,True,153,154,0,1334.95,0.7118320610687046,2.341758160783923,2.05806499152598,18.47358337631652,1.0,tp1,2019,2019-06,2019-06-05,0.07737086434308177,0.9226291356569183,0.05-0.10R,3.38714285714283,1335.2237301276195,1340.84,0.6776119402985051,missing,above,,11,Wednesday,london_ny_overlap,-0.06605275804879121,,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,2019-06-05 14:00:00+00:00,1334.95,1333.6190815926539,2.754999999999979,0.48309198088791266,True,True,1,1,1,True,False,False,False,False,2019-06-05 15:00:00+00:00|demand|1335.0
25,15min,m15_2c_1atr,demand,1331.99,1330.38,2019-06-06 10:15:00+00:00,2019-06-06 07:00:00+00:00,2019-06-06 08:00:00+00:00,2019-06-06 10:00:00+00:00,3,1.7965779467680567,0.7141951837768948,0.34782608695650946,2019-06-07 09:00:00+00:00,2019-06-07 11:00:00+00:00,1335.41,1329.9775714285715,5.432428571428545,22.75,True,195,196,1,1335.41,0.9463869463869947,2.3635837694269823,1.1744286954006622,16.184290109658978,1.0,tp1,2019,2019-06,2019-06-07,0.055223919846425176,0.9447760801535748,0.05-0.10R,2.012142857142846,1334.0292451186217,1335.87,0.7920792079207541,missing,above,,7,Friday,asia_late,0.6862111586545057,,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,2019-06-07 10:00:00+00:00,1335.41,1333.5033151525136,2.0749999999999966,0.9188842638489321,True,True,0,0,0,False,False,False,False,False,2019-06-07 11:00:00+00:00|demand|1335.41
