trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
3031,208.37472123421458,56.581986143187066,1.1506600510045222,-24.663163772052712,7,8,51,85,1.0561029556066945,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap
559,51.99171095753593,55.27728085867621,1.2124681320121482,-12.447641107603594,7,8,38,72,0.5221040527688514,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p03
1307,133.23217549414903,56.465187452180565,1.233784750514077,-16.754651300762855,7,8,53,85,0.9939939445955737,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05
559,51.99171095753593,55.27728085867621,1.2124681320121482,-12.447641107603594,7,8,38,72,0.5221040527688514,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10
279,25.82452132381854,55.19713261648745,1.210561845585491,-12.353778415989368,6,8,20,36,0.261301850881449,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15
1504,99.66534368912335,56.44946808510638,1.1449298867740014,-30.06398152366996,5,8,46,85,0.4143884918014555,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1
1971,130.57754152369577,56.519533231862,1.1445915894676486,-30.66749669648048,4,8,51,85,0.5322310083540391,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2
2336,131.76249461202525,55.95034246575342,1.121886034506122,-33.34013442815098,5,8,51,85,0.49400856082320804,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3
2165,164.69087709546633,56.85912240184757,1.1684120316536664,-18.815848748322253,8,8,52,85,1.0940967857625294,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45
1612,105.94089571889064,56.26550868486352,1.1436778043975275,-19.279429309121387,7,8,51,85,0.6868777987425205,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60
1195,83.86174657117016,56.40167364016736,1.1542322409972712,-16.187546232027938,7,8,46,84,0.6475792050963007,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70
1343,80.59395155734325,56.9620253164557,1.1297159163399606,-18.323548595144544,6,8,49,85,0.5497976493121766,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + tight_zone
187,30.75552486026252,58.288770053475936,1.4309590860651145,-5.278950670478057,7,8,40,77,0.7282584830793022,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + wide_zone
1012,68.23896563056704,56.126482213438734,1.1481252737746488,-17.9719287356711,7,8,49,85,0.4746218855681636,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + impulse_ge_1p5
350,55.46580433911547,60.57142857142858,1.3942441579059262,-10.949069619232368,7,8,47,83,0.6332250851899797,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + impulse_ge_2
971,83.47796476690269,57.77548918640577,1.191886125054553,-21.28180821360324,7,8,47,85,0.49031292318445907,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + base_body_low
987,63.189800387336525,56.12968591691996,1.1395806539451654,-17.750691120722905,7,8,54,85,0.4449812683178156,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + base_body_high
1599,92.92388971787742,55.909943714821765,1.125989308089987,-48.89340693298438,4,8,47,85,0.23756753606177236,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + dir_demand
