zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,closed_m15_ema8_aligned,m15_boundary_entry
51,15min,m15_2c_1atr,demand,1341.66,1340.57,2019-06-18 08:15:00+00:00,2019-06-18 06:00:00+00:00,2019-06-18 07:00:00+00:00,2019-06-18 08:00:00+00:00,2,2.662543486664094,0.5898724391187412,0.2660550458714907,2019-06-18 16:00:00+00:00,2019-06-18 20:00:00+00:00,1347.94,1339.6691428571428,8.270857142857267,7.75,True,365,366,3,1347.96,0.5798045602605895,11.014577863755523,0.7943553958822795,8.077760121597219,1.0,tp1,2019,2019-06,2019-06-18,0.0362719358850346,0.9637280641149653,0.03-0.05R,5,4,2,1.0,9,4,2,1.0,5,4,1.0,6,4,1.0,True,True,True,True,True,15,7,21,7,True,16,Tuesday,ny_main,bull,0.6428571428571429,mid,missing,inside,,0.24629080118693,-0.0627965655814035,0.2802030814012395,False,unknown,unknown,False,False,,,True,True,0.0921228304405946,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,True
68,15min,m15_2c_1atr,supply,1436.56,1425.78,2019-06-25 08:15:00+00:00,2019-06-25 06:00:00+00:00,2019-06-25 07:00:00+00:00,2019-06-25 08:00:00+00:00,2,2.283849918433943,1.8938386246706032,0.9601113172541684,2019-06-25 09:00:00+00:00,2019-06-25 16:00:00+00:00,1425.55,1437.784,12.233999999999924,0.75,True,476,477,6,1425.64,0.4802110817941542,3.574464606833439,0.9947686774562816,1.3879352623835317,1.0,tp1,2019,2019-06,2019-06-25,0.0245218244237372,0.9754781755762628,<=0.03R,1,1,1,1.0,1,1,1,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,5,5,5,5,True,12,Tuesday,ny_main,bull,0.6952965235173824,high,missing,above,,0.7829457364341038,0.4722448093136163,1.090436915389621,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True
80,15min,m15_2c_1atr,demand,1410.78,1408.3,2019-06-28 03:15:00+00:00,2019-06-28 01:00:00+00:00,2019-06-28 02:00:00+00:00,2019-06-28 03:00:00+00:00,2,1.5610232376489055,0.6779925795743064,0.4475806451612467,2019-06-28 09:00:00+00:00,2019-06-28 12:00:00+00:00,1415.15,1407.4395714285713,7.710428571428793,5.75,True,541,542,2,1415.1,0.1236749116607484,0.0207511162988707,1.224315861634493,-1.3086172715987436,-1.0,stop,2019,2019-06,2019-06-28,0.0389083430604179,-1.038908343060418,0.03-0.05R,3,3,2,1.0,9,4,2,1.0,9,4,1.0,9,4,1.0,True,True,True,True,True,21,7,27,7,False,8,Friday,london_ny_overlap,bull,0.628,mid,missing,inside,,0.2901023890784834,-0.3351831059462714,0.0800825571795228,False,unknown,unknown,False,False,,,True,True,0.0884146341463437,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True
127,15min,m15_2c_1atr,demand,1419.99,1417.1,2019-07-23 14:15:00+00:00,2019-07-23 11:00:00+00:00,2019-07-23 12:00:00+00:00,2019-07-23 14:00:00+00:00,3,1.6706618030224492,1.0541948931735552,0.719723183391032,2019-07-23 18:00:00+00:00,2019-07-23 19:00:00+00:00,1422.89,1416.3647142857142,6.525285714285928,3.75,True,935,936,0,1422.89,0.2287234042553178,0.0950149966065874,1.0359699630010373,12.866869540468494,-1.0,stop,2019,2019-07,2019-07-23,0.0459749983580342,-1.0459749983580342,0.03-0.05R,3,3,2,1.0,7,4,2,1.0,4,4,1.0,11,4,1.0,True,True,True,True,True,11,7,29,7,False,15,Tuesday,ny_main,bull,0.46,mid,missing,inside,,0.2882562277579933,-0.6815701909828333,-0.6964302532348825,False,unknown,unknown,False,False,,,True,True,0.2439560439560494,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True
138,15min,m15_2c_1atr,demand,1416.09,1414.04,2019-07-26 10:15:00+00:00,2019-07-26 08:00:00+00:00,2019-07-26 09:00:00+00:00,2019-07-26 10:00:00+00:00,2,1.9144602851323824,0.8350305498981402,0.5170731707316921,2019-07-26 15:00:00+00:00,2019-07-26 16:00:00+00:00,1419.86,1413.4684285714286,6.391571428571297,4.75,True,1001,1002,0,1419.86,0.0582147477360988,2.263919000469419,1.409668983706248,12.74178046981543,1.0,tp1,2019,2019-07,2019-07-26,0.0469368141078662,0.9530631858921338,0.03-0.05R,1,1,1,1.0,3,2,2,1.0,4,2,1.0,9,4,1.0,True,True,True,True,True,9,5,21,7,True,12,Friday,ny_main,bull,0.17,low,missing,above,,0.3487544483985897,0.6546666693622045,0.8674748145547926,False,unknown,unknown,False,False,,,True,True,0.5255781359495452,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True
165,15min,m15_2c_1atr,demand,1498.32,1494.84,2019-08-08 21:15:00+00:00,2019-08-08 19:00:00+00:00,2019-08-08 20:00:00+00:00,2019-08-08 21:00:00+00:00,2,2.0787381045495783,0.6351192804067297,0.5459770114942109,2019-08-09 15:00:00+00:00,2019-08-09 18:00:00+00:00,1501.99,1494.0485714285714,7.94142857142856,17.75,True,1233,1234,2,1501.96,0.4484536082474346,0.4999100557654296,1.5349883072495143,4.215866162978961,-1.0,stop,2019,2019-08,2019-08-09,0.0377765785213168,-1.0377765785213169,0.03-0.05R,1,1,1,1.0,1,1,1,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,5,5,5,5,False,14,Friday,ny_main,bull,0.564,mid,missing,above,,0.6959876543209843,0.492380499886437,0.5081097495766139,False,unknown,unknown,False,False,,,False,False,,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True
179,15min,m15_2c_1atr,supply,1522.81,1517.87,2019-08-15 15:15:00+00:00,2019-08-15 13:00:00+00:00,2019-08-15 14:00:00+00:00,2019-08-15 15:00:00+00:00,2,1.65096077915242,0.910239536720202,0.421052631578974,2019-08-15 16:00:00+00:00,2019-08-15 17:00:00+00:00,1515.07,1524.0225714285714,8.952571428571446,0.75,True,1324,1325,0,1515.1,0.4380368098159504,0.2066445394778729,1.33257803025468,-1.7436331141890706,-1.0,stop,2019,2019-08,2019-08-15,0.0335099253207377,-1.0335099253207378,0.03-0.05R,5,4,2,1.0,5,4,2,1.0,2,1,1.0,2,1,1.0,True,True,True,True,True,9,7,9,7,False,13,Thursday,ny_main,bull,0.88,high,missing,inside,,0.7708333333333222,0.3950865320301029,0.4843064883785659,False,unknown,unknown,False,False,,,False,False,,True,True,True,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True
197,15min,m15_2c_1atr,demand,1497.25,1492.52,2019-08-22 16:15:00+00:00,2019-08-22 14:00:00+00:00,2019-08-22 15:00:00+00:00,2019-08-22 16:00:00+00:00,2,3.0850147358875692,1.5012468827930263,0.7484143763213424,2019-08-22 17:00:00+00:00,2019-08-22 18:00:00+00:00,1500.44,1491.8484285714285,8.59157142857157,0.75,True,1440,1441,0,1500.5,0.3666061705989084,6.5890158128397065,1.6248482732245664,-0.7437521823714266,1.0,tp1,2019,2019-08,2019-08-22,0.0349179428343387,0.9650820571656612,0.03-0.05R,1,1,1,1.0,11,4,2,1.0,10,4,1.0,18,4,1.0,True,True,True,True,True,21,5,47,7,True,14,Thursday,ny_main,bull,0.35,mid,missing,above,,0.3699059561128663,0.4086828290306079,0.2345214487911497,False,unknown,unknown,False,False,,,False,False,,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
212,15min,m15_2c_1atr,supply,1550.4,1543.94,2019-08-29 11:15:00+00:00,2019-08-29 09:00:00+00:00,2019-08-29 10:00:00+00:00,2019-08-29 11:00:00+00:00,2,2.730667749137456,1.8355997564441031,0.8126934984520078,2019-08-29 15:00:00+00:00,2019-08-29 17:00:00+00:00,1539.49,1551.3705714285716,11.880571428571557,3.75,True,1554,1555,1,1539.49,0.4002525252525307,1.8972151411668272,1.4780433841565856,3.5057236304169774,1.0,tp1,2019,2019-08,2019-08-29,0.0252513106632674,0.9747486893367324,<=0.03R,3,3,2,1.0,9,4,2,1.0,9,4,1.0,9,4,1.0,True,True,True,True,True,21,7,27,7,True,13,Thursday,ny_main,bull,0.582,mid,missing,inside,,0.3007117437722453,-0.1811851370898849,-0.2635555321430583,False,unknown,unknown,False,False,,,True,True,0.4556126192223028,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True
248,15min,m15_2c_1atr,demand,1497.99,1496.7,2019-09-13 10:15:00+00:00,2019-09-13 08:00:00+00:00,2019-09-13 09:00:00+00:00,2019-09-13 10:00:00+00:00,2,2.4642356241234893,0.4221598877980248,0.1937984496124085,2019-09-13 15:00:00+00:00,2019-09-13 17:00:00+00:00,1503.95,1495.7412857142858,8.208714285714223,4.75,True,1803,1804,1,1503.97,0.5287878787878693,0.0730930544195088,1.4070412975757522,-1.4216599084596706,-1.0,stop,2019,2019-09,2019-09-13,0.0365465272097599,-1.03654652720976,0.03-0.05R,3,3,2,1.0,5,4,2,1.0,1,1,1.0,11,4,1.0,True,True,True,True,True,5,5,27,7,False,13,Friday,ny_main,bear,0.712,high,missing,below,,0.2946502057613142,-1.2445310059559296,-1.193850320693563,False,unknown,unknown,False,False,,,True,True,0.1063829787233921,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,True
