tf,family,side,sl,tp,n,net,wr,pf,dd,mar,pos_years,trades_per_year,flag
M5,fvg_break,L,1.0,1.5,48906,-44929.5421946829,0.3520631415368258,0.2408020888429704,-44933.533953091195,-0.14999544386843175,0/8,7336.328914963372,False
M5,fvg_break,L,1.0,2.0,48906,-42913.082104306515,0.32613585245164195,0.31923785636579133,-42917.32488722318,-0.14999394040729033,0/8,7336.328914963372,False
M5,fvg_break,L,1.0,3.0,48906,-40255.68974938569,0.2697624013413487,0.41632754657693083,-40263.10032506708,-0.1499811605103375,0/8,7336.328914963372,False
M5,fvg_break,L,2.0,1.5,48906,-22212.091217837045,0.3941029730503415,0.4851720000659975,-22216.190243432997,-0.14998109263779058,0/8,7336.328914963372,False
M5,fvg_break,L,2.0,2.0,48906,-20508.264926857664,0.34556087187666135,0.5613998685021359,-20515.085275825677,-0.1499588989793412,0/8,7336.328914963372,False
M5,fvg_break,L,2.0,3.0,48906,-18492.900534090288,0.27736883000040896,0.6422806646860049,-18510.72088305829,-0.1498643561160932,0/8,7336.328914963372,False
M5,fvg_break,S,1.0,1.5,47836,-44629.127846606294,0.3483777907851827,0.23547312982527313,-44635.375595044105,-0.1499894841468854,0/8,7175.901396258865,False
M5,fvg_break,S,1.0,2.0,47836,-42863.7951062814,0.32270674805585753,0.3110320078102947,-42869.64257169635,-0.14999001997617648,0/8,7175.901396258865,False
M5,fvg_break,S,1.0,3.0,47836,-40540.99868327118,0.265783092231792,0.4054666838006932,-40549.262488019864,-0.14997990993050064,0/8,7175.901396258865,False
M5,fvg_break,S,2.0,1.5,47836,-23044.45102138909,0.38521197424533826,0.4647080781062937,-23052.852214596554,-0.14995581297252444,0/8,7175.901396258865,False
M5,fvg_break,S,2.0,2.0,47836,-22041.27772971475,0.3336608412074588,0.5298304722613622,-22049.990168178752,-0.14995120911061832,0/8,7175.901396258865,False
M5,fvg_break,S,2.0,3.0,47836,-20526.326249727394,0.2640898068400368,0.6035898985605508,-20534.95815210171,-0.14994742442250034,0/8,7175.901396258865,False
M5,fvg_retest,L,1.0,1.5,30647,-37056.09879295154,0.25486997095963715,0.15043960762106937,-37055.13185095979,-0.15002017237793874,0/8,4597.54825129349,False
M5,fvg_retest,L,1.0,2.0,30647,-36253.5810315275,0.23326916174503215,0.20170319775188672,-36253.114089535615,-0.15001818996814337,0/8,4597.54825129349,False
M5,fvg_retest,L,1.0,3.0,30647,-35173.483639138925,0.19068750611805396,0.26861863596575175,-35172.04573471388,-0.1500223907192345,0/8,4597.54825129349,False
M5,fvg_retest,L,2.0,1.5,30647,-19108.013871582916,0.3287434332887395,0.36538895930335175,-19106.794919370437,-0.15002582830687752,0/8,4597.54825129349,False
M5,fvg_retest,L,2.0,2.0,30647,-18366.8055655079,0.2862596665252716,0.42783975045033606,-18365.586613295392,-0.15002621456056478,0/8,4597.54825129349,False
M5,fvg_retest,L,2.0,3.0,30647,-17373.391141253076,0.22905994061408946,0.4985678170904639,-17372.172189040528,-0.1500267839331329,0/8,4597.54825129349,False
M5,fvg_retest,S,1.0,1.5,29497,-35581.23220397216,0.25629725056785435,0.15087004900962978,-35584.389866456724,-0.1499963144259954,0/8,4424.833934415709,False
M5,fvg_retest,S,1.0,2.0,29497,-35000.97161589562,0.23314235345967388,0.19980449625382524,-35004.14519520316,-0.1499960255581034,0/8,4424.833934415709,False
M5,fvg_retest,S,1.0,3.0,29497,-33990.76776702744,0.19059565379530122,0.267146017350199,-33996.308086403966,-0.1499851790657502,0/8,4424.833934415709,False
M5,fvg_retest,S,2.0,1.5,29497,-18900.843566169035,0.32230396311489307,0.3548342898300248,-18908.903528774124,-0.1499456839343477,0/8,4424.833934415709,False
M5,fvg_retest,S,2.0,2.0,29497,-18564.849825472542,0.2770790249855918,0.4074668246076765,-18571.0376632996,-0.14995964292486527,0/8,4424.833934415709,False
M5,fvg_retest,S,2.0,3.0,29497,-17800.44445419632,0.21907312608061838,0.47303341918778913,-17806.03124385008,-0.1499625591128512,0/8,4424.833934415709,False
M5,fvg_fade,L,1.0,1.5,47832,-40277.27329822046,0.37761331326308745,0.26946833903329764,-40275.98923007916,-0.15001526416081432,0/8,7175.301354332595,False
M5,fvg_fade,L,1.0,2.0,47832,-38041.89079408372,0.3528600100351229,0.35603140024395113,-38040.606725942256,-0.15001554520064397,0/8,7175.301354332595,False
M5,fvg_fade,L,1.0,3.0,47832,-35073.84896890816,0.29331828064893795,0.46343299983514025,-35072.99728064821,-0.1500141243175626,0/8,7175.301354332595,False
M5,fvg_fade,L,2.0,1.5,47832,-19387.643264219092,0.4141787924402074,0.5243196287643063,-19386.676659763514,-0.15001796097208098,0/8,7175.301354332595,False
M5,fvg_fade,L,2.0,2.0,47832,-18013.83963481905,0.36080448235490886,0.5970851560625869,-18021.474585322245,-0.1499469283550347,0/8,7175.301354332595,False
M5,fvg_fade,L,2.0,3.0,47832,-15843.730239144232,0.28986870714166246,0.6815114483449273,-15853.721503157507,-0.1499159426084835,0/8,7175.301354332595,False
M5,fvg_fade,S,1.0,1.5,48904,-40988.13903479287,0.37487731064943564,0.269081586789291,-40986.672024087675,-0.15001413936255809,0/8,7336.02889742299,False
M5,fvg_fade,S,1.0,2.0,48904,-38968.3071419833,0.348539996728284,0.3532205044486278,-38967.4014936765,-0.1500122565715482,0/8,7336.02889742299,False
M5,fvg_fade,S,1.0,3.0,48904,-36111.89313813808,0.2898126942581384,0.4585876724873974,-36113.983208436155,-0.15000008854346478,0/8,7336.02889742299,False
M5,fvg_fade,S,2.0,1.5,48904,-20130.045418086655,0.4104776705381973,0.5186960897728254,-20131.592593933216,-0.14999724154794947,0/8,7336.02889742299,False
M5,fvg_fade,S,2.0,2.0,48904,-19394.08335957938,0.3532430884999182,0.5802144413610676,-19397.628394728436,-0.14998135517142908,0/8,7336.02889742299,False
M5,fvg_fade,S,2.0,3.0,48904,-18244.846533588196,0.27772779322754787,0.647131463996607,-18255.589549760738,-0.14992049330249282,0/8,7336.02889742299,False
M5,ob,L,1.0,1.5,718,-1836.9713219499047,0.018105849582172703,0.0060935144089333225,-1835.4809774091782,-0.1505705346483473,0/8,108.02193395214464,False
M5,ob,L,1.0,2.0,718,-1833.9713219499047,0.016713091922005572,0.008905317063026255,-1832.4809774091784,-0.15057073463733261,0/8,108.02193395214464,False
M5,ob,L,1.0,3.0,718,-1821.9713219499047,0.016713091922005572,0.014285265426253364,-1820.4809774091784,-0.15057154118457547,0/8,108.02193395214464,False
M5,ob,L,2.0,1.5,718,-1171.080566119679,0.06128133704735376,0.034820780239795276,-1169.8353938493149,-0.15060851316206644,0/8,108.02193395214464,False
M5,ob,L,2.0,2.0,718,-1172.5805661196791,0.05153203342618384,0.04171343919181473,-1171.8265928932688,-0.15054517703033599,0/8,108.02193395214464,False
M5,ob,L,2.0,3.0,718,-1174.580566119679,0.04317548746518106,0.05602561643906644,-1175.8265928932688,-0.1502889454074194,0/8,108.02193395214464,False
M5,ob,S,1.0,1.5,760,-2007.1509542987822,0.006578947368421052,0.002531678059460772,-2005.4174278600196,-0.1504458810763718,0/8,114.24011797555322,False
M5,ob,S,1.0,2.0,760,-2008.1509542987822,0.006578947368421052,0.002708405118435846,-2006.4174278600196,-0.15044581631598353,0/8,114.24011797555322,False
M5,ob,S,1.0,3.0,760,-2004.1509542987822,0.006578947368421052,0.004461972527867159,-2002.41742786002,-0.1504460757456299,0/8,114.24011797555322,False
M5,ob,S,2.0,1.5,760,-1291.0754771493912,0.046052631578947366,0.025848506388435763,-1289.7087139300104,-0.15047524137553578,0/8,114.24011797555322,False
M5,ob,S,2.0,2.0,760,-1291.0754771493912,0.039473684210526314,0.03198754481181388,-1289.7087139300104,-0.15047524137553578,0/8,114.24011797555322,False
M5,ob,S,2.0,3.0,760,-1292.0754771493912,0.030263157894736843,0.039331496664131466,-1290.7087139300104,-0.15047511795754911,0/8,114.24011797555322,False
M5,orb,L,1.0,1.5,2819,-2245.944824542937,0.35863781482795315,0.2893004101379438,-2247.733873796092,-0.1499255053607756,0/8,422.9766613890196,False
M5,orb,L,1.0,2.0,2819,-2109.944824542937,0.3306136927988648,0.3734846246575856,-2109.733873796092,-0.15005993420219915,0/8,422.9766613890196,False
M5,orb,L,1.0,3.0,2819,-1901.0361949247872,0.2749201844625754,0.48411143187783795,-1901.8252441779427,-0.1499826791005862,0/8,422.9766613890196,False
M5,orb,L,2.0,1.5,2819,-1097.7083680943551,0.3955303299042214,0.537100144186139,-1098.5063613536365,-0.14993593345817838,0/8,422.9766613890196,False
M5,orb,L,2.0,2.0,2819,-1009.6930639915322,0.3462220645619014,0.6082347583049835,-1010.9104924061513,-0.14986423385472616,0/8,422.9766613890196,False
M5,orb,L,2.0,3.0,2819,-895.1170891375639,0.27882227740333454,0.6843917503756074,-899.0487858986821,-0.149388758729146,0/8,422.9766613890196,False
M5,orb,S,1.0,1.5,2737,-2074.822521065623,0.3624406284252832,0.3084192123562458,-2076.298794359731,-0.14994744457624598,0/8,410.69816711767163,False
M5,orb,S,1.0,2.0,2737,-1947.322521065623,0.32955791012056995,0.39134070663269854,-1950.2987943597302,-0.14982514322477855,0/8,410.69816711767163,False
M5,orb,S,1.0,3.0,2737,-1765.6702900093492,0.26854219948849106,0.4946430478280585,-1771.6465633034568,-0.1495479591172564,0/8,410.69816711767163,False
M5,orb,S,2.0,1.5,2737,-1008.4116711109009,0.3942272561198392,0.5557484807266169,-1014.4780466750581,-0.14915684118485056,0/8,410.69816711767163,False
M5,orb,S,2.0,2.0,2737,-950.1069206783566,0.3379612714651078,0.6162426161490066,-955.8063319177611,-0.14915937177656977,0/8,410.69816711767163,False
M5,orb,S,2.0,3.0,2737,-842.732842274911,0.2718304713189624,0.6895476911947569,-846.7994182844901,-0.14933353145619244,0/8,410.69816711767163,False
M5,bb_meanrev,L,1.0,1.5,20247,-15271.6263584812,0.3933916135723811,0.3036190861316578,-15276.02853603302,-0.14998372146506395,0/8,3037.595769260391,False
M5,bb_meanrev,L,1.0,2.0,20247,-14250.841458688377,0.36439966414777497,0.3973061944107807,-14258.356864877489,-0.14994787818138322,0/8,3037.595769260391,False
M5,bb_meanrev,L,1.0,3.0,20247,-12841.28800837558,0.30127920185706525,0.5116627555989695,-12859.316387896126,-0.14981662222749237,0/8,3037.595769260391,False
M5,bb_meanrev,L,2.0,1.5,20247,-7272.698845704354,0.42065491183879095,0.5631101791678259,-7279.713035464659,-0.14988240075172443,0/8,3037.595769260391,False
M5,bb_meanrev,L,2.0,2.0,20247,-6640.684393127843,0.3660295352397886,0.6372566956955876,-6657.19858288812,-0.14965479096700074,0/8,3037.595769260391,False
M5,bb_meanrev,L,2.0,3.0,20247,-5900.654408291206,0.29066034474243096,0.7120522399257939,-5921.736929414565,-0.14949283077759837,0/8,3037.595769260391,False
M5,bb_meanrev,S,1.0,1.5,19377,-15264.779959996431,0.38463126386953606,0.28605684828851957,-15266.197823132277,-0.14999312680061733,0/8,2906.686779408682,False
M5,bb_meanrev,S,1.0,2.0,19377,-14430.56299523564,0.35604066676988183,0.3747304003227039,-14433.480858371468,-0.1499767335239311,0/8,2906.686779408682,False
M5,bb_meanrev,S,1.0,3.0,19377,-13062.77260999792,0.2947308664912009,0.4893389636123035,-13069.444593665936,-0.14993047988056737,0/8,2906.686779408682,False
M5,bb_meanrev,S,2.0,1.5,19377,-7359.374470073195,0.41580223976879804,0.5450649989022404,-7363.210461907207,-0.1499289100821037,0/8,2906.686779408682,False
M5,bb_meanrev,S,2.0,2.0,19377,-7161.478520458856,0.3539763637301956,0.6012312545353967,-7168.314512292873,-0.1498640061141178,0/8,2906.686779408682,False
M5,bb_meanrev,S,2.0,3.0,19377,-6525.068524097401,0.2796098467254993,0.674281655219478,-6537.336337210027,-0.14972555910082108,0/8,2906.686779408682,False
M5,rsi,L,1.0,1.5,5747,-3359.9271143657757,0.40786497302940666,0.3988269916932116,-3361.9879418678793,-0.14995145972385,0/8,862.2996104564834,False
M5,rsi,L,1.0,2.0,5747,-3124.927114365775,0.36488602749260485,0.4860422946454665,-3127.9879418678756,-0.1498966112960676,0/8,862.2996104564834,False
M5,rsi,L,1.0,3.0,5747,-2791.706536838169,0.2944144771184966,0.5886449736394351,-2794.2708464648867,-0.14990573792590825,0/8,862.2996104564834,False
M5,rsi,L,2.0,1.5,5747,-1641.7337583295514,0.4149991299808596,0.6312012317990625,-1645.1083856803343,-0.1497356475738359,0/8,862.2996104564834,False
M5,rsi,L,2.0,2.0,5747,-1487.1746110381225,0.36018792413433093,0.6955512292247349,-1495.6646025745151,-0.14919172653193521,0/8,862.2996104564834,False
M5,rsi,L,2.0,3.0,5747,-1278.8976598641918,0.2938924656342439,0.7637977543356856,-1287.3594784641034,-0.14905719713531718,0/8,862.2996104564834,False
