config,n,net,yr_r,wr,pf,dd,mar,pos_years,trades_per_year
H1_donch_1_20_1.0_2.0,3,2.5900698336631205,0.4258966828341946,0.6666666666666666,3.2901788736123976,-1.1309465227830398,0.37658428073694017,2/3,0.4933033202025886
H1_donch_1_20_1.0_3.0,3,4.5900698336631205,0.7547655629692537,0.6666666666666666,5.05860908645605,-1.1309465227830398,0.6673751125843883,2/3,0.4933033202025886
H1_donch_1_20_2.0_2.0,3,2.7950349168315602,0.4596000015183916,0.6666666666666666,3.6232802061885754,-1.0654732613915199,0.43135761184485183,2/3,0.4933033202025886
H1_donch_1_20_2.0_3.0,3,4.79503491683156,0.7884688816534506,0.6666666666666666,5.5003803385635335,-1.0654732613915199,0.7400175210626135,2/3,0.4933033202025886
H1_donch_1_40_1.0_2.0,1,1.9339430930163768,193.39430930163766,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_40_1.0_3.0,1,2.9339430930163766,293.39430930163763,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_40_2.0_2.0,1,1.9669715465081883,196.69715465081882,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_40_2.0_3.0,1,2.9669715465081885,296.69715465081885,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_55_1.0_2.0,1,1.9339430930163768,193.39430930163766,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_55_1.0_3.0,1,2.9339430930163766,293.39430930163763,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_55_2.0_2.0,1,1.9669715465081883,196.69715465081882,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_1_55_2.0_3.0,1,2.9669715465081885,296.69715465081885,1.0,inf,0.0,0.0,1/1,100.0
H1_donch_-1_20_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_20_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_20_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_20_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_40_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_40_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_40_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_40_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_55_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_55_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_55_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_donch_-1_55_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H1_ma_1_10_50_1.5_3.0,764,38.587287638813756,5.806773388756461,0.3010471204188482,1.0634754861821067,-54.52537198087754,0.10649672212769022,5/8,114.96985511227082
H1_ma_1_10_50_1.5_4.0,764,146.2291923989983,22.005168931017288,0.27356020942408377,1.2313666588445709,-41.13115666613929,0.5350000027870057,6/8,114.96985511227082
H1_ma_1_10_50_2.5_3.0,764,109.89920559323463,16.538083434565248,0.33507853403141363,1.2011943449088751,-38.681382640597235,0.4275463363920205,5/8,114.96985511227082
H1_ma_1_10_50_2.5_4.0,764,144.99676746352526,21.819708569409848,0.3036649214659686,1.2533347481661525,-48.59434204349313,0.44901747100270795,5/8,114.96985511227082
H1_ma_1_20_100_1.5_3.0,365,-8.062361371336085,-1.21624291901654,0.27671232876712326,0.9726149699004695,-46.13077055264462,-0.026365111712767918,2/8,55.061866492281744
H1_ma_1_20_100_1.5_4.0,365,27.59243460142533,4.162440959508759,0.2465753424657534,1.089873294025959,-36.704940906687696,0.1134027424288907,5/8,55.061866492281744
H1_ma_1_20_100_2.5_3.0,365,62.85679622663324,9.482226087571066,0.3424657534246575,1.2488368118869353,-19.12521396835806,0.49579712432284667,6/8,55.061866492281744
H1_ma_1_20_100_2.5_4.0,365,85.85189558466197,12.95113866518348,0.31232876712328766,1.3256198927592064,-21.070037248790015,0.6146708955593907,6/8,55.061866492281744
H1_ma_1_50_200_1.5_3.0,179,26.355386961920217,3.9942484069810797,0.3240223463687151,1.1969817191661156,-21.675624545735523,0.184273740235407,6/8,27.128057951971783
H1_ma_1_50_200_1.5_4.0,179,48.75627641554158,7.3891792856042855,0.2905027932960894,1.3474311510394845,-15.675624545735523,0.4713802160829678,6/8,27.128057951971783
H1_ma_1_50_200_2.5_3.0,179,54.73209467055606,8.294834838299725,0.3743016759776536,1.4632217090401798,-9.601632118426977,0.863898422267261,7/8,27.128057951971783
H1_ma_1_50_200_2.5_4.0,179,40.409565133102475,6.124206842149622,0.329608938547486,1.323152844871801,-12.278707522844424,0.4987664076822085,6/8,27.128057951971783
H1_ma_-1_10_50_1.5_3.0,765,-6.000517577797844,-0.9011416129066814,0.28627450980392155,0.9903062305590141,-68.58581501915214,-0.013138891950982045,5/8,114.88564526905485
H1_ma_-1_10_50_1.5_4.0,765,42.60771733533869,6.398712548381542,0.24836601307189543,1.065286106534657,-66.9007325333705,0.09564488019902957,4/8,114.88564526905485
H1_ma_-1_10_50_2.5_3.0,765,26.50564468113133,3.980546526096816,0.3084967320261438,1.0471681814072096,-46.790988650869465,0.085070793348643,4/8,114.88564526905485
H1_ma_-1_10_50_2.5_4.0,765,66.40047702170916,9.971845292564845,0.28366013071895424,1.1142761455915735,-44.227792675951115,0.22546558824734297,5/8,114.88564526905485
H1_ma_-1_20_100_1.5_3.0,366,-1.576007354556812,-0.23716812535484394,0.2814207650273224,0.9946292702092441,-29.359061257691778,-0.008078191713051052,4/8,55.078127414121646
H1_ma_-1_20_100_1.5_4.0,366,10.964619484601343,1.6500292596181245,0.2459016393442623,1.0355791597672783,-36.56810277927509,0.04512209095390303,5/8,55.078127414121646
H1_ma_-1_20_100_2.5_3.0,366,10.194652811543634,1.5341595259479064,0.31693989071038253,1.0384743259577893,-26.584016493363684,0.05770984705531187,5/8,55.078127414121646
H1_ma_-1_20_100_2.5_4.0,366,5.521116811372959,0.830854577062975,0.2923497267759563,1.0201442458754237,-35.74343653573491,0.023244955090770826,5/8,55.078127414121646
H1_ma_-1_50_200_1.5_3.0,180,22.13930632023406,3.3473586395386485,0.31666666666666665,1.1629693439986448,-22.507053567808455,0.14872487104781817,4/8,27.21515057435579
H1_ma_-1_50_200_1.5_4.0,180,30.9483229953582,4.679240390791507,0.2722222222222222,1.2133991751890703,-17.489507871574915,0.26754557218825537,5/8,27.21515057435579
H1_ma_-1_50_200_2.5_3.0,180,31.285141359268877,4.73016573795838,0.3388888888888889,1.253415174799389,-17.381844498724135,0.27213255407419995,5/8,27.21515057435579
H1_ma_-1_50_200_2.5_4.0,180,41.37061361070759,6.255041548716112,0.31666666666666665,1.3251158854226746,-15.691897505497776,0.3986160084543383,6/8,27.21515057435579
H1_mom_1_0.05_1.5_2.0,425,45.259809143489974,6.920537371170492,0.4,1.1664194524876916,-21.526115427471048,0.321494948519076,4/8,64.98543494566451
H1_mom_1_0.05_1.5_3.0,425,76.61144090336973,11.714418373928362,0.33647058823529413,1.2562255040872732,-26.19123615309634,0.4472648142857311,4/8,64.98543494566451
H1_mom_1_0.05_2.5_2.0,425,67.23977809103084,10.281426411519064,0.44,1.2762123858968661,-25.131200414333776,0.4091100401895236,4/8,64.98543494566451
H1_mom_1_0.05_2.5_3.0,425,109.88413814916879,16.802043555889927,0.4047058823529412,1.427324837168095,-28.39796130064397,0.5916637246600133,4/8,64.98543494566451
H1_mom_1_0.1_1.5_2.0,69,13.968342994727134,2.2220174698177706,0.43478260869565216,1.3514362924062162,-8.411452568745906,0.26416572543891303,5/8,10.976191340325917
H1_mom_1_0.1_1.5_3.0,69,37.59992225195972,5.981216536505624,0.43478260869565216,1.9459946162532522,-7.411452568745908,0.8070235194823226,6/8,10.976191340325917
H1_mom_1_0.1_2.5_2.0,69,18.05760008416098,2.8725170097222654,0.4782608695652174,1.5161889349048594,-7.160540635811222,0.40115923584823515,6/8,10.976191340325917
H1_mom_1_0.1_2.5_3.0,69,27.741016964261767,4.412908843115425,0.4492753623188406,1.7490217154981331,-8.286113101076143,0.5325668126038863,6/8,10.976191340325917
H1_mom_1_0.2_1.5_2.0,4,-0.07901684704194034,-0.0611513799920234,0.25,0.9614290390574378,-2.048609760062966,-0.02985018483468704,1/3,3.095612253906595
H1_mom_1_0.2_1.5_3.0,4,-1.9738059777440213,-1.5275344928846202,0.25,0.03651441273844431,-2.048609760062966,-0.745644447597316,1/3,3.095612253906595
H1_mom_1_0.2_2.5_2.0,4,-0.4107691184775516,-0.31789547917137967,0.5,0.5943552595958858,-1.0126326747595256,-0.3139297072819339,2/3,3.095612253906595
H1_mom_1_0.2_2.5_3.0,4,-0.4107691184775516,-0.31789547917137967,0.5,0.5943552595958858,-1.0126326747595256,-0.3139297072819339,2/3,3.095612253906595
H1_mom_-1_0.05_1.5_2.0,329,-11.807617520006982,-1.859136673858196,0.3465045592705167,0.9471727079721504,-27.3156871166041,-0.06806113519758769,3/8,51.80181053992887
H1_mom_-1_0.05_1.5_3.0,329,-10.086520405348452,-1.5881459545440337,0.2765957446808511,0.9590783295977557,-39.19643559871904,-0.04051761162170407,4/8,51.80181053992887
H1_mom_-1_0.05_2.5_2.0,329,-37.91102951644029,-5.9691792352106114,0.3343465045592705,0.8246295411086009,-49.42711852265428,-0.12076729159266517,2/8,51.80181053992887
H1_mom_-1_0.05_2.5_3.0,329,-26.03462928599452,-4.099212564590796,0.2978723404255319,0.8848585850799836,-48.16884403394582,-0.08510091215188756,2/8,51.80181053992887
H1_mom_-1_0.1_1.5_2.0,58,-9.846852996075377,-1.6653646150681398,0.29310344827586204,0.761932707114311,-18.522959000832596,-0.08990813049865751,1/6,9.809341899635355
H1_mom_-1_0.1_1.5_3.0,58,-15.648607036180048,-2.646595459843613,0.20689655172413793,0.6633004514910176,-24.10406751702084,-0.10979870754073962,1/6,9.809341899635355
H1_mom_-1_0.1_2.5_2.0,58,-9.038499959054011,-1.5286506268655335,0.29310344827586204,0.7610011934844684,-18.084333496512386,-0.08452900004085515,1/6,9.809341899635355
H1_mom_-1_0.1_2.5_3.0,58,-3.181523295082434,-0.5380801683296216,0.29310344827586204,0.9158731787497127,-18.084333496512386,-0.029753939697771657,1/6,9.809341899635355
H1_mom_-1_0.2_1.5_2.0,2,3.968521031641149,396.8521031641149,1.0,inf,0.0,0.0,1/1,200.0
H1_mom_-1_0.2_1.5_3.0,2,1.9685210316411492,196.8521031641149,0.5,2.944742032888004,-1.0122273280214098,194.47420328880042,1/1,200.0
H1_mom_-1_0.2_2.5_2.0,2,1.4558678041924018,145.58678041924017,0.5,3.7336071428516924,-0.5325812116051336,273.3607142851692,1/1,200.0
H1_mom_-1_0.2_2.5_3.0,2,2.455867804192402,245.5867804192402,0.5,5.6112550549628315,-0.5325812116051334,461.1255054962834,1/1,200.0
H4_donch_1_20_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_20_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_20_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_20_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_40_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_40_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_40_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_40_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_55_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_55_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_55_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_1_55_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_20_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_20_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_20_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_20_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_40_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_40_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_40_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_40_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_55_1.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_55_1.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_55_2.0_2.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_donch_-1_55_2.0_3.0,0,0.0,0.0,0.0,0.0,,0.0,0/0,0.0
H4_ma_1_10_50_1.5_3.0,197,49.013730800912775,7.446349466218395,0.3299492385786802,1.3509201287198116,-15.42253493866157,0.4828226679877192,5/8,29.928977469670713
H4_ma_1_10_50_1.5_4.0,197,33.82075079137759,5.138175068235979,0.25380710659898476,1.2174127051251662,-17.867182157078688,0.28757612829286106,4/8,29.928977469670713
H4_ma_1_10_50_2.5_3.0,197,49.46563327501274,7.515004181780966,0.3350253807106599,1.3747455086690548,-16.2958839586018,0.46115965239272355,4/8,29.928977469670713
H4_ma_1_10_50_2.5_4.0,197,59.006976084028025,8.964560699351642,0.29441624365482233,1.4234602810554693,-26.213347130606262,0.3419845872671778,5/8,29.928977469670713
H4_ma_1_20_100_1.5_3.0,84,30.87471381800499,4.788869370242617,0.35714285714285715,1.5401148939512108,-5.71568422114035,0.8378470861861536,7/8,13.028947554674781
H4_ma_1_20_100_1.5_4.0,84,46.900786625966106,7.274617728841724,0.32142857142857145,1.790483640286443,-4.71568422114035,1.5426431007041796,7/8,13.028947554674781
H4_ma_1_20_100_2.5_3.0,84,30.28518473612273,4.697429566792622,0.35714285714285715,1.5596851237508826,-8.553830953971115,0.5491609072086983,5/8,13.028947554674781
H4_ma_1_20_100_2.5_4.0,84,41.54456243633072,6.443832442438868,0.32142857142857145,1.7260598458799876,-10.839675229012208,0.594467297801696,6/8,13.028947554674781
H4_ma_1_50_200_1.5_3.0,34,15.983167978505849,2.476814639011142,0.38235294117647056,1.7237106318263067,-8.348286631974782,0.296685385660417,5/8,5.268773865082732
H4_ma_1_50_200_1.5_4.0,34,28.98316797850585,4.4913458227192455,0.38235294117647056,2.3123447640830768,-8.34828663197478,0.537996120726969,5/8,5.268773865082732
H4_ma_1_50_200_2.5_3.0,34,26.241327867491247,4.066459483920737,0.47058823529411764,2.4730911061250467,-4.216111985371693,0.964504618954574,6/8,5.268773865082732
H4_ma_1_50_200_2.5_4.0,34,37.46470173309417,5.805677686895479,0.47058823529411764,3.1031298109353216,-4.216111985371697,1.3770216984366095,6/8,5.268773865082732
H4_ma_-1_10_50_1.5_3.0,198,18.813884205840928,2.857285324816382,0.29292929292929293,1.1275336153050894,-27.29304706116453,0.10468912900831924,6/8,30.070478170478168
H4_ma_-1_10_50_1.5_4.0,198,22.89578632225973,3.477208296966888,0.24242424242424243,1.144852040910257,-32.95206098664716,0.10552324172912653,5/8,30.070478170478168
H4_ma_-1_10_50_2.5_3.0,198,2.1850488929402863,0.33184578301307255,0.2878787878787879,1.0150099932241474,-30.50002339323174,0.010880181261982654,4/8,30.070478170478168
H4_ma_-1_10_50_2.5_4.0,198,0.6919625384981067,0.10508911317523222,0.25252525252525254,1.004527049661284,-29.818540659864613,0.0035242876026015876,5/8,30.070478170478168
H4_ma_-1_20_100_1.5_3.0,85,0.6788888960500685,0.10311075027331937,0.2823529411764706,1.0105528005722415,-19.310794309363942,0.005339539566392679,4/8,12.909938318663801
H4_ma_-1_20_100_1.5_4.0,85,-4.637928673630666,-0.7044161541521661,0.23529411764705882,0.9323806754920972,-24.464726887938088,-0.02879313377904359,4/8,12.909938318663801
H4_ma_-1_20_100_2.5_3.0,85,9.752904945798589,1.4812870738594224,0.3411764705882353,1.168798055173103,-12.386417586604464,0.1195896281957577,6/8,12.909938318663801
H4_ma_-1_20_100_2.5_4.0,85,16.272478642733603,2.4714905361113515,0.3176470588235294,1.2719284583360102,-12.386417586604464,0.19953231181097864,6/8,12.909938318663801
H4_ma_-1_50_200_1.5_3.0,34,8.910843317468755,1.367706480615827,0.3235294117647059,1.3792678525520543,-5.181185895942857,0.2639755662283443,6/8,5.218588037540272
H4_ma_-1_50_200_1.5_4.0,34,9.910843317468755,1.5211943640728938,0.2647058823529412,1.3875633577966264,-5.866451855330537,0.25930398843905356,5/8,5.218588037540272
H4_ma_-1_50_200_2.5_3.0,34,4.846457706058179,0.7438725355670611,0.29411764705882354,1.2123458845813913,-6.523908589887377,0.11402252580916415,6/8,5.218588037540272
H4_ma_-1_50_200_2.5_4.0,34,9.68304043630517,1.4862293819976733,0.29411764705882354,1.424259100479586,-6.33563528342548,0.23458253442804167,6/8,5.218588037540272
H4_mom_1_0.05_1.5_2.0,383,134.30426861651904,20.436592464456428,0.46475195822454307,1.6293312119143126,-16.147787600608353,1.2655970570040505,5/8,58.27971809470907
H4_mom_1_0.05_1.5_3.0,383,178.78709091330106,27.20538187310785,0.381201044386423,1.7236753626112857,-28.6071894461908,0.9509980672613887,5/8,58.27971809470907
H4_mom_1_0.05_2.5_2.0,383,94.59287953393817,14.393854707584051,0.4308093994778068,1.4276415410734238,-27.602204510228965,0.521474822862424,4/8,58.27971809470907
