ote,tp,mss_lb,entry,sl,n,is_pf,is_net,is_pos,is_yrs,oos_pf,oos_net,oos_pos,oos_yrs,full_net,full_pf,pass_
"(0.5, 0.618)",nl2.0,2,edge,sweep,3840,0.8147335295274373,-188.0981608160359,0,10,1.0306421488330761,28.441651887508357,5,11,-159.65650892852756,0.9178498398469486,False
"(0.5, 0.618)",nl2.0,2,edge,fvg,3840,0.6320155543721181,-669.6226661173478,0,10,0.7207736086991143,-504.61601207918255,1,11,-1174.2386781965304,0.6762415006363014,False
"(0.5, 0.618)",nl2.0,2,ce,sweep,6671,0.7791060463286076,-427.25768173628285,0,10,0.9385886098182881,-104.99965718029082,4,11,-532.2573389165736,0.8539357966615141,False
"(0.5, 0.618)",nl2.0,2,ce,fvg,6671,0.4543142418802668,-2480.305247422805,0,10,0.6003928985795776,-1655.2430181214909,1,11,-4135.548265544297,0.5239643392288907,False
"(0.5, 0.618)",nl2.0,3,edge,sweep,2789,0.9060950219936967,-65.39545183541634,4,10,1.1627540832230032,104.42172821869687,10,11,39.02627638328053,1.029167787772362,False
"(0.5, 0.618)",nl2.0,3,edge,fvg,2789,0.7006130105519452,-392.9591185645852,0,10,0.7875300274315038,-282.0109648431213,3,11,-674.9700834077065,0.7443143781008156,False
"(0.5, 0.618)",nl2.0,3,ce,sweep,4646,0.8334943426954683,-214.46602240744062,1,10,1.0166824654246203,18.913791766139077,6,11,-195.55223064130152,0.9192531274464484,False
"(0.5, 0.618)",nl2.0,3,ce,fvg,4646,0.47373784410708114,-1656.8852518204217,0,10,0.6775476923202814,-917.3479019524308,0,11,-2574.233153772853,0.5704824541472099,False
"(0.5, 0.618)",nl2.0,5,edge,sweep,1654,1.0212627555363767,7.890699848893775,4,10,1.1339781537319895,52.942534279948916,7,11,60.83323412884268,1.0793895741529358,False
"(0.5, 0.618)",nl2.0,5,edge,fvg,1654,0.631380669914634,-294.162790660546,0,10,0.7824588210638462,-182.81435837902748,2,11,-476.9771490395735,0.7088725318770839,False
"(0.5, 0.618)",nl2.0,5,ce,sweep,2581,0.935259217549219,-42.20094155626053,4,10,0.9997139357003438,-0.17806713282664077,5,11,-42.37900868908717,0.9667437519300839,False
