config,version,n,WR%,PF,R:R,net_R,$PnL,$/yr,pos_yrs
A_best_MAR,raw,13327,56.75,2.054,1.57,6340.9,475568.0,22646.0,21/21
A_best_MAR,dedup,11041,56.94,2.068,1.56,5251.1,393830.0,18754.0,21/21
B_tight_regime,raw,9940,56.85,2.194,1.67,5507.9,413092.0,19671.0,21/21
B_tight_regime,dedup,8744,56.99,2.209,1.67,4883.8,366286.0,17442.0,21/21
C_high_volume,raw,19101,55.35,1.91,1.54,7927.4,594552.0,28312.0,21/21
C_high_volume,dedup,16468,55.23,1.911,1.55,6839.5,512966.0,24427.0,21/21
D_short_leg,raw,21709,54.72,1.851,1.53,9117.7,683827.0,32563.0,21/21
D_short_leg,dedup,18436,54.72,1.831,1.52,7568.4,567631.0,27030.0,21/21
E_dollar_leader,raw,21868,42.77,1.924,2.57,13115.7,983678.0,46842.0,21/21
E_dollar_leader,dedup,18448,42.77,1.928,2.58,11095.8,832182.0,39628.0,21/21
A+D_combo,raw,35036,55.49,1.924,1.54,15458.6,1159396.0,55209.0,21/21
A+D_combo,dedup,29477,55.55,1.914,1.53,12819.5,961461.0,45784.0,21/21
