name,lb,hold_h,ext,sl_buf,session,regime,direction,ptp,test,n,net_R,PF,MAR,WR_pct,pos_years,$PnL,pf_pct_of_baseline,verdict,pf_ratio_oos_is,p_net_negative_pct,bootstrap_p05_R,bootstrap_p95_R,pos_year_count,total_years,worst_year_R,best_year_R,true_dd_R,median_shuffled_dd_R,p_shuffles_worse_than_true_pct
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,baseline,13327.0,6340.9,2.054,10.07,56.75,21/21,475568.0,,,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,delay+1,13327.0,6857.4,2.228,5.812,58.09,21/21,514306.0,108.5,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,delay+5,13327.0,7920.9,2.493,10.435,61.89,21/21,594067.0,121.4,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,delay+10,13326.0,9832.8,2.855,13.426,64.27,21/21,737459.0,139.0,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,cost_$0.4,13327.0,5683.6,1.897,7.046,55.09,21/21,426270.0,,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,cost_$0.5,13327.0,5026.3,1.751,3.808,53.14,21/21,376972.0,,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,cost_$0.8,13327.0,3054.4,1.387,0.571,46.76,18/21,229078.0,,PASS,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,cost_$1.5,13327.0,-1546.8,0.862,-0.032,34.58,8/21,-116007.0,,DECAY,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,walkfwd_IS,7983.0,3690.5,2.023,10.092,56.98,13/13,276789.0,,,,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,walkfwd_OOS,5344.0,2650.4,2.1,10.39,56.4,9/9,198780.0,,PASS,1.04,,,,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,block_bootstrap,,,,,,,,,PASS,,0.0,5729.0,6969.4,,,,,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,year_breakdown,,,,,,,,,PASS,,,,,21.0,21.0,155.6,459.7,,,
A_best_MAR,3,12,2.618,0.02,london_ny,any,long,1.0,shuffle_stress,,,,,,,,,WARN,,,,,,,,,0.0,0.0,0.0
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,baseline,9940.0,5507.9,2.194,9.142,56.85,21/21,413092.0,,,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,delay+1,9940.0,5602.5,2.255,7.681,57.45,20/21,420186.0,102.8,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,delay+5,9940.0,6027.3,2.422,12.474,60.75,20/21,452049.0,110.4,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,delay+10,9940.0,7003.7,2.713,12.043,63.59,20/21,525280.0,123.7,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,cost_$0.4,9940.0,5103.7,2.062,6.17,55.9,21/21,382778.0,,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,cost_$0.5,9940.0,4699.5,1.937,4.207,54.67,20/21,352463.0,,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,cost_$0.8,9940.0,3486.9,1.609,1.212,49.41,19/21,261520.0,,PASS,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,cost_$1.5,9940.0,657.6,1.085,0.048,38.38,11/21,49320.0,,DECAY,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,walkfwd_IS,5457.0,2678.4,2.045,7.446,56.94,13/13,200877.0,,,,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,walkfwd_OOS,4483.0,2829.5,2.382,12.058,56.75,9/9,212215.0,,PASS,1.16,,,,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,block_bootstrap,,,,,,,,,PASS,,0.0,4949.5,6127.0,,,,,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,year_breakdown,,,,,,,,,PASS,,,,,21.0,21.0,1.8,605.4,,,
B_tight_regime,5,24,2.618,0.02,all,bull,long,1.0,shuffle_stress,,,,,,,,,WARN,,,,,,,,,0.0,0.0,0.0
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,baseline,19101.0,7927.4,1.91,8.54,55.35,21/21,594552.0,,,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,delay+1,19101.0,8487.6,2.034,10.771,56.45,21/21,636572.0,106.5,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,delay+5,19101.0,9874.1,2.262,9.933,59.89,21/21,740556.0,118.4,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,delay+10,19100.0,12788.2,2.704,18.469,63.13,21/21,959116.0,141.6,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,cost_$0.4,19101.0,6835.9,1.737,4.199,53.21,21/21,512690.0,,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,cost_$0.5,19101.0,5744.4,1.58,1.947,50.77,20/21,430827.0,,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,cost_$0.8,19101.0,2469.9,1.206,0.216,43.56,16/21,185239.0,,PASS,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,cost_$1.5,19101.0,-5170.7,0.708,-0.042,32.68,5/21,-387800.0,,DECAY,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,walkfwd_IS,11485.0,4462.8,1.842,8.083,55.14,13/13,334713.0,,,,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,walkfwd_OOS,7616.0,3464.5,2.016,9.222,55.66,9/9,259840.0,,PASS,1.09,,,,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,block_bootstrap,,,,,,,,,PASS,,0.0,7298.0,8502.8,,,,,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,year_breakdown,,,,,,,,,PASS,,,,,21.0,21.0,168.0,604.2,,,
C_high_volume,3,8,2.618,0.02,all,any,long,1.0,shuffle_stress,,,,,,,,,WARN,,,,,,,,,0.0,0.0,0.0
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,baseline,21709.0,9117.7,1.851,6.647,54.72,21/21,683827.0,,,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,delay+1,21709.0,9192.9,1.897,6.221,55.45,21/21,689464.0,102.5,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,delay+5,21709.0,11422.4,2.193,11.608,59.81,21/21,856676.0,118.5,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,delay+10,21709.0,13719.8,2.415,11.377,63.36,21/21,1028985.0,130.5,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,cost_$0.4,21709.0,7948.4,1.702,4.53,52.69,21/21,596134.0,,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,cost_$0.5,21709.0,6779.2,1.565,3.171,50.28,21/21,508440.0,,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,cost_$0.8,21709.0,3271.4,1.229,0.527,42.59,14/21,245359.0,,PASS,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,cost_$1.5,21709.0,-4913.3,0.762,-0.044,30.24,3/21,-368497.0,,DECAY,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,walkfwd_IS,12946.0,5690.0,1.88,6.973,54.58,13/13,426750.0,,,,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,walkfwd_OOS,8763.0,3427.7,1.806,6.189,54.92,9/9,257078.0,,PASS,0.96,,,,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,block_bootstrap,,,,,,,,,PASS,,0.0,8207.8,9996.6,,,,,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,year_breakdown,,,,,,,,,PASS,,,,,21.0,21.0,175.8,977.5,,,
D_short_leg,3,24,2.618,0.02,all,any,short,1.0,shuffle_stress,,,,,,,,,WARN,,,,,,,,,0.0,0.0,0.0
E_dollar_leader,3,24,2.618,0.02,all,any,long,2.0,baseline,21868.0,13115.7,1.924,6.192,42.77,21/21,983678.0,,,,,,,,,,,,,
