cfg_id,lb,hold_h,ext,sl_buf,session,regime,direction,ptp,n,net_R,PF,MAR,WR_pct,pos_years,dollar_pnl,error
lb3_h2_ext1.0_sl0.02_all_any_long_ptpnone,3,2,1.0,0.02,all,any,long,,13000,-161.9,0.976,-0.017,42.72,8/21,-12140.0,
lb3_h2_ext1.0_sl0.02_all_any_long_ptp1.0,3,2,1.0,0.02,all,any,long,1.0,13000,2938.9,1.562,3.154,52.36,21/21,220421.0,
lb3_h2_ext1.0_sl0.02_all_any_long_ptp2.0,3,2,1.0,0.02,all,any,long,2.0,13000,2507.8,1.407,1.758,45.92,20/21,188088.0,
lb3_h2_ext1.0_sl0.02_all_any_short_ptpnone,3,2,1.0,0.02,all,any,short,,13060,-654.7,0.904,-0.044,40.08,5/21,-49100.0,
lb3_h2_ext1.0_sl0.02_all_any_short_ptp1.0,3,2,1.0,0.02,all,any,short,1.0,13060,2376.9,1.438,3.585,49.91,21/21,178266.0,
lb3_h2_ext1.0_sl0.02_all_any_short_ptp2.0,3,2,1.0,0.02,all,any,short,2.0,13060,2020.2,1.318,2.32,43.19,21/21,151516.0,
lb3_h2_ext1.0_sl0.02_all_bull_long_ptpnone,3,2,1.0,0.02,all,bull,long,,8597,-13.6,0.997,-0.002,43.43,11/21,-1023.0,
lb3_h2_ext1.0_sl0.02_all_bull_long_ptp1.0,3,2,1.0,0.02,all,bull,long,1.0,8597,2013.7,1.585,1.971,53.02,19/21,151024.0,
lb3_h2_ext1.0_sl0.02_all_bull_long_ptp2.0,3,2,1.0,0.02,all,bull,long,2.0,8597,1746.2,1.433,1.141,46.73,18/21,130964.0,
lb3_h2_ext1.0_sl0.02_all_bull_short_ptpnone,3,2,1.0,0.02,all,bull,short,,8832,-427.4,0.907,-0.043,39.55,6/21,-32057.0,
lb3_h2_ext1.0_sl0.02_all_bull_short_ptp1.0,3,2,1.0,0.02,all,bull,short,1.0,8832,1638.9,1.447,3.112,49.75,21/21,122915.0,
lb3_h2_ext1.0_sl0.02_all_bull_short_ptp2.0,3,2,1.0,0.02,all,bull,short,2.0,8832,1415.0,1.331,1.914,42.76,20/21,106123.0,
lb3_h2_ext1.0_sl0.02_all_bear_long_ptpnone,3,2,1.0,0.02,all,bear,long,,4406,-147.6,0.936,-0.029,41.35,10/18,-11070.0,
lb3_h2_ext1.0_sl0.02_all_bear_long_ptp1.0,3,2,1.0,0.02,all,bear,long,1.0,4406,925.4,1.517,1.45,51.09,15/18,69402.0,
lb3_h2_ext1.0_sl0.02_all_bear_long_ptp2.0,3,2,1.0,0.02,all,bear,long,2.0,4406,761.3,1.356,0.918,44.37,16/18,57096.0,
lb3_h2_ext1.0_sl0.02_all_bear_short_ptpnone,3,2,1.0,0.02,all,bear,short,,4233,-233.3,0.895,-0.043,41.15,5/18,-17499.0,
lb3_h2_ext1.0_sl0.02_all_bear_short_ptp1.0,3,2,1.0,0.02,all,bear,short,1.0,4233,733.4,1.415,1.107,50.2,16/18,55006.0,
lb3_h2_ext1.0_sl0.02_all_bear_short_ptp2.0,3,2,1.0,0.02,all,bear,short,2.0,4233,599.2,1.287,0.715,44.03,14/18,44936.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_long_ptpnone,3,2,1.0,0.02,all,bull_strong,long,,7927,7.3,1.002,0.001,43.48,10/21,551.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_long_ptp1.0,3,2,1.0,0.02,all,bull_strong,long,1.0,7927,1891.6,1.595,1.851,53.17,17/21,141871.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_long_ptp2.0,3,2,1.0,0.02,all,bull_strong,long,2.0,7927,1642.7,1.442,1.073,46.89,17/21,123206.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_short_ptpnone,3,2,1.0,0.02,all,bull_strong,short,,8162,-371.6,0.912,-0.042,39.52,8/21,-27869.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_short_ptp1.0,3,2,1.0,0.02,all,bull_strong,short,1.0,8162,1517.3,1.446,2.881,49.66,21/21,113798.0,
lb3_h2_ext1.0_sl0.02_all_bull_strong_short_ptp2.0,3,2,1.0,0.02,all,bull_strong,short,2.0,8162,1340.8,1.339,1.814,42.78,21/21,100558.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_long_ptpnone,3,2,1.0,0.02,all,bear_strong,long,,3532,-140.3,0.924,-0.035,41.19,6/14,-10525.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_long_ptp1.0,3,2,1.0,0.02,all,bear_strong,long,1.0,3532,748.2,1.526,1.49,51.1,12/14,56116.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_long_ptp2.0,3,2,1.0,0.02,all,bear_strong,long,2.0,3532,585.9,1.342,0.81,44.37,11/14,43943.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_short_ptpnone,3,2,1.0,0.02,all,bear_strong,short,,3392,-184.4,0.896,-0.043,40.98,3/14,-13831.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_short_ptp1.0,3,2,1.0,0.02,all,bear_strong,short,1.0,3392,585.4,1.416,0.883,50.18,13/14,43907.0,
lb3_h2_ext1.0_sl0.02_all_bear_strong_short_ptp2.0,3,2,1.0,0.02,all,bear_strong,short,2.0,3392,481.3,1.292,0.574,43.96,11/14,36095.0,
lb3_h2_ext1.0_sl0.02_london_any_long_ptpnone,3,2,1.0,0.02,london,any,long,,5153,218.5,1.08,0.061,42.38,15/21,16390.0,
