label,n,net_R,wins,WR_pct,PF,MAR,pos_years,dollar_pnl,return_pct_total,symbol,base_tf,ptp_mode,cap_hours,cost_usd
XAU/M5/baseline/12h,3911,266.7,1720,43.98,1.148,0.214,14/21,20002.0,400.0,XAU,M5,baseline,12,0.3
XAU/M5/PTP+1R/12h,3911,1022.7,2072,52.98,1.686,2.143,20/21,76702.0,1534.0,XAU,M5,PTP+1R,12,0.3
XAU/M5/PTP+2R/12h,3911,921.3,1815,46.41,1.539,1.333,19/21,69097.0,1381.9,XAU,M5,PTP+2R,12,0.3
XAU/M15/baseline/12h,3404,225.8,1525,44.8,1.146,0.214,15/21,16938.0,338.8,XAU,M15,baseline,12,0.3
XAU/M15/PTP+1R/12h,3404,933.4,1833,53.85,1.735,2.518,20/21,70003.0,1400.1,XAU,M15,PTP+1R,12,0.3
XAU/M15/PTP+2R/12h,3404,824.6,1609,47.27,1.564,1.18,19/21,61843.0,1236.9,XAU,M15,PTP+2R,12,0.3
EUR/M5/baseline/12h,3677,84.5,1627,44.25,1.063,0.114,13/22,6334.0,126.7,EUR,M5,baseline,12,3e-05
EUR/M5/PTP+1R/12h,3677,595.6,1836,49.93,1.513,1.7,22/22,44670.0,893.4,EUR,M5,PTP+1R,12,3e-05
EUR/M5/PTP+2R/12h,3677,445.5,1678,45.64,1.346,0.813,22/22,33410.0,668.2,EUR,M5,PTP+2R,12,3e-05
EUR/M15/baseline/12h,3596,385.7,1587,44.13,1.256,0.762,18/22,28927.0,578.5,EUR,M15,baseline,12,3e-05
EUR/M15/PTP+1R/12h,3596,1163.5,1919,53.36,1.955,4.74,22/22,87262.0,1745.2,EUR,M15,PTP+1R,12,3e-05
EUR/M15/PTP+2R/12h,3596,1017.0,1678,46.66,1.716,3.155,21/22,76276.0,1525.5,EUR,M15,PTP+2R,12,3e-05
