direc,reg,sess,lb,hold,ext,sl,vol,n,tpd,pf30,wr30,netR30,pf65,wr65,pf_is,pf_oos,pf_delay,posY,ROBUST,GOOD
long,any,all,3,4,1.618,0.02,0,16398,3.21,1.074,40.1,737.0,0.781,36.9,1.059,1.088,1.139,13/21,0,0
long,any,all,3,4,1.618,0.02,1.5,2972,0.58,1.164,37.2,328.0,0.867,34.8,1.17,1.157,1.425,14/21,0,0
long,any,all,3,4,1.618,0.1,0,16396,3.21,1.044,41.9,392.0,0.774,38.5,1.005,1.08,1.089,11/21,0,0
long,any,all,3,4,1.618,0.1,1.5,2971,0.58,1.106,39.0,196.0,0.842,36.5,1.103,1.109,1.33,12/21,0,0
long,any,all,3,4,2.618,0.02,0,16398,3.21,1.111,39.9,1108.0,0.813,36.7,1.09,1.131,1.184,15/21,0,0
long,any,all,3,4,2.618,0.02,1.5,2972,0.58,1.229,36.9,463.0,0.922,34.4,1.256,1.204,1.527,16/21,0,0
long,any,all,3,4,2.618,0.1,0,16396,3.21,1.085,41.7,764.0,0.81,38.3,1.042,1.125,1.137,15/21,0,0
long,any,all,3,4,2.618,0.1,1.5,2971,0.58,1.171,38.7,317.0,0.898,36.1,1.185,1.158,1.428,16/21,0,0
long,any,all,3,4,3.618,0.02,0,16398,3.21,1.135,39.9,1341.0,0.832,36.6,1.115,1.153,1.209,17/21,0,0
long,any,all,3,4,3.618,0.02,1.5,2972,0.58,1.274,36.8,554.0,0.959,34.4,1.31,1.24,1.583,16/21,0,0
long,any,all,3,4,3.618,0.1,0,16396,3.21,1.107,41.6,964.0,0.829,38.2,1.065,1.146,1.16,15/21,0,0
long,any,all,3,4,3.618,0.1,1.5,2971,0.58,1.213,38.7,394.0,0.933,36.1,1.236,1.192,1.48,16/21,0,0
long,any,all,3,8,1.618,0.02,0,19103,3.74,1.12,35.8,1596.0,0.861,34.4,1.114,1.126,1.161,13/21,0,0
long,any,all,3,8,1.618,0.02,1.5,3674,0.72,1.181,33.2,502.0,0.917,32.0,1.198,1.164,1.368,17/21,0,0
long,any,all,3,8,1.618,0.1,0,19098,3.74,1.089,38.0,1086.0,0.855,36.3,1.057,1.118,1.115,13/21,0,0
long,any,all,3,8,1.618,0.1,1.5,3673,0.72,1.127,35.4,327.0,0.894,34.0,1.136,1.119,1.284,16/21,0,0
long,any,all,3,8,2.618,0.02,0,19103,3.74,1.171,35.2,2295.0,0.906,33.7,1.158,1.182,1.216,18/21,0,0
long,any,all,3,8,2.618,0.02,1.5,3674,0.72,1.239,32.1,678.0,0.97,30.9,1.278,1.202,1.432,17/21,0,0
long,any,all,3,8,2.618,0.1,0,19098,3.74,1.144,37.3,1772.0,0.904,35.6,1.107,1.178,1.173,17/21,0,0
long,any,all,3,8,2.618,0.1,1.5,3673,0.72,1.186,34.2,487.0,0.948,32.9,1.216,1.158,1.35,16/21,0,0
long,any,all,3,8,3.618,0.02,0,19103,3.74,1.206,35.0,2779.0,0.936,33.5,1.184,1.226,1.251,18/21,0,0
long,any,all,3,8,3.618,0.02,1.5,3674,0.72,1.3,31.8,855.0,1.022,30.6,1.33,1.272,1.497,17/21,0,0
long,any,all,3,8,3.618,0.1,0,19098,3.74,1.175,37.1,2167.0,0.931,35.4,1.129,1.218,1.206,18/21,0,0
long,any,all,3,8,3.618,0.1,1.5,3673,0.72,1.241,34.0,634.0,0.996,32.6,1.259,1.223,1.409,17/21,0,0
long,any,all,3,12,1.618,0.02,0,20252,3.96,1.123,33.2,1859.0,0.882,32.2,1.115,1.13,1.159,15/21,0,0
long,any,all,3,12,1.618,0.02,1.5,4006,0.78,1.196,31.3,620.0,0.945,30.7,1.222,1.171,1.377,16/21,0,0
long,any,all,3,12,1.618,0.1,0,20241,3.96,1.099,35.4,1389.0,0.882,34.4,1.066,1.13,1.122,14/21,0,0
long,any,all,3,12,1.618,0.1,1.5,4004,0.78,1.149,33.6,436.0,0.927,32.9,1.154,1.143,1.298,18/21,0,0
long,any,all,3,12,2.618,0.02,0,20252,3.96,1.191,32.2,2945.0,0.943,31.2,1.172,1.209,1.227,17/21,0,0
long,any,all,3,12,2.618,0.02,1.5,4006,0.78,1.263,29.8,851.0,1.006,29.2,1.312,1.215,1.441,18/21,0,0
long,any,all,3,12,2.618,0.1,0,20241,3.96,1.166,34.4,2363.0,0.943,33.4,1.121,1.208,1.189,17/21,0,0
long,any,all,3,12,2.618,0.1,1.5,4004,0.78,1.217,32.2,651.0,0.99,31.5,1.245,1.189,1.366,18/21,0,0
long,any,all,3,12,3.618,0.02,0,20252,3.96,1.236,31.9,3650.0,0.982,30.9,1.213,1.258,1.273,18/21,0,0
long,any,all,3,12,3.618,0.02,1.5,4006,0.78,1.338,29.5,1101.0,1.07,28.8,1.399,1.279,1.525,18/21,0,0
long,any,all,3,12,3.618,0.1,0,20241,3.96,1.206,34.1,2946.0,0.979,33.0,1.155,1.254,1.231,18/21,0,0
long,any,all,3,12,3.618,0.1,1.5,4004,0.78,1.284,31.8,859.0,1.049,31.1,1.323,1.246,1.444,19/21,0,0
long,any,all,3,24,1.618,0.02,0,21870,4.28,1.156,28.6,2806.0,0.935,28.3,1.134,1.177,1.181,16/21,0,0
long,any,all,3,24,1.618,0.02,1.5,4500,0.88,1.238,28.5,885.0,0.999,28.2,1.256,1.22,1.391,17/21,0,0
long,any,all,3,24,1.618,0.1,0,21852,4.28,1.126,30.8,2123.0,0.931,30.4,1.081,1.169,1.141,14/21,0,0
long,any,all,3,24,1.618,0.1,1.5,4498,0.88,1.177,30.4,618.0,0.97,30.1,1.177,1.176,1.304,18/21,0,0
long,any,all,3,24,2.618,0.02,0,21870,4.28,1.228,26.8,4214.0,1.002,26.5,1.199,1.256,1.253,19/21,0,0
long,any,all,3,24,2.618,0.02,1.5,4500,0.88,1.325,26.5,1248.0,1.079,26.2,1.371,1.281,1.477,18/21,0,0
long,any,all,3,24,2.618,0.1,0,21852,4.28,1.2,28.8,3462.0,1.0,28.5,1.153,1.245,1.217,17/21,0,0
long,any,all,3,24,2.618,0.1,1.5,4498,0.88,1.266,28.3,960.0,1.053,28.0,1.289,1.243,1.396,18/21,0,0
long,any,all,3,24,3.618,0.02,0,21870,4.28,1.284,26.2,5287.0,1.051,25.9,1.245,1.321,1.31,19/21,0,0
long,any,all,3,24,3.618,0.02,1.5,4500,0.88,1.41,25.8,1586.0,1.152,25.5,1.494,1.328,1.565,19/21,0,1
long,any,all,3,24,3.618,0.1,0,21852,4.28,1.253,28.2,4431.0,1.048,27.8,1.194,1.31,1.273,17/21,0,0
long,any,all,3,24,3.618,0.1,1.5,4498,0.88,1.342,27.6,1249.0,1.121,27.3,1.398,1.288,1.481,18/21,0,0
long,any,all,5,4,1.618,0.02,0,10812,2.12,1.079,42.3,449.0,0.809,38.6,1.023,1.128,1.129,14/21,0,0
long,any,all,5,4,1.618,0.02,1.5,1952,0.38,1.206,39.8,243.0,0.923,37.2,1.168,1.239,1.422,14/21,0,0
long,any,all,5,4,1.618,0.1,0,10800,2.11,1.048,43.8,248.0,0.801,40.0,0.981,1.108,1.082,14/21,0,0
long,any,all,5,4,1.618,0.1,1.5,1951,0.38,1.151,41.4,163.0,0.898,38.7,1.117,1.182,1.319,13/21,0,0
long,any,all,5,4,2.618,0.02,0,10812,2.12,1.12,42.2,686.0,0.844,38.5,1.071,1.164,1.183,15/21,0,0
long,any,all,5,4,2.618,0.02,1.5,1952,0.38,1.273,39.7,323.0,0.98,37.1,1.253,1.291,1.535,15/21,0,0
long,any,all,5,4,2.618,0.1,0,10800,2.11,1.089,43.7,459.0,0.836,39.9,1.029,1.143,1.135,15/21,0,0
long,any,all,5,4,2.618,0.1,1.5,1951,0.38,1.22,41.3,237.0,0.957,38.6,1.207,1.231,1.428,14/21,0,0
long,any,all,5,4,3.618,0.02,0,10812,2.12,1.137,42.2,787.0,0.859,38.5,1.092,1.179,1.202,16/21,0,0
long,any,all,5,4,3.618,0.02,1.5,1952,0.38,1.294,39.7,348.0,0.997,37.1,1.289,1.298,1.563,16/21,0,0
long,any,all,5,4,3.618,0.1,0,10800,2.11,1.106,43.7,545.0,0.85,39.9,1.049,1.157,1.153,15/21,0,0
long,any,all,5,4,3.618,0.1,1.5,1951,0.38,1.239,41.3,258.0,0.974,38.6,1.241,1.238,1.454,14/21,0,0
long,any,all,5,8,1.618,0.02,0,12750,2.49,1.138,38.2,1097.0,0.903,36.6,1.107,1.165,1.175,15/21,0,0
long,any,all,5,8,1.618,0.02,1.5,2455,0.48,1.198,36.6,332.0,0.957,34.9,1.205,1.193,1.37,12/21,0,0
long,any,all,5,8,1.618,0.1,0,12731,2.49,1.099,40.0,724.0,0.889,38.3,1.056,1.137,1.121,14/21,0,0
long,any,all,5,8,1.618,0.1,1.5,2454,0.48,1.135,38.4,210.0,0.924,36.7,1.126,1.142,1.252,15/21,0,0
long,any,all,5,8,2.618,0.02,0,12750,2.49,1.196,37.9,1564.0,0.954,36.3,1.177,1.212,1.243,16/21,0,0
long,any,all,5,8,2.618,0.02,1.5,2455,0.48,1.28,36.3,472.0,1.028,34.6,1.307,1.257,1.471,15/21,0,0
long,any,all,5,8,2.618,0.1,0,12731,2.49,1.157,39.7,1154.0,0.941,38.0,1.123,1.188,1.186,16/21,0,0
long,any,all,5,8,2.618,0.1,1.5,2454,0.48,1.216,38.1,339.0,0.996,36.3,1.225,1.209,1.348,15/21,0,0
long,any,all,5,8,3.618,0.02,0,12750,2.49,1.224,37.8,1794.0,0.978,36.2,1.204,1.242,1.275,19/21,0,0
long,any,all,5,8,3.618,0.02,1.5,2455,0.48,1.329,36.2,556.0,1.07,34.5,1.38,1.286,1.533,16/21,0,0
long,any,all,5,8,3.618,0.1,0,12731,2.49,1.185,39.7,1355.0,0.965,37.9,1.149,1.216,1.217,15/21,0,0
long,any,all,5,8,3.618,0.1,1.5,2454,0.48,1.26,38.0,408.0,1.034,36.2,1.292,1.232,1.406,16/21,0,0
long,any,all,5,12,1.618,0.02,0,13653,2.67,1.138,35.7,1272.0,0.923,34.5,1.08,1.19,1.171,14/21,0,0
long,any,all,5,12,1.618,0.02,1.5,2719,0.53,1.167,33.5,326.0,0.947,32.7,1.176,1.158,1.317,15/21,0,0
long,any,all,5,12,1.618,0.1,0,13627,2.67,1.109,37.7,932.0,0.917,36.4,1.034,1.178,1.13,14/21,0,0
long,any,all,5,12,1.618,0.1,1.5,2717,0.53,1.126,35.4,230.0,0.932,34.6,1.114,1.137,1.23,15/21,0,0
long,any,all,5,12,2.618,0.02,0,13653,2.67,1.202,35.1,1881.0,0.98,33.9,1.146,1.252,1.241,17/21,0,0
long,any,all,5,12,2.618,0.02,1.5,2719,0.53,1.238,32.7,470.0,1.01,31.9,1.272,1.208,1.404,17/21,0,0
long,any,all,5,12,2.618,0.1,0,13627,2.67,1.173,37.2,1492.0,0.975,35.8,1.099,1.241,1.198,16/21,0,0
long,any,all,5,12,2.618,0.1,1.5,2717,0.53,1.201,34.8,371.0,1.0,34.0,1.208,1.195,1.319,17/21,0,0
long,any,all,5,12,3.618,0.02,0,13653,2.67,1.237,35.0,2219.0,1.011,33.7,1.177,1.292,1.274,18/21,0,0
long,any,all,5,12,3.618,0.02,1.5,2719,0.53,1.313,32.7,620.0,1.075,31.8,1.367,1.265,1.483,17/21,0,0
long,any,all,5,12,3.618,0.1,0,13627,2.67,1.208,37.0,1799.0,1.006,35.6,1.13,1.28,1.231,17/21,0,0
