label,n,net_R,PF,WR%,MAR,pos_years,SL%,TP%,max_R,min_R
2. Partial TP 50% at +1R,4740,2350.514673786658,2.029954512727039,54.19831223628692,2.470491878492999,20/21,45.506329113924046,15.654008438818565,10.685714285715465,-1.892857142857109
2b. Partial TP 50% at +2R,4740,2890.3140024226163,1.9607140365421718,39.49367088607595,2.018415539126116,20/21,59.76793248945148,19.49367088607595,11.185714285715465,-1.892857142857109
9b. STACK: strong confirm + Partial TP +1R,1206,468.2998600706255,1.7893645202230222,53.482587064676615,0.8018155464487755,17/21,46.185737976782754,13.598673300165837,10.685421785421697,-1.3825945008416933
3. Time-BE after 24h,4740,1108.4853012922238,1.4452738593176675,18.502109704641352,0.5078117134606364,17/21,47.91139240506329,15.949367088607595,10.185714285715465,-1.892857142857109
7. Post-2-SL same-day cooldown,4518,1201.6340608119954,1.3551904876682366,28.61885790172643,0.49496228268833137,18/21,70.20805666223993,0.0,10.185714285715465,-1.892857142857109
4b. MAE>=−0.5R after 5 bars → BE,4740,425.86892930307215,1.9096790803963415,4.324894514767933,0.4934867769086148,17/21,4.493670886075949,3.860759493670886,9.854874414645472,-1.3825945008416933
8. Daily loss cap -3R,4709,1128.8949272300995,1.3176562881306535,28.052665109365044,0.43415989304746394,18/21,70.80059460607347,0.0,10.185714285715465,-1.892857142857109
1. BE move at +1R MFE,4740,1070.014673786658,1.449115933673346,19.78902953586498,0.37893298954671106,18/21,45.506329113924046,15.232067510548521,10.185714285715465,-1.892857142857109
1c. BE at +2R,4740,1119.3140024226163,1.3662231954638164,24.514767932489452,0.34207336225390844,17/21,59.76793248945148,17.9957805907173,10.185714285715465,-1.892857142857109
0. BASELINE (no safety net),4740,1108.7422981268355,1.309537410329009,27.953586497890292,0.33793012220345225,18/21,70.90717299578058,19.91561181434599,10.185714285715465,-1.892857142857109
3b. Time-BE after 48h,4740,1031.557146702082,1.3365816756157707,21.62447257383966,0.3369142035005363,18/21,60.16877637130802,18.164556962025316,10.185714285715465,-1.892857142857109
1b. BE at +0.5R,4740,779.1851904367454,1.4667662485959045,13.755274261603375,0.2931828558772633,16/21,30.253164556962027,11.012658227848101,9.930945940908492,-1.4143646408839514
4. MAE>=−0.3R after 5 bars → BE,4740,345.9763682556043,1.5990506727040517,4.493670886075949,0.2849273567137548,15/21,6.814345991561181,4.029535864978903,9.854874414645472,-1.3825945008416933
6. Vol filter (D1 ATR<=1.5x med),4270,886.011198788736,1.272805133127895,27.611241217798593,0.2552010999036418,17/21,71.17096018735363,19.484777517564403,10.185714285715465,-1.892857142857109
9. STACK: strong confirm + BE +1R,1206,146.7998600706255,1.2362770056751062,17.330016583747927,0.0937061767800589,12/21,46.185737976782754,13.184079601990051,10.185421785421697,-1.3825945008416933
5. Strong confirm (body>=40%),1206,122.11888593000191,1.1284020704509936,25.207296849087896,0.05824289575594958,10/21,73.54892205638475,17.744610281923716,10.185421785421697,-1.5671077504725937
