direction,pivot_lb,impulse_atr,fib,tol,wait_h,session,atr_pad,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,1.0,0.382,0.2,24,all,0.5,2.0,2251,151.5414177633872,22.580585271880516,0.43136383829409153,1.126202373505982,-77.54836732354744,0.29118066635329354,5/8,"{2019: -6.85, 2020: 23.3, 2021: -52.5, 2022: 27.33, 2023: -2.21, 2024: 68.03, 2025: 76.73, 2026: 17.71}",335.41257695216996,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP2.0R
long,3,1.0,0.382,0.2,24,all,0.5,3.0,2251,250.05100518094991,37.259107959672505,0.40915148822745445,1.2003930695549168,-77.4684444176713,0.4809585146539143,6/8,"{2019: -5.67, 2020: 37.72, 2021: -53.58, 2022: 41.67, 2023: 20.23, 2024: 96.77, 2025: 91.82, 2026: 21.09}",335.41257695216996,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP3.0R
long,3,1.0,0.382,0.2,24,all,0.5,4.0,2251,247.97913529102777,36.95038684954883,0.39804531319413594,1.195038456429805,-77.35662670686546,0.4776628509095712,6/8,"{2019: -16.51, 2020: 41.08, 2021: -51.42, 2022: 41.04, 2023: 20.29, 2024: 99.79, 2025: 100.56, 2026: 13.14}",335.41257695216996,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP4.0R
long,3,1.0,0.382,0.2,24,london_ny,0.5,2.0,2073,113.716550549877,16.94500398116351,0.42884708152436085,1.1015582888075093,-104.90776599205398,0.16152287507911448,5/8,"{2019: -8.92, 2020: 14.4, 2021: -58.27, 2022: 16.02, 2023: -0.41, 2024: 66.19, 2025: 76.44, 2026: 8.27}",308.89956724060994,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.382,0.2,24,london_ny,0.5,3.0,2073,204.14830809498125,30.420320320039757,0.40762180414857696,1.175959958087701,-89.37902128367665,0.3403519067801142,6/8,"{2019: -9.78, 2020: 31.16, 2021: -58.44, 2022: 34.34, 2023: 18.74, 2024: 82.32, 2025: 97.94, 2026: 7.86}",308.89956724060994,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.382,0.2,24,london_ny,0.5,4.0,2073,197.12779489257937,29.3741874256698,0.39556198745779064,1.1666079934618292,-89.09543702864595,0.329693510748765,5/8,"{2019: -13.54, 2020: 38.34, 2021: -60.93, 2022: 34.68, 2023: 19.76, 2024: 80.78, 2025: 103.15, 2026: -5.11}",308.89956724060994,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP4.0R
long,3,1.0,0.382,0.2,72,all,0.5,2.0,2483,144.0205933705559,21.45993707534374,0.4321385420861861,1.1098080908739245,-93.17517638786298,0.230318180306006,5/8,"{2019: -8.32, 2020: 17.55, 2021: -51.99, 2022: 29.48, 2023: -11.53, 2024: 74.72, 2025: 81.61, 2026: 12.51}",369.98197626487695,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait72h_sessall_pad0.5_TP2.0R
long,3,1.0,0.382,0.2,72,all,0.5,3.0,2483,256.47520510668414,38.216352496299095,0.4111961337092227,1.1884887464662104,-84.10379718289667,0.45439509007175677,6/8,"{2019: -6.13, 2020: 32.83, 2021: -53.71, 2022: 48.81, 2023: 15.33, 2024: 102.45, 2025: 101.64, 2026: 15.26}",369.98197626487695,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait72h_sessall_pad0.5_TP3.0R
long,3,1.0,0.382,0.2,72,all,0.5,4.0,2483,262.23431746138874,39.0744949733531,0.40112766814337497,1.1894309232724891,-83.24121948660667,0.46941281271882496,6/8,"{2019: -16.87, 2020: 36.37, 2021: -52.16, 2022: 52.18, 2023: 17.47, 2024: 107.48, 2025: 110.46, 2026: 7.31}",369.98197626487695,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait72h_sessall_pad0.5_TP4.0R
long,3,1.0,0.382,0.2,72,london_ny,0.5,2.0,2340,101.39201795651465,15.108514456545842,0.4269230769230769,1.0812452076156946,-122.23194852719891,0.12360528191354091,5/8,"{2019: -14.02, 2020: 10.18, 2021: -67.2, 2022: 20.59, 2023: -9.08, 2024: 75.86, 2025: 79.03, 2026: 6.03}",348.68547387507346,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait72h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.382,0.2,72,london_ny,0.5,3.0,2340,209.40867868196034,31.204172803321512,0.40683760683760684,1.1623615478133633,-92.54577479629612,0.3371755530925694,6/8,"{2019: -14.87, 2020: 28.82, 2021: -65.11, 2022: 42.79, 2023: 15.5, 2024: 92.3, 2025: 101.36, 2026: 8.62}",348.68547387507346,True,False,False,False,False,long_lb3_imp1.0_fib0.382_tol0.2_wait72h_sesslondon_ny_pad0.5_TP3.0R
