direction,pivot_lb,max_hold_h,session,ext,sl_buf,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,12,all,0.27,0.05,2344,83.65754514735464,12.462654243540781,0.45051194539249145,1.0657608668198384,-80.38276579309212,0.1550413713758004,5/8,"{2019: 6.78, 2020: -11.87, 2021: -28.69, 2022: 20.78, 2023: 21.4, 2024: 48.57, 2025: 33.34, 2026: -6.65}",349.1909964056999,True,False,False,False,False,long_lb3_hold12h_sessall_ext0.27_sl0.05_v2
long,3,12,london_ny,0.27,0.05,2043,68.2161686729021,10.16231736769197,0.4434654919236417,1.0606055818989928,-82.23488026325924,0.12357672723738702,5/8,"{2019: 7.3, 2020: -13.42, 2021: -29.41, 2022: 32.58, 2023: 5.52, 2024: 47.18, 2025: 28.89, 2026: -10.44}",304.3503437102581,True,False,False,False,False,long_lb3_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
long,3,24,all,0.27,0.05,2512,119.95528927209423,17.87001151239614,0.44028662420382164,1.082977674953002,-81.3377249790691,0.219701393381665,6/8,"{2019: 5.36, 2020: 6.02, 2021: -30.73, 2022: 13.16, 2023: 31.78, 2024: 63.45, 2025: 49.33, 2026: -18.4}",374.2183374450163,True,False,False,False,False,long_lb3_hold24h_sessall_ext0.27_sl0.05_v2
long,3,24,london_ny,0.27,0.05,2268,116.19022650831349,17.309121572970117,0.4347442680776014,1.0882128786201573,-82.93821508519927,0.20869898821899066,6/8,"{2019: 5.68, 2020: 0.11, 2021: -31.82, 2022: 31.32, 2023: 19.48, 2024: 63.15, 2025: 51.69, 2026: -23.41}",337.86910403077104,True,False,False,False,False,long_lb3_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
long,3,48,all,0.27,0.05,2629,142.09778536127155,21.16862937600072,0.4431342715861544,1.0931289787288094,-74.32106898766801,0.2848267612985115,6/8,"{2019: 0.18, 2020: 14.35, 2021: -28.48, 2022: 17.72, 2023: 37.52, 2024: 67.43, 2025: 54.04, 2026: -20.66}",391.64809281168306,True,False,False,False,False,long_lb3_hold48h_sessall_ext0.27_sl0.05_v2
long,3,48,london_ny,0.27,0.05,2404,127.697805558268,19.023431724280258,0.4355241264559068,1.090317203752449,-75.45606000950784,0.252112709328889,6/8,"{2019: 1.57, 2020: 6.85, 2021: -29.56, 2022: 34.55, 2023: 28.74, 2024: 63.25, 2025: 47.76, 2026: -25.45}",358.12933249117003,True,False,False,False,False,long_lb3_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
short,3,12,all,0.27,0.05,2396,-287.3785024255918,-42.832718768591974,0.3735392320534224,0.8019113897327685,-289.41581837713005,-0.14799715858231977,0/8,"{2019: -41.39, 2020: -50.34, 2021: -31.35, 2022: -20.73, 2023: -9.69, 2024: -75.41, 2025: -44.11, 2026: -14.34}",357.11507055444645,True,False,False,False,False,short_lb3_hold12h_sessall_ext0.27_sl0.05_v2
short,3,12,london_ny,0.27,0.05,2104,-223.55401419603032,-33.3161820868983,0.3754752851711027,0.8242076594269186,-223.83427691317874,-0.14884307509265457,0/8,"{2019: -34.44, 2020: -40.52, 2021: -11.77, 2022: -19.11, 2023: -5.46, 2024: -69.27, 2025: -30.67, 2026: -12.31}",313.5584362594673,True,False,False,False,False,short_lb3_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
short,3,24,all,0.27,0.05,2542,-305.15708121979117,-45.482551164438505,0.37372147915027537,0.81244475903031,-316.3615279370019,-0.14376764286426003,0/8,"{2019: -34.16, 2020: -61.13, 2021: -38.39, 2022: -23.41, 2023: -11.21, 2024: -74.33, 2025: -54.55, 2026: -7.97}",378.8758386266289,True,False,False,False,False,short_lb3_hold24h_sessall_ext0.27_sl0.05_v2
short,3,24,london_ny,0.27,0.05,2291,-234.13300014393252,-34.89276492484274,0.3723264949803579,0.8399989912766844,-240.5334445292878,-0.14506408866811088,0/8,"{2019: -27.37, 2020: -43.18, 2021: -25.24, 2022: -18.8, 2023: -5.53, 2024: -70.09, 2025: -36.65, 2026: -7.27}",341.4269854897527,True,False,False,False,False,short_lb3_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
short,3,48,all,0.27,0.05,2626,-343.4017690279976,-51.182782543804294,0.3674790555978675,0.8016050178227997,-359.06138714056993,-0.14254605027681966,0/8,"{2019: -35.37, 2020: -73.06, 2021: -45.21, 2022: -29.01, 2023: -11.42, 2024: -83.25, 2025: -58.52, 2026: -7.56}",391.39573258596675,True,False,False,False,False,short_lb3_hold48h_sessall_ext0.27_sl0.05_v2
short,3,48,london_ny,0.27,0.05,2400,-261.3789601398887,-38.95322148887317,0.36791666666666667,0.8341717955602769,-271.3448591881025,-0.14355614329833277,0/8,"{2019: -28.59, 2020: -58.14, 2021: -28.32, 2022: -23.48, 2023: -4.77, 2024: -73.75, 2025: -35.62, 2026: -8.72}",357.6712200678335,True,False,False,False,False,short_lb3_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
long,5,12,all,0.27,0.05,1438,98.7660034511891,14.717230555600786,0.45549374130737136,1.1357812949650739,-29.693181612090285,0.49564343585223336,5/8,"{2019: 8.99, 2020: 28.46, 2021: -18.87, 2022: 24.36, 2023: -0.5, 2024: 38.55, 2025: 20.91, 2026: -3.15}",214.2779579960733,True,False,False,False,False,long_lb5_hold12h_sessall_ext0.27_sl0.05_v2
long,5,12,london_ny,0.27,0.05,1255,64.29169324847996,9.580175761748412,0.44621513944223107,1.0997120362727775,-30.806505224336775,0.310978986158423,6/8,"{2019: 7.86, 2020: 22.26, 2021: -23.15, 2022: 17.44, 2023: 7.14, 2024: 28.78, 2025: 9.32, 2026: -5.35}",187.00892718016132,False,False,False,False,False,long_lb5_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
long,5,24,all,0.27,0.05,1549,110.16241207329246,16.415421910283087,0.4448030987734022,1.1273751953313802,-33.25996549825727,0.49354897590447616,5/8,"{2019: 7.66, 2020: 33.51, 2021: -27.14, 2022: 18.95, 2023: -0.47, 2024: 49.31, 2025: 37.49, 2026: -9.15}",230.81818980244614,True,False,False,False,False,long_lb5_hold24h_sessall_ext0.27_sl0.05_v2
long,5,24,london_ny,0.27,0.05,1396,77.36944082500858,11.528905279054845,0.4391117478510029,1.0979601019891159,-36.340984522984726,0.31724251366286216,6/8,"{2019: 6.16, 2020: 28.05, 2021: -30.13, 2022: 20.04, 2023: 6.83, 2024: 39.35, 2025: 20.94, 2026: -13.87}",208.01949190717548,True,False,False,False,False,long_lb5_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
long,5,48,all,0.27,0.05,1643,142.0016712777586,21.159824863301644,0.4497869750456482,1.1531968066759002,-35.020539080940054,0.6042118544890672,6/8,"{2019: 4.19, 2020: 44.72, 2021: -20.71, 2022: 28.17, 2023: 4.66, 2024: 60.01, 2025: 36.14, 2026: -15.18}",244.82523295378888,True,False,False,False,False,long_lb5_hold48h_sessall_ext0.27_sl0.05_v2
long,5,48,london_ny,0.27,0.05,1508,106.2262816614776,15.828894798287308,0.4423076923076923,1.123460105252656,-33.27567423863404,0.4756896790361499,6/8,"{2019: 3.77, 2020: 34.89, 2021: -23.67, 2022: 26.83, 2023: 11.18, 2024: 55.13, 2025: 17.36, 2026: -19.25}",224.70873481090302,True,False,False,False,False,long_lb5_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
