direction,fvg_max_age_h,session,swing_lookback,require_m15_inside_h4,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,12,all,20,True,1.0,147,-204.97325886785333,-31.49349222115029,0.5510204081632653,0.2345345424034337,-205.2872885406205,-0.15341179887481746,0/8,"{2019: -2.46, 2020: -53.26, 2021: -5.55, 2022: -36.46, 2023: -16.93, 2024: -73.12, 2025: -16.5, 2026: -0.7}",22.586084556004295,False,False,False,False,False,long_age12h_sessall_sw20_inside1_TP1.0R
long,12,all,20,True,2.0,147,-152.6645501792179,-23.456424755456982,0.48299319727891155,0.4281444276210949,-156.88970278265072,-0.14950901390866078,1/8,"{2019: -1.46, 2020: -48.77, 2021: -0.55, 2022: -28.46, 2023: -9.96, 2024: -59.27, 2025: 0.5, 2026: -4.7}",22.586084556004295,False,False,False,False,False,long_age12h_sessall_sw20_inside1_TP2.0R
long,12,all,20,True,3.0,147,-100.48137537412016,-15.4386451734931,0.4557823129251701,0.6115554580329048,-117.59790879468201,-0.13128333090044933,2/8,"{2019: -0.46, 2020: -40.3, 2021: 7.02, 2022: -23.01, 2023: -5.96, 2024: -48.47, 2025: 13.39, 2026: -2.7}",22.586084556004295,False,False,False,False,False,long_age12h_sessall_sw20_inside1_TP3.0R
long,12,all,20,True,4.0,147,-42.54096104406246,-6.536283967584215,0.46938775510204084,0.8302455594959313,-70.17871687549018,-0.0931376955663178,4/8,"{2019: 0.54, 2020: -31.3, 2021: 15.02, 2022: -18.01, 2023: 0.46, 2024: -32.47, 2025: 28.92, 2026: -5.7}",22.586084556004295,False,False,False,False,False,long_age12h_sessall_sw20_inside1_TP4.0R
long,24,all,20,True,1.0,151,-202.62673678298762,-31.13295653256996,0.5629139072847682,0.24329754696009237,-202.94076645575478,-0.15340908126193353,0/8,"{2019: -2.46, 2020: -53.26, 2021: -5.16, 2022: -36.46, 2023: -16.53, 2024: -71.56, 2025: -16.5, 2026: -0.7}",23.200671890861553,False,False,False,False,False,long_age24h_sessall_sw20_inside1_TP1.0R
long,24,all,20,True,2.0,151,-149.31802809435223,-22.942242233162343,0.4900662251655629,0.4440374999088223,-153.543180697785,-0.14941882882001092,1/8,"{2019: -1.46, 2020: -48.77, 2021: -2.16, 2022: -28.46, 2023: -8.56, 2024: -55.71, 2025: 0.5, 2026: -4.7}",23.200671890861553,False,False,False,False,False,long_age24h_sessall_sw20_inside1_TP2.0R
long,24,all,20,True,3.0,151,-94.13485328925444,-14.463522150055509,0.46357615894039733,0.6383441563256163,-111.25138670981634,-0.13000756734638805,2/8,"{2019: -0.46, 2020: -40.3, 2021: 5.41, 2022: -23.01, 2023: -3.56, 2024: -42.91, 2025: 13.39, 2026: -2.7}",23.200671890861553,False,False,False,False,False,long_age24h_sessall_sw20_inside1_TP3.0R
long,24,all,20,True,4.0,151,-33.194438959196745,-5.100220443003679,0.4768211920529801,0.868388417566054,-60.832194790624456,-0.08384080930431484,4/8,"{2019: 0.54, 2020: -31.3, 2021: 13.41, 2022: -18.01, 2023: 3.86, 2024: -24.91, 2025: 28.92, 2026: -5.7}",23.200671890861553,False,False,False,False,False,long_age24h_sessall_sw20_inside1_TP4.0R
long,72,all,20,True,1.0,157,-203.8971433344278,-31.328150476728663,0.5668789808917197,0.2510019216278896,-205.14867300719493,-0.15270949608155607,1/8,"{2019: -2.46, 2020: -54.71, 2021: -5.16, 2022: -36.46, 2023: -17.29, 2024: -71.56, 2025: -16.5, 2026: 0.24}",24.122552893147443,False,False,False,False,False,long_age72h_sessall_sw20_inside1_TP1.0R
long,72,all,20,True,2.0,157,-145.58843464579235,-22.369202008749465,0.4968152866242038,0.46480008869796957,-151.75108724922515,-0.14740719433536503,1/8,"{2019: -1.46, 2020: -48.22, 2021: -2.16, 2022: -28.46, 2023: -7.31, 2024: -55.71, 2025: 0.5, 2026: -2.76}",24.122552893147443,False,False,False,False,False,long_age72h_sessall_sw20_inside1_TP2.0R
long,72,all,20,True,3.0,157,-85.96789253708532,-13.208694489415644,0.47770700636942676,0.6736611127937381,-106.02192595764717,-0.12458455522390861,3/8,"{2019: -0.46, 2020: -38.32, 2021: 5.41, 2022: -23.01, 2023: -0.31, 2024: -42.91, 2025: 13.39, 2026: 0.24}",24.122552893147443,False,False,False,False,False,long_age72h_sessall_sw20_inside1_TP3.0R
long,72,all,20,True,4.0,157,-21.027478207027624,-3.230805447506554,0.49044585987261147,0.917654919191748,-52.602734038455324,-0.061418964366845796,4/8,"{2019: 0.54, 2020: -28.32, 2021: 13.41, 2022: -18.01, 2023: 9.11, 2024: -24.91, 2025: 28.92, 2026: -1.76}",24.122552893147443,False,False,False,False,False,long_age72h_sessall_sw20_inside1_TP4.0R
long,12,london,20,True,1.0,86,-65.7105944223009,-10.15705121480993,0.5348837209302325,0.353100550613137,-67.80894817024024,-0.14978924594597418,1/8,"{2019: -1.25, 2020: -11.13, 2021: 2.06, 2022: -7.62, 2023: -10.66, 2024: -25.31, 2025: -11.57, 2026: -0.22}",13.293235469152945,False,False,False,False,False,long_age12h_sesslondon_sw20_inside1_TP1.0R
long,12,london,20,True,2.0,86,-39.96713892491869,-6.177820799503401,0.47674418604651164,0.6281039615239259,-45.477886298644975,-0.1358423027608359,1/8,"{2019: -0.25, 2020: -2.39, 2021: 5.06, 2022: -6.62, 2023: -6.66, 2024: -17.31, 2025: -9.57, 2026: -2.22}",13.293235469152945,False,False,False,False,False,long_age12h_sesslondon_sw20_inside1_TP2.0R
long,12,london,20,True,3.0,86,-10.924678899393312,-1.688654988773511,0.4418604651162791,0.8980696543109828,-34.14945043082469,-0.04944896528259388,3/8,"{2019: 0.75, 2020: 5.08, 2021: 10.63, 2022: -1.62, 2023: -8.66, 2024: -11.31, 2025: -5.57, 2026: -0.22}",13.293235469152945,False,False,False,False,False,long_age12h_sesslondon_sw20_inside1_TP3.0R
long,12,london,20,True,4.0,86,28.075321100606686,4.339672723981894,0.4418604651162791,1.272105994589015,-23.149450430824686,0.18746331525017096,5/8,"{2019: 1.75, 2020: 13.08, 2021: 16.63, 2022: 3.38, 2023: -4.66, 2024: -2.31, 2025: -1.57, 2026: 1.78}",13.293235469152945,False,False,False,False,False,long_age12h_sesslondon_sw20_inside1_TP4.0R
long,24,london,20,True,1.0,124,-59.59944269761994,-8.902517907955737,0.5806451612903226,0.4940670136754437,-61.355432187021755,-0.14509746880796723,2/8,"{2019: -2.55, 2020: -9.42, 2021: 1.17, 2022: -5.59, 2023: -6.13, 2024: -23.38, 2025: -15.33, 2026: 1.64}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP1.0R
long,24,london,20,True,2.0,124,-18.855987200237756,-2.8165659966650054,0.5161290322580645,0.8527779843777453,-36.88131780682809,-0.07636836653769337,3/8,"{2019: -1.55, 2020: -0.68, 2021: 7.17, 2022: -3.59, 2023: 0.87, 2024: -13.38, 2025: -10.33, 2026: 2.64}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP2.0R
long,24,london,20,True,3.0,124,6.503484609828675,0.9714417716430492,0.4435483870967742,1.0483100730913921,-27.073958531939542,0.03588103935732284,3/8,"{2019: -0.55, 2020: 8.79, 2021: 11.74, 2022: -3.59, 2023: 3.38, 2024: -4.49, 2025: -8.41, 2026: -0.36}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP3.0R
long,24,london,20,True,4.0,124,53.07110756064842,7.927364150882997,0.43548387096774194,1.402714132693585,-17.157780241832143,0.46202737412123984,7/8,"{2019: 0.45, 2020: 18.79, 2021: 13.31, 2022: 2.41, 2023: 11.38, 2024: 7.51, 2025: -3.41, 2026: 2.64}",18.522190319584908,False,True,False,True,False,long_age24h_sesslondon_sw20_inside1_TP4.0R
long,72,london,20,True,1.0,169,-71.88091202195668,-10.737031716258228,0.5443786982248521,0.5128050035705605,-72.07828081431416,-0.14896348241044535,0/8,"{2019: -2.55, 2020: -7.27, 2021: -4.26, 2022: -2.81, 2023: -6.12, 2024: -31.17, 2025: -17.12, 2026: -0.58}",25.2439529355633,False,False,False,False,False,long_age72h_sesslondon_sw20_inside1_TP1.0R
