cfg,n,pf_close,pf_honest,net_close,net_honest,wr_honest,posY_h,oos_h
l_a4_all_sw10_in0_tp2.0,89,1.3,0.79,22.0,-23.0,56.0,2/8,0.65
l_a4_all_sw10_in0_tp3.0,89,1.72,1.01,54.0,1.0,49.0,4/8,0.91
l_a4_all_sw10_in0_tp4.0,89,2.04,0.97,76.0,-4.0,39.0,4/8,0.99
l_a4_all_sw10_in1_tp2.0,75,0.81,0.52,-16.0,-58.0,49.0,1/8,0.45
l_a4_all_sw10_in1_tp3.0,75,1.12,0.61,10.0,-50.0,40.0,0/8,0.61
l_a4_all_sw10_in1_tp4.0,75,1.42,0.65,33.0,-47.0,33.0,1/8,0.71
l_a4_all_sw20_in0_tp2.0,123,0.85,0.72,-21.0,-48.0,56.0,4/8,1.63
l_a4_all_sw20_in0_tp3.0,123,1.11,0.84,16.0,-28.0,49.0,4/8,1.98
l_a4_all_sw20_in0_tp4.0,123,1.4,0.92,56.0,-16.0,44.0,3/8,1.97
l_a4_all_sw20_in1_tp2.0,119,0.51,0.45,-91.0,-118.0,48.0,1/8,0.81
l_a4_all_sw20_in1_tp3.0,119,0.68,0.52,-60.0,-108.0,40.0,3/8,1.0
l_a4_all_sw20_in1_tp4.0,119,0.9,0.6,-18.0,-93.0,37.0,3/8,1.07
l_a4_all_sw30_in0_tp2.0,138,1.89,1.56,62.0,47.0,54.0,5/8,1.6
l_a4_all_sw30_in0_tp3.0,138,2.27,1.79,97.0,73.0,49.0,6/8,1.81
l_a4_all_sw30_in0_tp4.0,138,2.47,1.9,116.0,88.0,46.0,5/8,1.85
l_a4_all_sw30_in1_tp2.0,153,1.08,0.98,9.0,-3.0,46.0,4/8,1.38
l_a4_all_sw30_in1_tp3.0,153,1.34,1.15,40.0,20.0,42.0,4/8,1.56
l_a4_all_sw30_in1_tp4.0,153,1.54,1.26,65.0,36.0,39.0,4/8,1.58
l_a4_london_sw10_in0_tp2.0,33,1.07,0.65,2.0,-16.0,55.0,4/8,0.56
l_a4_london_sw10_in0_tp3.0,33,1.42,0.94,13.0,-3.0,52.0,4/8,0.93
l_a4_london_sw10_in0_tp4.0,33,1.91,1.06,27.0,3.0,45.0,4/8,1.29
l_a4_london_sw10_in1_tp2.0,27,0.86,0.5,-3.0,-18.0,44.0,1/8,0.29
l_a4_london_sw10_in1_tp3.0,27,1.37,0.62,9.0,-15.0,37.0,2/8,0.48
l_a4_london_sw10_in1_tp4.0,27,2.0,0.84,22.0,-6.0,37.0,2/8,0.66
l_a4_london_sw20_in0_tp2.0,48,1.01,0.8,1.0,-11.0,56.0,4/8,2.0
l_a4_london_sw20_in0_tp3.0,48,1.43,1.06,20.0,4.0,52.0,4/8,2.75
l_a4_london_sw20_in0_tp4.0,48,2.03,1.23,44.0,14.0,48.0,4/8,2.84
l_a4_london_sw20_in1_tp2.0,46,0.62,0.57,-22.0,-28.0,48.0,1/8,0.62
l_a4_london_sw20_in1_tp3.0,46,0.9,0.69,-6.0,-22.0,41.0,3/8,0.88
l_a4_london_sw20_in1_tp4.0,46,1.26,0.85,14.0,-11.0,39.0,3/8,1.06
l_a4_london_sw30_in0_tp2.0,56,1.8,1.48,24.0,18.0,55.0,5/8,1.41
l_a4_london_sw30_in0_tp3.0,56,2.35,2.07,45.0,41.0,54.0,5/8,2.2
l_a4_london_sw30_in0_tp4.0,56,2.42,2.09,51.0,46.0,48.0,7/8,2.1
