swing_k,ote_fib,sweep_lb,min_conf,require_fvg,sl_buf_atr,tp_mode,session,h4_trend,wait_bars,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.5,3,3,0,0.05,bsl,all,0,48,5178,772.0,0.861,-372.1,-0.12,0.544,-467.8,3/8,0.95,False
2,0.5,3,3,0,0.05,bsl,all,0,96,6411,955.0,0.893,-348.2,-0.11,0.551,-480.7,3/8,0.95,False
2,0.5,3,3,0,0.05,bsl,all,1,48,2803,418.0,0.914,-120.4,-0.09,0.559,-193.3,3/8,0.95,False
2,0.5,3,3,0,0.05,bsl,all,1,96,3502,522.0,0.952,-82.3,-0.07,0.566,-174.6,3/8,0.95,False
2,0.5,3,3,0,0.05,bsl,kz,0,48,2855,426.0,0.884,-168.5,-0.11,0.552,-237.6,2/8,0.95,False
2,0.5,3,3,0,0.05,bsl,kz,0,96,3486,520.0,0.912,-153.5,-0.09,0.557,-250.0,3/8,0.95,False
2,0.5,3,3,0,0.05,bsl,kz,1,48,1579,235.0,0.965,-26.4,-0.05,0.574,-77.2,4/8,0.95,False
2,0.5,3,3,0,0.05,bsl,kz,1,96,1930,288.0,1.004,3.4,0.01,0.58,-73.1,5/8,0.96,False
2,0.5,3,3,0,0.05,2R,all,0,48,5178,772.0,1.056,198.8,0.16,0.394,-185.6,4/8,2.0,False
2,0.5,3,3,0,0.05,2R,all,0,96,6411,955.0,1.086,376.1,0.27,0.399,-208.0,4/8,2.0,False
2,0.5,3,3,0,0.05,2R,all,1,48,2803,418.0,1.08,152.4,0.23,0.4,-97.9,6/8,2.0,False
2,0.5,3,3,0,0.05,2R,all,1,96,3502,522.0,1.121,283.0,0.5,0.408,-83.6,6/8,2.0,False
2,0.5,3,3,0,0.05,2R,kz,0,48,2855,426.0,1.119,228.5,0.32,0.408,-105.7,6/8,2.0,False
2,0.5,3,3,0,0.05,2R,kz,0,96,3486,520.0,1.143,331.5,0.45,0.412,-110.5,6/8,2.0,False
2,0.5,3,3,0,0.05,2R,kz,1,48,1579,235.0,1.157,163.7,0.35,0.419,-69.1,4/8,2.0,False
2,0.5,3,3,0,0.05,2R,kz,1,96,1930,288.0,1.175,221.5,0.48,0.421,-69.5,6/8,2.0,False
2,0.5,3,3,0,0.05,3R,all,0,48,5178,772.0,1.179,708.4,0.92,0.326,-114.6,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,all,0,96,6411,955.0,1.205,992.9,1.16,0.331,-127.3,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,all,1,48,2803,418.0,1.185,394.7,0.43,0.329,-135.7,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,all,1,96,3502,522.0,1.23,602.7,0.8,0.337,-112.1,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,kz,0,48,2855,426.0,1.258,552.6,0.68,0.341,-120.6,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,kz,0,96,3486,520.0,1.279,720.5,1.01,0.345,-106.7,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,kz,1,48,1579,235.0,1.284,332.8,0.45,0.348,-111.1,6/8,3.0,False
2,0.5,3,3,0,0.05,3R,kz,1,96,1930,288.0,1.299,423.8,0.62,0.35,-101.9,6/8,3.0,False
2,0.5,3,3,0,0.1,bsl,all,0,48,5201,775.0,0.844,-409.7,-0.12,0.55,-492.1,3/8,0.91,False
2,0.5,3,3,0,0.1,bsl,all,0,96,6438,959.0,0.876,-396.8,-0.12,0.556,-510.5,3/8,0.91,False
2,0.5,3,3,0,0.1,bsl,all,1,48,2815,420.0,0.891,-151.6,-0.1,0.562,-219.8,3/8,0.91,False
2,0.5,3,3,0,0.1,bsl,all,1,96,3516,524.0,0.93,-118.1,-0.09,0.57,-204.0,3/8,0.91,False
2,0.5,3,3,0,0.1,bsl,kz,0,48,2869,428.0,0.864,-196.5,-0.11,0.556,-263.4,2/8,0.91,False
2,0.5,3,3,0,0.1,bsl,kz,0,96,3503,522.0,0.892,-187.5,-0.1,0.56,-268.1,3/8,0.91,False
2,0.5,3,3,0,0.1,bsl,kz,1,48,1585,236.0,0.943,-43.5,-0.07,0.577,-94.0,4/8,0.91,False
2,0.5,3,3,0,0.1,bsl,kz,1,96,1938,289.0,0.982,-16.5,-0.03,0.584,-82.7,4/8,0.91,False
2,0.5,3,3,0,0.1,2R,all,0,48,5201,775.0,1.054,194.0,0.16,0.391,-182.0,4/8,2.0,False
2,0.5,3,3,0,0.1,2R,all,0,96,6438,959.0,1.083,360.9,0.27,0.397,-199.6,5/8,2.0,False
2,0.5,3,3,0,0.1,2R,all,1,48,2815,420.0,1.073,139.9,0.2,0.397,-102.8,6/8,2.0,False
2,0.5,3,3,0,0.1,2R,all,1,96,3516,524.0,1.112,262.6,0.43,0.404,-91.7,6/8,2.0,False
2,0.5,3,3,0,0.1,2R,kz,0,48,2869,428.0,1.111,213.9,0.29,0.405,-109.7,6/8,2.0,False
2,0.5,3,3,0,0.1,2R,kz,0,96,3503,522.0,1.134,311.5,0.4,0.409,-117.4,6/8,2.0,False
2,0.5,3,3,0,0.1,2R,kz,1,48,1585,236.0,1.143,150.0,0.29,0.415,-76.4,4/8,2.0,False
2,0.5,3,3,0,0.1,2R,kz,1,96,1938,289.0,1.161,205.3,0.45,0.417,-67.6,6/8,2.0,False
2,0.5,3,3,0,0.1,3R,all,0,48,5201,775.0,1.181,715.5,0.83,0.325,-128.9,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,all,0,96,6438,959.0,1.205,994.9,1.13,0.33,-130.8,7/8,3.0,False
2,0.5,3,3,0,0.1,3R,all,1,48,2815,420.0,1.18,384.6,0.4,0.326,-145.1,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,all,1,96,3516,524.0,1.224,587.9,0.7,0.334,-124.5,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,kz,0,48,2869,428.0,1.247,531.7,0.58,0.337,-136.3,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,kz,0,96,3503,522.0,1.266,690.0,0.85,0.341,-121.5,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,kz,1,48,1585,236.0,1.268,315.4,0.38,0.343,-124.7,6/8,3.0,False
2,0.5,3,3,0,0.1,3R,kz,1,96,1938,289.0,1.282,402.8,0.52,0.346,-115.0,6/8,3.0,False
2,0.5,3,3,0,0.25,bsl,all,0,48,5232,780.0,0.816,-460.8,-0.13,0.568,-511.5,2/8,0.8,False
2,0.5,3,3,0,0.25,bsl,all,0,96,6476,965.0,0.847,-465.5,-0.13,0.574,-542.7,3/8,0.81,False
2,0.5,3,3,0,0.25,bsl,all,1,48,2835,423.0,0.864,-178.8,-0.12,0.581,-226.5,2/8,0.8,False
2,0.5,3,3,0,0.25,bsl,all,1,96,3540,528.0,0.901,-159.7,-0.11,0.587,-222.7,3/8,0.81,False
2,0.5,3,3,0,0.25,bsl,kz,0,48,2888,431.0,0.842,-215.9,-0.12,0.575,-271.5,1/8,0.81,False
2,0.5,3,3,0,0.25,bsl,kz,0,96,3524,525.0,0.868,-217.0,-0.11,0.579,-285.3,2/8,0.81,False
2,0.5,3,3,0,0.25,bsl,kz,1,48,1597,238.0,0.927,-52.4,-0.08,0.598,-98.0,2/8,0.81,False
2,0.5,3,3,0,0.25,bsl,kz,1,96,1952,291.0,0.96,-34.4,-0.06,0.603,-92.1,3/8,0.81,False
2,0.5,3,3,0,0.25,2R,all,0,48,5232,780.0,1.054,191.5,0.15,0.386,-195.3,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,0,96,6476,965.0,1.079,343.0,0.25,0.391,-207.5,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,1,48,2835,423.0,1.084,160.6,0.22,0.394,-110.4,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,1,96,3540,528.0,1.117,274.3,0.44,0.401,-92.7,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,0,48,2888,431.0,1.126,241.6,0.28,0.403,-127.0,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,0,96,3524,525.0,1.146,338.7,0.37,0.406,-135.5,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,1,48,1597,238.0,1.181,187.3,0.34,0.417,-81.9,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,1,96,1952,291.0,1.192,242.0,0.45,0.418,-80.5,6/8,2.0,False
