family,pattern,ts_run,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7of8,gate_ALL_PASS,notes
btc_fib,long_lb10_fib0.382_tol0.25_sl0.5_tp1.0,1783160478,11775,-11103.463768370288,-1666.2228534779786,0.3363906581740977,0.1301483213732528,-11102.11996326539,-0.1500815032616441,0/8,"{2019: -292.95, 2020: -1573.22, 2021: -971.98, 2022: -1382.55, 2023: -2343.2, 2024: -1791.37, 2025: -1996.97, 2026: -751.21}",1766.9958230145053,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.382_tol0.25_sl0.5_tp2.0,1783160478,11775,-10130.096179108132,-1520.1560624390038,0.3245010615711252,0.3167378858642075,-10129.660871931974,-0.150069788283946,0/8,"{2019: -265.95, 2020: -1400.22, 2021: -819.98, 2022: -1275.18, 2023: -2161.2, 2024: -1591.37, 2025: -1878.97, 2026: -737.21}",1766.9958230145053,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.382_tol0.25_sl1.0_tp1.0,1783160478,11775,-5695.358084475431,-854.664453999149,0.4550318471337579,0.3668902946379415,-5694.186181922982,-0.1500942235981684,0/8,"{2019: -157.68, 2020: -750.61, 2021: -539.99, 2022: -687.59, 2023: -1214.48, 2024: -872.01, 2025: -1038.9, 2026: -434.11}",1766.9958230145053,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.382_tol0.25_sl1.0_tp2.0,1783160478,11775,-5019.045021879484,-753.174657255439,0.3370700636942675,0.5536554049350967,-5020.4018200649025,-0.150022783882606,0/8,"{2019: -159.68, 2020: -546.56, 2021: -454.1, 2022: -625.25, 2023: -1117.29, 2024: -621.73, 2025: -1033.76, 2026: -460.66}",1766.9958230145053,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.382_tol0.5_sl0.5_tp1.0,1783160478,12589,-11850.069247733509,-1778.220377043628,0.3384700929382794,0.1303476328792471,-11848.725442628636,-0.1500769332240624,0/8,"{2019: -318.14, 2020: -1624.02, 2021: -1021.91, 2022: -1496.48, 2023: -2543.36, 2024: -1910.66, 2025: -2141.75, 2026: -793.76}",1889.1042624821685,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.382_tol0.5_sl0.5_tp2.0,1783160478,12589,-10850.701658471353,-1628.2553621368309,0.3231392485503217,0.3154741515610736,-10850.27670634129,-0.1500657915189591,0/8,"{2019: -301.14, 2020: -1434.02, 2021: -816.91, 2022: -1411.12, 2023: -2387.36, 2024: -1688.66, 2025: -2040.75, 2026: -770.76}",1889.1042624821685,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.382_tol0.5_sl1.0_tp1.0,1783160478,12589,-6159.536172626187,-924.2994708571952,0.4521407578044324,0.3628294931883068,-6158.36427007374,-0.1500884699771304,0/8,"{2019: -157.07, 2020: -844.01, 2021: -550.45, 2022: -765.06, 2023: -1301.38, 2024: -945.4, 2025: -1137.29, 2026: -458.88}",1889.1042624821685,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.382_tol0.5_sl1.0_tp2.0,1783160478,12589,-5426.16484351924,-814.249831982134,0.3356898879974581,0.5495977152356999,-5427.161439372681,-0.1500323587345233,0/8,"{2019: -167.07, 2020: -595.01, 2021: -500.45, 2022: -699.23, 2023: -1174.38, 2024: -735.2, 2025: -1073.29, 2026: -481.53}",1889.1042624821685,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.618_tol0.25_sl0.5_tp1.0,1783160478,11847,-10559.068223745391,-1584.0002746538526,0.3523254832447033,0.142077034011265,-10557.724418640531,-0.1500323565802844,0/8,"{2019: -287.34, 2020: -1440.74, 2021: -866.58, 2022: -1293.29, 2023: -2219.0, 2024: -1725.74, 2025: -1977.81, 2026: -748.57}",1777.2071224640554,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.618_tol0.25_sl0.5_tp2.0,1783160478,11847,-9597.877074376138,-1439.8088543188776,0.3377226302017388,0.338487980058584,-9596.533269271262,-0.150034269034344,0/8,"{2019: -277.34, 2020: -1268.74, 2021: -733.58, 2022: -1201.29, 2023: -2075.81, 2024: -1534.74, 2025: -1791.81, 2026: -714.57}",1777.2071224640554,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.618_tol0.25_sl1.0_tp1.0,1783160478,11847,-5398.118863413167,-809.7894228045456,0.4659407444922765,0.3868732956685589,-5396.946960860739,-0.1500458367809112,0/8,"{2019: -161.17, 2020: -670.37, 2021: -457.29, 2022: -682.65, 2023: -1164.65, 2024: -831.84, 2025: -1000.65, 2026: -429.5}",1777.2071224640554,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.618_tol0.25_sl1.0_tp2.0,1783160479,11847,-4863.5833073867125,-729.6020000493756,0.3414366506288512,0.5658467840341102,-4863.1105627830175,-0.1500278454767118,0/8,"{2019: -169.17, 2020: -497.52, 2021: -376.24, 2022: -689.89, 2023: -1104.31, 2024: -681.11, 2025: -929.43, 2026: -415.92}",1777.2071224640554,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.618_tol0.5_sl0.5_tp1.0,1783160479,12640,-11396.282699290674,-1709.5935496575737,0.3513449367088607,0.1399730478992052,-11394.938894185823,-0.150030953700847,0/8,"{2019: -286.97, 2020: -1537.41, 2021: -936.63, 2022: -1436.3, 2023: -2395.67, 2024: -1900.39, 2025: -2102.52, 2026: -800.39}",1896.1676397354315,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.618_tol0.5_sl0.5_tp2.0,1783160479,12640,-10402.282699290674,-1560.4803665961008,0.3349683544303797,0.3340341139381945,-10400.938894185794,-0.1500326444056335,0/8,"{2019: -260.97, 2020: -1388.41, 2021: -741.63, 2022: -1322.3, 2023: -2236.67, 2024: -1721.39, 2025: -1975.52, 2026: -755.39}",1896.1676397354315,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb10_fib0.618_tol0.5_sl1.0_tp1.0,1783160479,12640,-5892.982239179593,-884.0254923629739,0.4625,0.3793809442574302,-5891.8103366271735,-0.1500431008220545,0/8,"{2019: -153.5, 2020: -723.21, 2021: -531.32, 2022: -755.65, 2023: -1235.89, 2024: -951.06, 2025: -1098.67, 2026: -443.69}",1896.1676397354315,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb10_fib0.618_tol0.5_sl1.0_tp2.0,1783160479,12640,-5254.63576913918,-788.26505569921,0.3398734177215189,0.56181644544372,-5254.156169144575,-0.1500269558655975,0/8,"{2019: -200.5, 2020: -516.43, 2021: -447.25, 2022: -719.91, 2023: -1163.12, 2024: -747.9, 2025: -1022.12, 2026: -437.42}",1896.1676397354315,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.382_tol0.25_sl0.5_tp1.0,1783160479,10725,-9941.27070396024,-1491.9054131157202,0.3444289044289044,0.1337755303978396,-9942.916800203864,-0.1500470579302374,0/8,"{2019: -270.18, 2020: -1488.08, 2021: -776.99, 2022: -1188.95, 2023: -2113.57, 2024: -1547.12, 2025: -1872.53, 2026: -683.85}",1609.521160035609,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.382_tol0.25_sl0.5_tp2.0,1783160479,10725,-8925.16659862866,-1339.4167363483332,0.3354778554778554,0.3304822458320971,-8926.030792386213,-0.1500573734846218,0/8,"{2019: -258.18, 2020: -1275.08, 2021: -632.99, 2022: -1068.58, 2023: -1963.57, 2024: -1356.12, 2025: -1708.79, 2026: -661.85}",1609.521160035609,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.382_tol0.25_sl1.0_tp1.0,1783160479,10725,-5060.251836911383,-759.4016229946789,0.4619114219114219,0.3753248615769131,-5060.183933790171,-0.1500739168637044,0/8,"{2019: -144.59, 2020: -693.04, 2021: -394.5, 2022: -586.79, 2023: -1076.07, 2024: -782.06, 2025: -989.78, 2026: -393.42}",1609.521160035609,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.382_tol0.25_sl1.0_tp2.0,1783160479,10725,-4426.163899279145,-664.2428395035436,0.3423776223776223,0.5653473856324706,-4428.09599615792,-0.1500064226430231,0/8,"{2019: -136.59, 2020: -524.2, 2021: -290.22, 2022: -563.66, 2023: -956.62, 2024: -598.19, 2025: -955.34, 2026: -401.34}",1609.521160035609,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.382_tol0.5_sl0.5_tp1.0,1783160479,11820,-11002.74865806511,-1650.5817629564765,0.3412013536379019,0.1329676879395971,-11003.031762619006,-0.1500115421427807,0/8,"{2019: -288.29, 2020: -1544.2, 2021: -931.94, 2022: -1370.87, 2023: -2310.8, 2024: -1772.42, 2025: -2047.38, 2026: -736.86}",1773.1820515453333,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.382_tol0.5_sl0.5_tp2.0,1783160479,11820,-9949.381068802952,-1492.5604006079798,0.3308798646362098,0.3243949910177837,-9948.882270870785,-0.1500229231758053,0/8,"{2019: -286.29, 2020: -1358.2, 2021: -791.94, 2022: -1301.5, 2023: -2136.8, 2024: -1495.42, 2025: -1848.38, 2026: -730.86}",1773.1820515453333,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.382_tol0.5_sl1.0_tp1.0,1783160480,11820,-5639.598434878042,-846.0266262816326,0.4587140439932318,0.3709358608091248,-5638.416939033188,-0.1500468368035762,0/8,"{2019: -159.15, 2020: -766.6, 2021: -495.47, 2022: -747.75, 2023: -1169.15, 2024: -855.21, 2025: -1021.34, 2026: -424.93}",1773.1820515453333,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.382_tol0.5_sl1.0_tp2.0,1783160480,11820,-4856.752329244596,-728.5876530471666,0.3430626057529611,0.56705812525073,-4857.502930278506,-0.1499922210042584,0/8,"{2019: -169.91, 2020: -560.6, 2021: -383.2, 2022: -657.4, 2023: -1037.91, 2024: -631.26, 2025: -1002.99, 2026: -413.47}",1773.1820515453333,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.618_tol0.25_sl0.5_tp1.0,1783160480,10190,-8873.994262813205,-1331.657414689946,0.3634936211972522,0.1475914977392344,-8873.06586657961,-0.1500786125915769,0/8,"{2019: -257.25, 2020: -1179.56, 2021: -708.63, 2022: -1117.3, 2023: -1901.17, 2024: -1381.35, 2025: -1704.83, 2026: -623.91}",1529.141067011324,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.618_tol0.25_sl0.5_tp2.0,1783160480,10190,-8120.158696532069,-1218.5346549083738,0.3450441609421001,0.346795165220367,-8122.503675753088,-0.1500195879930329,0/8,"{2019: -229.25, 2020: -1085.56, 2021: -608.63, 2022: -1066.3, 2023: -1753.33, 2024: -1221.35, 2025: -1576.83, 2026: -578.91}",1529.141067011324,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.618_tol0.25_sl1.0_tp1.0,1783160480,10190,-4631.675967231549,-695.0427802338721,0.4694798822374877,0.3872454349772564,-4631.848456842055,-0.1500573230558032,0/8,"{2019: -145.12, 2020: -586.28, 2021: -401.81, 2022: -633.15, 2023: -968.53, 2024: -701.41, 2025: -857.92, 2026: -337.46}",1529.141067011324,True,False,False,False,False,tp1.0 hz288
btc_fib,long_lb20_fib0.618_tol0.25_sl1.0_tp2.0,1783160480,10190,-4116.6341647852205,-617.7541078738903,0.3453385672227674,0.5721585858961709,-4115.452668940344,-0.1501059926010401,0/8,"{2019: -161.12, 2020: -408.31, 2021: -339.81, 2022: -586.2, 2023: -910.37, 2024: -501.92, 2025: -871.59, 2026: -337.32}",1529.141067011324,True,False,False,False,False,tp2.0 hz288
btc_fib,long_lb20_fib0.618_tol0.5_sl0.5_tp1.0,1783160480,11308,-9885.653374565874,-1482.998150019942,0.3600990449239477,0.1454379424822519,-9885.213141002248,-0.1500218689133478,0/8,"{2019: -268.42, 2020: -1354.84, 2021: -790.4, 2022: -1261.9, 2023: -2186.09, 2024: -1531.66, 2025: -1798.38, 2026: -693.97}",1696.3717465120956,True,False,False,False,False,tp1.0 hz288
