scenario,entry_zone,sl_buf_atr,min_sweep_atr,k,mss_look,tp_mode,wait_bars,n,per_yr,pf,mar,net,pos,d1_pf,c5_pf,oos_pf,pboot,passed
london,fvg_ce,0.05,0.0,3,12,range,48,701,105,1.211,0.43,117.6,6/8,1.07,1.03,1.65,0.0288,False
london,fvg_ce,0.05,0.0,3,12,range,96,770,115,1.217,0.37,130.1,6/8,1.08,1.04,1.67,0.0175,False
london,fvg_ce,0.05,0.0,3,12,2R,48,701,105,1.085,0.13,39.5,5/8,0.76,0.88,1.3,0.145,False
london,fvg_ce,0.05,0.0,3,12,2R,96,770,115,1.113,0.18,57.1,7/8,0.8,0.91,1.33,0.0737,False
london,fvg_ce,0.05,0.0,3,12,3R,48,701,105,1.087,0.16,48.3,6/8,0.87,0.92,1.35,0.1625,False
london,fvg_ce,0.05,0.0,3,12,3R,96,770,115,1.134,0.3,80.7,6/8,0.92,0.96,1.42,0.0612,False
london,fvg_ce,0.05,0.0,3,12,4R,48,701,105,1.093,0.17,56.4,6/8,0.92,0.94,1.31,0.175,False
london,fvg_ce,0.05,0.0,3,12,4R,96,770,115,1.146,0.25,96.4,6/8,0.98,0.99,1.4,0.0525,False
london,fvg_ce,0.05,0.0,3,24,range,48,818,122,1.344,0.71,209.3,7/8,1.14,1.14,1.8,0.0013,False
london,fvg_ce,0.05,0.0,3,24,range,96,876,131,1.345,0.67,222.5,7/8,1.13,1.15,1.78,0.0,False
london,fvg_ce,0.05,0.0,3,24,2R,48,818,122,1.255,0.46,129.5,8/8,0.86,1.03,1.48,0.0,False
london,fvg_ce,0.05,0.0,3,24,2R,96,876,131,1.281,0.52,151.3,8/8,0.88,1.06,1.48,0.0,False
london,fvg_ce,0.05,0.0,3,24,3R,48,818,122,1.279,0.67,170.7,7/8,0.99,1.09,1.56,0.0,False
london,fvg_ce,0.05,0.0,3,24,3R,96,876,131,1.316,0.72,204.4,8/8,1.02,1.12,1.59,0.0,False
london,fvg_ce,0.05,0.0,3,24,4R,48,818,122,1.266,0.74,179.4,6/8,1.03,1.09,1.45,0.0013,False
london,fvg_ce,0.05,0.0,3,24,4R,96,876,131,1.291,0.8,208.3,6/8,1.05,1.12,1.47,0.0013,False
london,fvg_ce,0.05,0.0,3,48,range,48,935,140,1.325,0.71,219.4,7/8,1.07,1.13,1.77,0.0,False
london,fvg_ce,0.05,0.0,3,48,range,96,986,147,1.323,0.66,228.4,7/8,1.06,1.13,1.78,0.0025,False
london,fvg_ce,0.05,0.0,3,48,2R,48,937,140,1.268,0.61,155.0,8/8,0.82,1.05,1.5,0.0,False
london,fvg_ce,0.05,0.0,3,48,2R,96,988,148,1.285,0.66,172.7,7/8,0.84,1.07,1.53,0.0,False
london,fvg_ce,0.05,0.0,3,48,3R,48,937,140,1.328,0.89,226.0,8/8,0.97,1.14,1.55,0.0,False
london,fvg_ce,0.05,0.0,3,48,3R,96,988,148,1.349,0.89,251.8,8/8,0.99,1.16,1.59,0.0,False
london,fvg_ce,0.05,0.0,3,48,4R,48,937,140,1.326,0.83,248.5,7/8,1.03,1.15,1.55,0.0,False
london,fvg_ce,0.05,0.0,3,48,4R,96,988,148,1.344,0.88,275.1,7/8,1.04,1.17,1.57,0.0,False
london,fvg_ce,0.05,0.1,3,12,range,48,646,97,1.153,0.29,77.0,6/8,1.08,0.99,1.48,0.0712,False
london,fvg_ce,0.05,0.1,3,12,range,96,712,106,1.161,0.27,88.1,6/8,1.09,1.0,1.51,0.0525,False
london,fvg_ce,0.05,0.1,3,12,2R,48,646,97,1.053,0.09,23.1,6/8,0.76,0.87,1.21,0.2637,False
london,fvg_ce,0.05,0.1,3,12,2R,96,712,106,1.081,0.13,38.2,7/8,0.8,0.9,1.24,0.1487,False
london,fvg_ce,0.05,0.1,3,12,3R,48,646,97,1.081,0.13,41.5,6/8,0.88,0.92,1.28,0.18,False
london,fvg_ce,0.05,0.1,3,12,3R,96,712,106,1.121,0.22,67.3,6/8,0.93,0.96,1.35,0.0712,False
london,fvg_ce,0.05,0.1,3,12,4R,48,646,97,1.091,0.15,50.4,6/8,0.95,0.94,1.26,0.1762,False
london,fvg_ce,0.05,0.1,3,12,4R,96,712,106,1.135,0.25,82.0,6/8,1.0,0.99,1.34,0.065,False
london,fvg_ce,0.05,0.1,3,24,range,48,763,114,1.247,0.6,138.2,6/8,1.13,1.07,1.55,0.01,False
london,fvg_ce,0.05,0.1,3,24,range,96,826,123,1.249,0.63,149.1,6/8,1.12,1.07,1.54,0.0025,False
london,fvg_ce,0.05,0.1,3,24,2R,48,763,114,1.222,0.42,106.6,7/8,0.87,1.02,1.38,0.0025,False
london,fvg_ce,0.05,0.1,3,24,2R,96,826,123,1.25,0.52,128.6,7/8,0.89,1.05,1.38,0.0013,False
london,fvg_ce,0.05,0.1,3,24,3R,48,763,114,1.25,0.46,143.2,6/8,0.99,1.08,1.45,0.0013,False
london,fvg_ce,0.05,0.1,3,24,3R,96,826,123,1.288,0.64,176.8,6/8,1.02,1.11,1.48,0.0,False
london,fvg_ce,0.05,0.1,3,24,4R,48,763,114,1.251,0.61,156.8,6/8,1.05,1.09,1.39,0.0,False
london,fvg_ce,0.05,0.1,3,24,4R,96,826,123,1.279,0.71,187.4,6/8,1.07,1.12,1.41,0.0025,False
london,fvg_ce,0.05,0.1,3,48,range,48,895,134,1.242,0.63,152.1,6/8,1.07,1.07,1.54,0.0025,False
london,fvg_ce,0.05,0.1,3,48,range,96,953,142,1.239,0.62,159.4,6/8,1.05,1.07,1.55,0.0,False
london,fvg_ce,0.05,0.1,3,48,2R,48,897,134,1.265,0.69,147.1,8/8,0.85,1.07,1.4,0.0,False
london,fvg_ce,0.05,0.1,3,48,2R,96,955,143,1.281,0.8,165.3,8/8,0.87,1.08,1.42,0.0,False
london,fvg_ce,0.05,0.1,3,48,3R,48,897,134,1.315,0.72,207.9,7/8,0.98,1.14,1.49,0.0,False
london,fvg_ce,0.05,0.1,3,48,3R,96,955,143,1.337,0.87,234.8,7/8,1.0,1.16,1.52,0.0,False
london,fvg_ce,0.05,0.1,3,48,4R,48,897,134,1.327,0.72,236.7,7/8,1.06,1.16,1.52,0.0,False
london,fvg_ce,0.05,0.1,3,48,4R,96,955,143,1.349,0.82,267.4,7/8,1.08,1.19,1.54,0.0,False
london,fvg_ce,0.05,0.25,3,12,range,48,556,84,1.023,0.02,9.9,5/8,0.84,0.88,1.35,0.4338,False
london,fvg_ce,0.05,0.25,3,12,range,96,620,93,1.034,0.03,16.4,5/8,0.87,0.89,1.37,0.345,False
london,fvg_ce,0.05,0.25,3,12,2R,48,556,84,0.986,-0.01,-5.4,4/8,0.69,0.83,1.2,0.555,False
london,fvg_ce,0.05,0.25,3,12,2R,96,620,93,1.016,0.02,6.7,5/8,0.74,0.86,1.2,0.4,False
london,fvg_ce,0.05,0.25,3,12,3R,48,556,84,1.014,0.02,6.3,6/8,0.8,0.87,1.26,0.4313,False
london,fvg_ce,0.05,0.25,3,12,3R,96,620,93,1.063,0.08,31.0,6/8,0.86,0.92,1.31,0.2387,False
london,fvg_ce,0.05,0.25,3,12,4R,48,556,84,1.041,0.05,19.9,6/8,0.87,0.91,1.28,0.3725,False
london,fvg_ce,0.05,0.25,3,12,4R,96,620,93,1.093,0.14,49.3,6/8,0.93,0.96,1.35,0.1675,False
london,fvg_ce,0.05,0.25,3,24,range,48,663,99,1.121,0.14,59.0,7/8,0.88,0.97,1.45,0.1212,False
london,fvg_ce,0.05,0.25,3,24,range,96,730,109,1.121,0.14,64.1,7/8,0.88,0.97,1.41,0.13,False
london,fvg_ce,0.05,0.25,3,24,2R,48,663,99,1.146,0.23,62.9,7/8,0.81,0.97,1.35,0.0375,False
london,fvg_ce,0.05,0.25,3,24,2R,96,730,109,1.179,0.31,83.6,7/8,0.84,1.0,1.32,0.01,False
london,fvg_ce,0.05,0.25,3,24,3R,48,663,99,1.171,0.21,87.0,7/8,0.89,1.02,1.38,0.0325,False
london,fvg_ce,0.05,0.25,3,24,3R,96,730,109,1.211,0.35,116.5,7/8,0.93,1.06,1.36,0.0037,False
london,fvg_ce,0.05,0.25,3,24,4R,48,663,99,1.153,0.21,84.8,6/8,0.91,1.01,1.29,0.055,False
london,fvg_ce,0.05,0.25,3,24,4R,96,730,109,1.176,0.33,106.4,6/8,0.94,1.04,1.27,0.03,False
london,fvg_ce,0.05,0.25,3,48,range,48,800,120,1.151,0.19,84.3,7/8,0.86,1.0,1.45,0.07,False
london,fvg_ce,0.05,0.25,3,48,range,96,862,129,1.144,0.18,86.2,7/8,0.86,0.99,1.44,0.0537,False
london,fvg_ce,0.05,0.25,3,48,2R,48,804,120,1.221,0.45,112.2,7/8,0.83,1.04,1.37,0.0037,False
london,fvg_ce,0.05,0.25,3,48,2R,96,866,129,1.238,0.52,129.0,7/8,0.85,1.06,1.37,0.0025,False
london,fvg_ce,0.05,0.25,3,48,3R,48,804,120,1.263,0.38,157.4,7/8,0.91,1.11,1.46,0.0013,False
london,fvg_ce,0.05,0.25,3,48,3R,96,866,129,1.288,0.52,183.9,7/8,0.94,1.13,1.48,0.0,False
london,fvg_ce,0.05,0.25,3,48,4R,48,804,120,1.281,0.38,182.7,7/8,0.97,1.13,1.49,0.0,False
london,fvg_ce,0.05,0.25,3,48,4R,96,866,129,1.299,0.5,209.1,7/8,1.0,1.15,1.5,0.0,False
london,fvg_ce,0.1,0.0,3,12,range,48,701,105,1.193,0.37,104.2,6/8,0.97,1.02,1.64,0.035,False
london,fvg_ce,0.1,0.0,3,12,range,96,771,115,1.194,0.3,113.7,6/8,0.99,1.02,1.65,0.0238,False
london,fvg_ce,0.1,0.0,3,12,2R,48,701,105,1.106,0.17,48.8,6/8,0.76,0.91,1.35,0.0975,False
london,fvg_ce,0.1,0.0,3,12,2R,96,771,115,1.131,0.22,65.8,7/8,0.8,0.94,1.37,0.0612,False
london,fvg_ce,0.1,0.0,3,12,3R,48,701,105,1.121,0.22,66.5,6/8,0.87,0.96,1.4,0.0875,False
london,fvg_ce,0.1,0.0,3,12,3R,96,771,115,1.165,0.4,98.3,6/8,0.92,1.0,1.47,0.03,False
london,fvg_ce,0.1,0.0,3,12,4R,48,701,105,1.078,0.13,47.2,6/8,0.87,0.93,1.37,0.2125,False
london,fvg_ce,0.1,0.0,3,12,4R,96,771,115,1.132,0.2,86.6,6/8,0.93,0.98,1.45,0.0625,False
london,fvg_ce,0.1,0.0,3,24,range,48,819,122,1.306,0.65,182.4,6/8,1.76,1.12,1.73,0.0,False
london,fvg_ce,0.1,0.0,3,24,range,96,877,131,1.307,0.62,193.8,7/8,1.71,1.12,1.71,0.0,False
london,fvg_ce,0.1,0.0,3,24,2R,48,819,122,1.226,0.43,116.3,7/8,1.19,1.02,1.49,0.0013,False
london,fvg_ce,0.1,0.0,3,24,2R,96,877,131,1.248,0.46,135.7,7/8,1.19,1.04,1.5,0.0013,False
london,fvg_ce,0.1,0.0,3,24,3R,48,819,122,1.279,0.74,170.1,6/8,1.38,1.1,1.52,0.0,False
london,fvg_ce,0.1,0.0,3,24,3R,96,877,131,1.317,0.81,204.2,8/8,1.39,1.13,1.55,0.0013,False
london,fvg_ce,0.1,0.0,3,24,4R,48,819,122,1.227,0.6,153.9,6/8,1.45,1.07,1.42,0.005,False
london,fvg_ce,0.1,0.0,3,24,4R,96,877,131,1.255,0.67,183.1,6/8,1.44,1.09,1.45,0.0013,False
london,fvg_ce,0.1,0.0,3,48,range,48,935,140,1.287,0.64,189.3,7/8,0.97,1.1,1.71,0.0,False
london,fvg_ce,0.1,0.0,3,48,range,96,986,147,1.285,0.6,196.9,6/8,0.97,1.1,1.72,0.0037,False
london,fvg_ce,0.1,0.0,3,48,2R,48,937,140,1.27,0.65,156.5,7/8,0.82,1.07,1.53,0.0,False
london,fvg_ce,0.1,0.0,3,48,2R,96,988,148,1.287,0.7,174.6,7/8,0.83,1.08,1.56,0.0,False
london,fvg_ce,0.1,0.0,3,48,3R,48,937,140,1.348,1.06,237.4,8/8,0.96,1.16,1.54,0.0,False
london,fvg_ce,0.1,0.0,3,48,3R,96,988,148,1.368,1.06,263.5,8/8,0.98,1.18,1.58,0.0,False
london,fvg_ce,0.1,0.0,3,48,4R,48,937,140,1.296,0.76,225.5,7/8,0.97,1.13,1.52,0.0,False
london,fvg_ce,0.1,0.0,3,48,4R,96,988,148,1.316,0.83,252.5,7/8,0.99,1.15,1.55,0.0,False
london,fvg_ce,0.1,0.1,3,12,range,48,646,97,1.133,0.24,65.5,6/8,0.97,0.97,1.49,0.1,False
london,fvg_ce,0.1,0.1,3,12,range,96,713,106,1.137,0.22,73.6,6/8,0.98,0.98,1.51,0.0838,False
london,fvg_ce,0.1,0.1,3,12,2R,48,646,97,1.053,0.07,22.9,6/8,0.74,0.88,1.27,0.2625,False
london,fvg_ce,0.1,0.1,3,12,2R,96,713,106,1.079,0.11,37.5,7/8,0.78,0.91,1.28,0.145,False
london,fvg_ce,0.1,0.1,3,12,3R,48,646,97,1.072,0.11,37.1,6/8,0.84,0.92,1.33,0.1975,False
london,fvg_ce,0.1,0.1,3,12,3R,96,713,106,1.112,0.21,62.3,6/8,0.89,0.96,1.39,0.0925,False
london,fvg_ce,0.1,0.1,3,12,4R,48,646,97,1.075,0.12,41.8,6/8,0.89,0.94,1.34,0.2188,False
london,fvg_ce,0.1,0.1,3,12,4R,96,713,106,1.12,0.2,72.8,6/8,0.94,0.98,1.41,0.0862,False
london,fvg_ce,0.1,0.1,3,24,range,48,764,114,1.214,0.47,117.8,6/8,1.79,1.05,1.51,0.0138,False
london,fvg_ce,0.1,0.1,3,24,range,96,827,123,1.215,0.52,127.0,6/8,1.73,1.05,1.5,0.01,False
