rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,2,0.0,0.05,1.0,all,up,768,115,0.007,-0.15,0.062,0/8,False
15min,2,0.0,0.05,1.0,all,off,1238,185,0.009,-0.15,0.066,0/8,False
15min,2,0.0,0.05,1.0,all,down,470,71,0.013,-0.15,0.072,0/8,False
15min,2,0.0,0.05,1.0,kz,up,428,64,0.007,-0.15,0.058,0/8,False
15min,2,0.0,0.05,1.0,kz,off,695,104,0.009,-0.15,0.065,0/8,False
15min,2,0.0,0.05,1.0,kz,down,267,40,0.014,-0.15,0.075,0/8,False
15min,2,0.0,0.05,1.5,all,up,768,115,0.053,-0.15,0.189,0/8,False
15min,2,0.0,0.05,1.5,all,off,1238,185,0.054,-0.15,0.183,0/8,False
15min,2,0.0,0.05,1.5,all,down,470,71,0.055,-0.15,0.172,0/8,False
15min,2,0.0,0.05,1.5,kz,up,428,64,0.057,-0.15,0.203,1/8,False
15min,2,0.0,0.05,1.5,kz,off,695,104,0.061,-0.15,0.203,0/8,False
15min,2,0.0,0.05,1.5,kz,down,267,40,0.068,-0.15,0.202,0/8,False
15min,2,0.0,0.05,2.0,all,up,768,115,0.155,-0.15,0.323,1/8,False
15min,2,0.0,0.05,2.0,all,off,1238,185,0.156,-0.15,0.321,1/8,False
15min,2,0.0,0.05,2.0,all,down,470,71,0.159,-0.15,0.319,1/8,False
15min,2,0.0,0.05,2.0,kz,up,428,64,0.184,-0.14,0.355,1/8,False
15min,2,0.0,0.05,2.0,kz,off,695,104,0.187,-0.14,0.354,1/8,False
15min,2,0.0,0.05,2.0,kz,down,267,40,0.19,-0.14,0.352,1/8,False
15min,2,0.0,0.05,3.0,all,up,768,115,0.461,-0.14,0.48,1/8,False
15min,2,0.0,0.05,3.0,all,off,1238,185,0.483,-0.13,0.49,1/8,False
15min,2,0.0,0.05,3.0,all,down,470,71,0.52,-0.13,0.506,2/8,False
15min,2,0.0,0.05,3.0,kz,up,428,64,0.592,-0.13,0.537,2/8,False
15min,2,0.0,0.05,3.0,kz,off,695,104,0.599,-0.13,0.535,2/8,False
15min,2,0.0,0.05,3.0,kz,down,267,40,0.61,-0.12,0.532,2/8,False
15min,2,0.0,0.1,1.0,all,up,867,129,0.126,-0.15,0.328,0/8,False
15min,2,0.0,0.1,1.0,all,off,1393,208,0.122,-0.15,0.321,0/8,False
