rule,k,ob_level,os_level,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,65,25,0.1,2R,"(1,)",148,22,1.189,16.7,0.09,0.426,-26.6,5/8,1.93,False
15min,2,65,25,0.1,2R,"(-1,)",1002,149,0.853,-99.6,-0.12,0.353,-121.6,3/8,1.92,False
15min,2,65,25,0.1,2R,"(1, -1)",1150,171,0.892,-82.9,-0.1,0.363,-121.6,3/8,1.92,False
15min,2,65,25,0.1,3R,"(1,)",148,22,1.374,33.9,0.25,0.412,-20.1,4/8,2.9,False
15min,2,65,25,0.1,3R,"(-1,)",1002,149,0.828,-128.0,-0.13,0.286,-146.4,3/8,2.89,False
15min,2,65,25,0.1,3R,"(1, -1)",1150,171,0.887,-94.1,-0.1,0.303,-146.4,2/8,2.9,False
15min,2,65,25,0.25,2R,"(1,)",148,22,1.289,23.6,0.16,0.453,-22.0,5/8,1.93,False
15min,2,65,25,0.25,2R,"(-1,)",1002,149,0.87,-85.4,-0.12,0.36,-106.2,4/8,1.93,False
15min,2,65,25,0.25,2R,"(1, -1)",1150,171,0.916,-61.8,-0.09,0.372,-106.2,3/8,1.93,False
15min,2,65,25,0.25,3R,"(1,)",148,22,1.392,33.3,0.2,0.432,-25.1,4/8,2.91,False
15min,2,65,25,0.25,3R,"(-1,)",1002,149,0.821,-128.7,-0.13,0.296,-145.0,2/8,2.91,False
15min,2,65,25,0.25,3R,"(1, -1)",1150,171,0.881,-95.4,-0.1,0.314,-145.0,2/8,2.91,False
15min,2,65,25,0.5,2R,"(1,)",148,22,1.239,19.0,0.13,0.459,-22.0,4/8,1.95,False
15min,2,65,25,0.5,2R,"(-1,)",1004,150,0.822,-114.2,-0.14,0.356,-125.2,3/8,1.94,False
15min,2,65,25,0.5,2R,"(1, -1)",1152,172,0.868,-95.2,-0.11,0.369,-130.0,2/8,1.94,False
15min,2,65,25,0.5,3R,"(1,)",148,22,1.287,24.1,0.14,0.432,-25.3,4/8,2.93,False
15min,2,65,25,0.5,3R,"(-1,)",1004,150,0.795,-140.3,-0.12,0.311,-170.7,2/8,2.92,False
15min,2,65,25,0.5,3R,"(1, -1)",1152,172,0.849,-116.2,-0.1,0.326,-170.7,3/8,2.92,False
15min,2,65,30,0.1,2R,"(1,)",347,52,1.066,14.4,0.06,0.398,-37.6,4/8,1.93,False
15min,2,65,30,0.1,2R,"(-1,)",1002,149,0.853,-99.6,-0.12,0.353,-121.6,3/8,1.92,False
15min,2,65,30,0.1,2R,"(1, -1)",1349,201,0.905,-85.2,-0.1,0.365,-124.1,2/8,1.92,False
15min,2,65,30,0.1,3R,"(1,)",347,52,1.201,45.8,0.24,0.369,-28.7,5/8,2.9,False
15min,2,65,30,0.1,3R,"(-1,)",1002,149,0.828,-128.0,-0.13,0.286,-146.4,3/8,2.89,False
15min,2,65,30,0.1,3R,"(1, -1)",1349,201,0.915,-82.2,-0.08,0.308,-146.4,2/8,2.9,False
15min,2,65,30,0.25,2R,"(1,)",347,52,1.111,23.1,0.09,0.412,-39.6,4/8,1.94,False
15min,2,65,30,0.25,2R,"(-1,)",1002,149,0.87,-85.4,-0.12,0.36,-106.2,4/8,1.93,False
15min,2,65,30,0.25,2R,"(1, -1)",1349,201,0.928,-62.4,-0.08,0.374,-112.6,3/8,1.93,False
15min,2,65,30,0.25,3R,"(1,)",347,52,1.196,42.6,0.22,0.386,-29.5,5/8,2.91,False
15min,2,65,30,0.25,3R,"(-1,)",1002,149,0.821,-128.7,-0.13,0.296,-145.0,2/8,2.91,False
15min,2,65,30,0.25,3R,"(1, -1)",1349,201,0.908,-86.1,-0.09,0.319,-145.0,2/8,2.91,False
15min,2,65,30,0.5,2R,"(1,)",347,52,1.185,35.6,0.15,0.438,-36.6,4/8,1.95,False
15min,2,65,30,0.5,2R,"(-1,)",1004,150,0.822,-114.2,-0.14,0.356,-125.2,3/8,1.94,False
15min,2,65,30,0.5,2R,"(1, -1)",1351,201,0.906,-78.5,-0.09,0.377,-133.9,2/8,1.94,False
15min,2,65,30,0.5,3R,"(1,)",347,52,1.237,48.5,0.27,0.406,-26.9,5/8,2.93,False
15min,2,65,30,0.5,3R,"(-1,)",1004,150,0.795,-140.3,-0.12,0.311,-170.7,2/8,2.92,False
15min,2,65,30,0.5,3R,"(1, -1)",1351,201,0.897,-91.8,-0.08,0.335,-170.7,3/8,2.92,False
15min,2,65,35,0.1,2R,"(1,)",656,98,1.057,23.2,0.1,0.401,-36.1,4/8,1.93,False
15min,2,65,35,0.1,2R,"(-1,)",1002,149,0.853,-99.6,-0.12,0.353,-121.6,3/8,1.92,False
15min,2,65,35,0.1,2R,"(1, -1)",1658,247,0.929,-76.4,-0.09,0.372,-121.6,3/8,1.92,False
15min,2,65,35,0.1,3R,"(1,)",656,98,1.089,39.2,0.14,0.351,-40.9,4/8,2.9,False
15min,2,65,35,0.1,3R,"(-1,)",1002,149,0.828,-128.0,-0.13,0.286,-146.4,3/8,2.89,False
15min,2,65,35,0.1,3R,"(1, -1)",1658,247,0.925,-88.8,-0.09,0.312,-146.4,3/8,2.9,False
15min,2,65,35,0.25,2R,"(1,)",658,98,1.01,4.1,0.01,0.395,-46.4,4/8,1.94,False
15min,2,65,35,0.25,2R,"(-1,)",1002,149,0.87,-85.4,-0.12,0.36,-106.2,4/8,1.93,False
15min,2,65,35,0.25,2R,"(1, -1)",1660,247,0.923,-81.3,-0.1,0.374,-116.8,3/8,1.93,False
15min,2,65,35,0.25,3R,"(1,)",658,98,1.071,30.5,0.1,0.359,-44.1,4/8,2.92,False
15min,2,65,35,0.25,3R,"(-1,)",1002,149,0.821,-128.7,-0.13,0.296,-145.0,2/8,2.91,False
15min,2,65,35,0.25,3R,"(1, -1)",1660,247,0.914,-98.2,-0.1,0.321,-151.9,3/8,2.91,False
15min,2,65,35,0.5,2R,"(1,)",659,98,1.025,9.5,0.03,0.408,-52.8,4/8,1.95,False
15min,2,65,35,0.5,2R,"(-1,)",1004,150,0.822,-114.2,-0.14,0.356,-125.2,3/8,1.94,False
15min,2,65,35,0.5,2R,"(1, -1)",1663,248,0.898,-104.7,-0.11,0.376,-147.8,2/8,1.94,False
15min,2,65,35,0.5,3R,"(1,)",659,98,1.073,30.0,0.1,0.37,-44.2,5/8,2.93,False
15min,2,65,35,0.5,3R,"(-1,)",1004,150,0.795,-140.3,-0.12,0.311,-170.7,2/8,2.92,False
15min,2,65,35,0.5,3R,"(1, -1)",1663,248,0.899,-110.3,-0.1,0.334,-170.7,2/8,2.92,False
15min,2,70,25,0.1,2R,"(1,)",148,22,1.189,16.7,0.09,0.426,-26.6,5/8,1.93,False
15min,2,70,25,0.1,2R,"(-1,)",569,85,0.855,-55.4,-0.13,0.346,-61.3,1/8,1.93,False
15min,2,70,25,0.1,2R,"(1, -1)",717,107,0.918,-38.7,-0.08,0.363,-73.2,4/8,1.93,False
15min,2,70,25,0.1,3R,"(1,)",148,22,1.374,33.9,0.25,0.412,-20.1,4/8,2.9,False
15min,2,70,25,0.1,3R,"(-1,)",569,85,0.844,-65.2,-0.13,0.285,-73.6,2/8,2.9,False
15min,2,70,25,0.1,3R,"(1, -1)",717,107,0.939,-31.3,-0.06,0.311,-76.4,3/8,2.9,False
15min,2,70,25,0.25,2R,"(1,)",148,22,1.289,23.6,0.16,0.453,-22.0,5/8,1.93,False
15min,2,70,25,0.25,2R,"(-1,)",569,85,0.879,-44.4,-0.14,0.355,-46.0,4/8,1.93,False
15min,2,70,25,0.25,2R,"(1, -1)",717,107,0.954,-20.8,-0.05,0.375,-59.4,3/8,1.93,False
15min,2,70,25,0.25,3R,"(1,)",148,22,1.392,33.3,0.2,0.432,-25.1,4/8,2.91,False
15min,2,70,25,0.25,3R,"(-1,)",569,85,0.807,-78.6,-0.13,0.288,-87.3,1/8,2.91,False
15min,2,70,25,0.25,3R,"(1, -1)",717,107,0.908,-45.3,-0.07,0.318,-94.9,3/8,2.91,False
15min,2,70,25,0.5,2R,"(1,)",148,22,1.239,19.0,0.13,0.459,-22.0,4/8,1.95,False
15min,2,70,25,0.5,2R,"(-1,)",569,85,0.839,-57.9,-0.13,0.353,-67.0,0/8,1.94,False
15min,2,70,25,0.5,2R,"(1, -1)",717,107,0.911,-38.9,-0.08,0.375,-73.8,2/8,1.94,False
15min,2,70,25,0.5,3R,"(1,)",148,22,1.287,24.1,0.14,0.432,-25.3,4/8,2.93,False
15min,2,70,25,0.5,3R,"(-1,)",569,85,0.829,-65.6,-0.11,0.311,-90.0,2/8,2.93,False
15min,2,70,25,0.5,3R,"(1, -1)",717,107,0.911,-41.5,-0.07,0.336,-90.0,3/8,2.93,False
15min,2,70,30,0.1,2R,"(1,)",347,52,1.066,14.4,0.06,0.398,-37.6,4/8,1.93,False
15min,2,70,30,0.1,2R,"(-1,)",569,85,0.855,-55.4,-0.13,0.346,-61.3,1/8,1.93,False
15min,2,70,30,0.1,2R,"(1, -1)",916,137,0.932,-41.0,-0.08,0.366,-79.9,2/8,1.93,False
15min,2,70,30,0.1,3R,"(1,)",347,52,1.201,45.8,0.24,0.369,-28.7,5/8,2.9,False
15min,2,70,30,0.1,3R,"(-1,)",569,85,0.844,-65.2,-0.13,0.285,-73.6,2/8,2.9,False
15min,2,70,30,0.1,3R,"(1, -1)",916,137,0.97,-19.4,-0.04,0.317,-73.6,3/8,2.9,False
15min,2,70,30,0.25,2R,"(1,)",347,52,1.111,23.1,0.09,0.412,-39.6,4/8,1.94,False
15min,2,70,30,0.25,2R,"(-1,)",569,85,0.879,-44.4,-0.14,0.355,-46.0,4/8,1.93,False
15min,2,70,30,0.25,2R,"(1, -1)",916,137,0.963,-21.4,-0.04,0.377,-71.6,3/8,1.93,False
15min,2,70,30,0.25,3R,"(1,)",347,52,1.196,42.6,0.22,0.386,-29.5,5/8,2.91,False
15min,2,70,30,0.25,3R,"(-1,)",569,85,0.807,-78.6,-0.13,0.288,-87.3,1/8,2.91,False
15min,2,70,30,0.25,3R,"(1, -1)",916,137,0.942,-36.0,-0.06,0.325,-91.8,2/8,2.91,False
15min,2,70,30,0.5,2R,"(1,)",347,52,1.185,35.6,0.15,0.438,-36.6,4/8,1.95,False
