rule,k,fib,sl_buf,tp_mode,ema_confirm,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,2R,0,"(1,)",12948,1929,0.785,-2056.7,-0.15,0.338,-2077.7,0/8,1.87,False
15min,2,0.5,0.05,2R,0,"(-1,)",13031,1941,0.685,-3154.9,-0.15,0.309,-3173.6,0/8,1.87,False
15min,2,0.5,0.05,2R,0,"(1, -1)",25979,3869,0.734,-5211.6,-0.15,0.323,-5214.7,0/8,1.87,False
15min,2,0.5,0.05,2R,1,"(1,)",7148,1065,0.791,-1102.7,-0.14,0.34,-1155.4,1/8,1.87,False
15min,2,0.5,0.05,2R,1,"(-1,)",5882,876,0.686,-1415.1,-0.15,0.309,-1429.7,0/8,1.87,False
15min,2,0.5,0.05,2R,1,"(1, -1)",13030,1941,0.743,-2517.7,-0.15,0.326,-2539.8,0/8,1.87,False
15min,2,0.5,0.05,3R,0,"(1,)",12948,1929,0.879,-1254.9,-0.13,0.279,-1493.4,1/8,2.83,False
15min,2,0.5,0.05,3R,0,"(-1,)",13031,1941,0.734,-2912.8,-0.15,0.244,-2945.7,0/8,2.83,False
15min,2,0.5,0.05,3R,0,"(1, -1)",25979,3869,0.805,-4167.7,-0.15,0.261,-4170.8,0/8,2.83,False
15min,2,0.5,0.05,3R,1,"(1,)",7148,1065,0.903,-555.1,-0.1,0.284,-833.0,2/8,2.83,False
15min,2,0.5,0.05,3R,1,"(-1,)",5882,876,0.727,-1344.8,-0.15,0.242,-1355.4,0/8,2.83,False
15min,2,0.5,0.05,3R,1,"(1, -1)",13030,1941,0.822,-1899.9,-0.15,0.265,-1926.3,1/8,2.83,False
15min,2,0.5,0.1,2R,0,"(1,)",13062,1946,0.791,-2002.7,-0.15,0.338,-2022.0,0/8,1.88,False
15min,2,0.5,0.1,2R,0,"(-1,)",13178,1963,0.69,-3127.1,-0.15,0.309,-3140.2,0/8,1.87,False
15min,2,0.5,0.1,2R,0,"(1, -1)",26240,3908,0.739,-5129.8,-0.15,0.324,-5130.1,0/8,1.87,False
15min,2,0.5,0.1,2R,1,"(1,)",7214,1075,0.8,-1059.0,-0.14,0.341,-1121.4,1/8,1.88,False
15min,2,0.5,0.1,2R,1,"(-1,)",5943,885,0.694,-1387.7,-0.15,0.309,-1396.7,0/8,1.87,False
15min,2,0.5,0.1,2R,1,"(1, -1)",13157,1960,0.751,-2446.7,-0.15,0.327,-2462.0,0/8,1.88,False
15min,2,0.5,0.1,3R,0,"(1,)",13062,1946,0.886,-1193.2,-0.12,0.28,-1455.6,2/8,2.83,False
15min,2,0.5,0.1,3R,0,"(-1,)",13178,1963,0.74,-2866.2,-0.15,0.245,-2907.1,0/8,2.83,False
15min,2,0.5,0.1,3R,0,"(1, -1)",26240,3908,0.811,-4059.4,-0.15,0.262,-4062.5,0/8,2.83,False
15min,2,0.5,0.1,3R,1,"(1,)",7214,1075,0.915,-486.8,-0.09,0.286,-804.6,2/8,2.83,False
15min,2,0.5,0.1,3R,1,"(-1,)",5943,885,0.735,-1311.5,-0.15,0.244,-1323.0,0/8,2.83,False
15min,2,0.5,0.1,3R,1,"(1, -1)",13157,1960,0.832,-1798.4,-0.15,0.267,-1823.6,1/8,2.83,False
15min,2,0.5,0.25,2R,0,"(1,)",13387,1994,0.801,-1928.9,-0.15,0.338,-1958.8,0/8,1.89,False
15min,2,0.5,0.25,2R,0,"(-1,)",13547,2018,0.683,-3266.3,-0.15,0.303,-3293.0,0/8,1.89,False
15min,2,0.5,0.25,2R,0,"(1, -1)",26934,4011,0.741,-5195.2,-0.15,0.321,-5197.1,0/8,1.89,False
15min,2,0.5,0.25,2R,1,"(1,)",7398,1103,0.818,-970.9,-0.14,0.343,-1024.0,1/8,1.89,False
15min,2,0.5,0.25,2R,1,"(-1,)",6113,910,0.701,-1375.8,-0.15,0.308,-1386.9,0/8,1.89,False
15min,2,0.5,0.25,2R,1,"(1, -1)",13511,2012,0.764,-2346.7,-0.15,0.327,-2374.5,0/8,1.89,False
15min,2,0.5,0.25,3R,0,"(1,)",13387,1994,0.89,-1157.9,-0.12,0.282,-1493.3,3/8,2.85,False
15min,2,0.5,0.25,3R,0,"(-1,)",13547,2018,0.729,-3035.8,-0.15,0.243,-3065.7,0/8,2.85,False
15min,2,0.5,0.25,3R,0,"(1, -1)",26934,4011,0.807,-4193.7,-0.15,0.263,-4202.2,0/8,2.85,False
15min,2,0.5,0.25,3R,1,"(1,)",7398,1103,0.921,-459.7,-0.08,0.289,-820.4,3/8,2.85,False
15min,2,0.5,0.25,3R,1,"(-1,)",6113,910,0.732,-1346.2,-0.15,0.243,-1355.0,0/8,2.85,False
15min,2,0.5,0.25,3R,1,"(1, -1)",13511,2012,0.833,-1805.8,-0.15,0.268,-1842.7,0/8,2.85,False
15min,2,0.618,0.05,2R,0,"(1,)",12097,1802,0.831,-1497.7,-0.14,0.365,-1600.3,2/8,1.83,False
15min,2,0.618,0.05,2R,0,"(-1,)",12254,1825,0.731,-2512.5,-0.15,0.338,-2525.1,0/8,1.83,False
15min,2,0.618,0.05,2R,0,"(1, -1)",24351,3627,0.78,-4010.2,-0.15,0.351,-4015.2,0/8,1.83,False
15min,2,0.618,0.05,2R,1,"(1,)",6674,995,0.834,-812.7,-0.14,0.368,-894.9,2/8,1.83,False
15min,2,0.618,0.05,2R,1,"(-1,)",5534,824,0.73,-1137.3,-0.15,0.336,-1152.7,0/8,1.83,False
15min,2,0.618,0.05,2R,1,"(1, -1)",12208,1818,0.786,-1950.1,-0.15,0.353,-1970.6,0/8,1.83,False
15min,2,0.618,0.05,3R,0,"(1,)",12097,1802,0.916,-832.6,-0.1,0.292,-1201.7,4/8,2.77,False
15min,2,0.618,0.05,3R,0,"(-1,)",12254,1825,0.8,-2073.8,-0.15,0.266,-2110.5,0/8,2.77,False
15min,2,0.618,0.05,3R,0,"(1, -1)",24351,3627,0.857,-2906.4,-0.14,0.279,-3081.8,1/8,2.77,False
15min,2,0.618,0.05,3R,1,"(1,)",6674,995,0.927,-395.9,-0.08,0.296,-694.7,3/8,2.78,False
15min,2,0.618,0.05,3R,1,"(-1,)",5534,824,0.818,-846.2,-0.14,0.269,-883.7,0/8,2.77,False
15min,2,0.618,0.05,3R,1,"(1, -1)",12208,1818,0.877,-1242.1,-0.13,0.284,-1452.7,2/8,2.77,False
15min,2,0.618,0.1,2R,0,"(1,)",12196,1817,0.827,-1550.4,-0.14,0.361,-1637.7,1/8,1.84,False
15min,2,0.618,0.1,2R,0,"(-1,)",12365,1842,0.73,-2543.2,-0.15,0.334,-2556.6,0/8,1.84,False
15min,2,0.618,0.1,2R,0,"(1, -1)",24561,3658,0.777,-4093.6,-0.15,0.348,-4098.4,0/8,1.84,False
15min,2,0.618,0.1,2R,1,"(1,)",6737,1004,0.827,-858.9,-0.14,0.363,-928.7,2/8,1.84,False
15min,2,0.618,0.1,2R,1,"(-1,)",5578,831,0.729,-1147.1,-0.15,0.333,-1161.3,0/8,1.84,False
15min,2,0.618,0.1,2R,1,"(1, -1)",12315,1834,0.782,-2006.0,-0.15,0.349,-2022.0,0/8,1.84,False
15min,2,0.618,0.1,3R,0,"(1,)",12196,1817,0.909,-904.3,-0.11,0.29,-1226.8,4/8,2.78,False
15min,2,0.618,0.1,3R,0,"(-1,)",12365,1842,0.797,-2120.7,-0.15,0.264,-2160.5,0/8,2.78,False
15min,2,0.618,0.1,3R,0,"(1, -1)",24561,3658,0.852,-3025.0,-0.14,0.277,-3188.0,1/8,2.78,False
15min,2,0.618,0.1,3R,1,"(1,)",6737,1004,0.922,-428.2,-0.09,0.294,-712.7,3/8,2.78,False
15min,2,0.618,0.1,3R,1,"(-1,)",5578,831,0.82,-836.5,-0.14,0.269,-868.9,0/8,2.78,False
15min,2,0.618,0.1,3R,1,"(1, -1)",12315,1834,0.875,-1264.8,-0.13,0.282,-1468.9,2/8,2.78,False
15min,2,0.618,0.25,2R,0,"(1,)",12477,1858,0.837,-1477.7,-0.14,0.357,-1547.8,1/8,1.86,False
15min,2,0.618,0.25,2R,0,"(-1,)",12673,1888,0.73,-2591.9,-0.15,0.328,-2622.7,0/8,1.85,False
15min,2,0.618,0.25,2R,0,"(1, -1)",25150,3746,0.782,-4069.7,-0.15,0.343,-4072.8,0/8,1.85,False
15min,2,0.618,0.25,2R,1,"(1,)",6891,1027,0.852,-738.6,-0.14,0.363,-813.7,1/8,1.86,False
15min,2,0.618,0.25,2R,1,"(-1,)",5722,852,0.73,-1168.8,-0.15,0.327,-1190.4,0/8,1.85,False
15min,2,0.618,0.25,2R,1,"(1, -1)",12613,1879,0.795,-1907.4,-0.15,0.347,-1924.9,0/8,1.86,False
15min,2,0.618,0.25,3R,0,"(1,)",12477,1858,0.92,-802.8,-0.1,0.289,-1188.1,3/8,2.81,False
15min,2,0.618,0.25,3R,0,"(-1,)",12673,1888,0.781,-2328.7,-0.15,0.257,-2387.2,1/8,2.81,False
15min,2,0.618,0.25,3R,0,"(1, -1)",25150,3746,0.849,-3131.5,-0.14,0.273,-3256.8,0/8,2.81,False
15min,2,0.618,0.25,3R,1,"(1,)",6891,1027,0.941,-325.2,-0.07,0.294,-670.4,4/8,2.81,False
15min,2,0.618,0.25,3R,1,"(-1,)",5722,852,0.807,-915.1,-0.14,0.262,-950.4,0/8,2.81,False
15min,2,0.618,0.25,3R,1,"(1, -1)",12613,1879,0.879,-1240.3,-0.13,0.28,-1410.3,1/8,2.81,False
15min,2,0.705,0.05,2R,0,"(1,)",11277,1680,0.838,-1340.4,-0.13,0.389,-1486.5,1/8,1.78,False
15min,2,0.705,0.05,2R,0,"(-1,)",11552,1721,0.744,-2256.3,-0.15,0.362,-2264.5,0/8,1.78,False
15min,2,0.705,0.05,2R,0,"(1, -1)",22829,3400,0.789,-3596.7,-0.15,0.375,-3641.7,1/8,1.78,False
15min,2,0.705,0.05,2R,1,"(1,)",6231,929,0.85,-684.0,-0.13,0.394,-782.8,3/8,1.78,False
