rule,k,vol_mult,use_rsi,h4_trend,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,1.2,0,0,0.1,2R,"(1,)",2769,413,0.815,-364.1,-0.12,0.423,-452.7,2/8,1.65,False
15min,2,1.2,0,0,0.1,2R,"(-1,)",2689,401,0.741,-514.4,-0.14,0.4,-561.2,1/8,1.66,False
15min,2,1.2,0,0,0.1,2R,"(1, -1)",5458,813,0.778,-878.5,-0.13,0.412,-989.0,2/8,1.65,False
15min,2,1.2,0,0,0.1,3R,"(1,)",2769,413,0.979,-45.0,-0.03,0.372,-223.5,4/8,2.52,False
15min,2,1.2,0,0,0.1,3R,"(-1,)",2689,401,0.886,-250.1,-0.11,0.345,-324.9,2/8,2.53,False
15min,2,1.2,0,0,0.1,3R,"(1, -1)",5458,813,0.933,-295.1,-0.09,0.359,-511.5,3/8,2.53,False
15min,2,1.2,0,0,0.25,2R,"(1,)",2824,421,0.861,-273.0,-0.11,0.427,-385.3,2/8,1.68,False
15min,2,1.2,0,0,0.25,2R,"(-1,)",2758,411,0.752,-504.6,-0.14,0.394,-549.3,1/8,1.68,False
15min,2,1.2,0,0,0.25,2R,"(1, -1)",5582,831,0.805,-777.6,-0.13,0.411,-883.1,2/8,1.68,False
15min,2,1.2,0,0,0.25,3R,"(1,)",2824,421,0.987,-29.3,-0.02,0.362,-210.7,4/8,2.56,False
15min,2,1.2,0,0,0.25,3R,"(-1,)",2758,411,0.87,-291.8,-0.11,0.335,-379.9,1/8,2.57,False
15min,2,1.2,0,0,0.25,3R,"(1, -1)",5582,831,0.928,-321.0,-0.09,0.349,-522.4,2/8,2.57,False
15min,2,1.2,0,0,0.5,2R,"(1,)",2913,434,0.873,-255.4,-0.11,0.421,-341.1,1/8,1.72,False
15min,2,1.2,0,0,0.5,2R,"(-1,)",2842,423,0.768,-478.3,-0.14,0.388,-502.7,1/8,1.72,False
15min,2,1.2,0,0,0.5,2R,"(1, -1)",5755,857,0.82,-733.7,-0.14,0.405,-788.6,2/8,1.72,False
15min,2,1.2,0,0,0.5,3R,"(1,)",2913,434,1.03,66.5,0.1,0.363,-96.6,4/8,2.62,False
15min,2,1.2,0,0,0.5,3R,"(-1,)",2842,423,0.843,-360.6,-0.12,0.322,-434.2,1/8,2.62,False
15min,2,1.2,0,0,0.5,3R,"(1, -1)",5755,857,0.935,-294.1,-0.09,0.342,-484.2,2/8,2.62,False
15min,2,1.2,0,1,0.1,2R,"(1,)",1676,250,0.829,-204.5,-0.12,0.426,-257.5,1/8,1.64,False
15min,2,1.2,0,1,0.1,2R,"(-1,)",1167,174,0.718,-245.4,-0.14,0.389,-267.5,1/8,1.65,False
15min,2,1.2,0,1,0.1,2R,"(1, -1)",2843,424,0.782,-449.9,-0.13,0.411,-505.4,2/8,1.65,False
15min,2,1.2,0,1,0.1,3R,"(1,)",1676,250,0.984,-20.6,-0.02,0.372,-137.5,3/8,2.52,False
15min,2,1.2,0,1,0.1,3R,"(-1,)",1167,174,0.885,-109.6,-0.1,0.343,-156.4,2/8,2.53,False
15min,2,1.2,0,1,0.1,3R,"(1, -1)",2843,424,0.943,-130.2,-0.07,0.36,-282.5,3/8,2.52,False
15min,2,1.2,0,1,0.25,2R,"(1,)",1712,255,0.874,-150.3,-0.1,0.429,-225.4,1/8,1.67,False
15min,2,1.2,0,1,0.25,2R,"(-1,)",1198,179,0.743,-227.1,-0.14,0.388,-250.4,1/8,1.68,False
15min,2,1.2,0,1,0.25,2R,"(1, -1)",2910,434,0.818,-377.5,-0.13,0.412,-448.0,2/8,1.68,False
15min,2,1.2,0,1,0.25,3R,"(1,)",1712,255,0.99,-13.5,-0.01,0.36,-136.4,3/8,2.56,False
15min,2,1.2,0,1,0.25,3R,"(-1,)",1198,179,0.86,-136.8,-0.11,0.333,-177.9,1/8,2.57,False
15min,2,1.2,0,1,0.25,3R,"(1, -1)",2910,434,0.935,-150.3,-0.08,0.349,-298.6,2/8,2.56,False
15min,2,1.2,0,1,0.5,2R,"(1,)",1765,263,0.878,-149.1,-0.1,0.421,-212.4,1/8,1.71,False
15min,2,1.2,0,1,0.5,2R,"(-1,)",1222,182,0.785,-188.8,-0.13,0.392,-212.5,1/8,1.72,False
15min,2,1.2,0,1,0.5,2R,"(1, -1)",2987,445,0.839,-337.9,-0.13,0.409,-396.7,2/8,1.72,False
15min,2,1.2,0,1,0.5,3R,"(1,)",1765,263,1.025,34.6,0.06,0.359,-87.3,4/8,2.61,False
15min,2,1.2,0,1,0.5,3R,"(-1,)",1222,182,0.844,-153.4,-0.12,0.319,-190.2,2/8,2.62,False
15min,2,1.2,0,1,0.5,3R,"(1, -1)",2987,445,0.949,-118.8,-0.07,0.343,-264.9,3/8,2.62,False
15min,2,1.2,1,0,0.1,2R,"(1,)",2619,390,0.81,-355.6,-0.12,0.424,-433.0,2/8,1.64,False
15min,2,1.2,1,0,0.1,2R,"(-1,)",2537,378,0.728,-516.3,-0.14,0.398,-565.1,1/8,1.65,False
15min,2,1.2,1,0,0.1,2R,"(1, -1)",5156,768,0.769,-871.9,-0.13,0.411,-974.6,2/8,1.64,False
15min,2,1.2,1,0,0.1,3R,"(1,)",2619,390,0.978,-45.9,-0.03,0.372,-217.6,4/8,2.51,False
15min,2,1.2,1,0,0.1,3R,"(-1,)",2537,378,0.878,-254.4,-0.11,0.343,-333.0,2/8,2.52,False
15min,2,1.2,1,0,0.1,3R,"(1, -1)",5156,768,0.928,-300.3,-0.09,0.358,-520.8,3/8,2.51,False
15min,2,1.2,1,0,0.25,2R,"(1,)",2672,398,0.855,-271.4,-0.11,0.427,-362.1,3/8,1.67,False
15min,2,1.2,1,0,0.25,2R,"(-1,)",2605,388,0.739,-507.0,-0.14,0.391,-549.7,1/8,1.67,False
15min,2,1.2,1,0,0.25,2R,"(1, -1)",5277,786,0.796,-778.3,-0.13,0.41,-869.9,2/8,1.67,False
15min,2,1.2,1,0,0.25,3R,"(1,)",2672,398,0.98,-42.6,-0.03,0.36,-202.6,4/8,2.55,False
15min,2,1.2,1,0,0.25,3R,"(-1,)",2605,388,0.86,-300.7,-0.12,0.332,-386.6,2/8,2.56,False
15min,2,1.2,1,0,0.25,3R,"(1, -1)",5277,786,0.919,-343.3,-0.1,0.346,-517.7,3/8,2.56,False
15min,2,1.2,1,0,0.5,2R,"(1,)",2757,411,0.87,-249.1,-0.12,0.421,-312.2,1/8,1.71,False
15min,2,1.2,1,0,0.5,2R,"(-1,)",2685,400,0.758,-477.4,-0.14,0.385,-503.6,1/8,1.71,False
15min,2,1.2,1,0,0.5,2R,"(1, -1)",5442,811,0.813,-726.5,-0.14,0.404,-774.2,2/8,1.71,False
15min,2,1.2,1,0,0.5,3R,"(1,)",2757,411,1.025,54.2,0.08,0.361,-97.0,5/8,2.61,False
15min,2,1.2,1,0,0.5,3R,"(-1,)",2685,400,0.834,-365.7,-0.12,0.318,-442.2,2/8,2.61,False
15min,2,1.2,1,0,0.5,3R,"(1, -1)",5442,811,0.928,-311.6,-0.1,0.34,-472.2,2/8,2.61,False
15min,2,1.2,1,1,0.1,2R,"(1,)",1554,232,0.829,-190.8,-0.12,0.429,-237.9,1/8,1.63,False
15min,2,1.2,1,1,0.1,2R,"(-1,)",1076,161,0.694,-249.1,-0.13,0.385,-276.1,1/8,1.64,False
15min,2,1.2,1,1,0.1,2R,"(1, -1)",2630,392,0.772,-439.8,-0.13,0.411,-497.6,2/8,1.63,False
15min,2,1.2,1,1,0.1,3R,"(1,)",1554,232,0.993,-9.1,-0.01,0.375,-127.0,3/8,2.5,False
15min,2,1.2,1,1,0.1,3R,"(-1,)",1076,161,0.867,-118.4,-0.1,0.339,-172.0,2/8,2.51,False
15min,2,1.2,1,1,0.1,3R,"(1, -1)",2630,392,0.94,-127.5,-0.07,0.36,-284.2,3/8,2.51,False
15min,2,1.2,1,1,0.25,2R,"(1,)",1589,237,0.872,-142.6,-0.1,0.432,-204.4,2/8,1.66,False
15min,2,1.2,1,1,0.25,2R,"(-1,)",1106,165,0.721,-231.7,-0.13,0.384,-259.2,1/8,1.67,False
15min,2,1.2,1,1,0.25,2R,"(1, -1)",2695,402,0.807,-374.2,-0.13,0.412,-439.9,2/8,1.66,False
15min,2,1.2,1,1,0.25,3R,"(1,)",1589,237,0.99,-12.3,-0.01,0.361,-125.2,3/8,2.54,False
15min,2,1.2,1,1,0.25,3R,"(-1,)",1106,165,0.841,-145.6,-0.11,0.329,-190.1,2/8,2.55,False
15min,2,1.2,1,1,0.25,3R,"(1, -1)",2695,402,0.927,-158.0,-0.08,0.348,-298.7,3/8,2.55,False
15min,2,1.2,1,1,0.5,2R,"(1,)",1640,245,0.883,-133.5,-0.11,0.424,-182.4,1/8,1.7,False
15min,2,1.2,1,1,0.5,2R,"(-1,)",1127,168,0.769,-189.9,-0.13,0.389,-216.8,1/8,1.71,False
15min,2,1.2,1,1,0.5,2R,"(1, -1)",2767,412,0.835,-323.4,-0.13,0.409,-380.0,2/8,1.71,False
15min,2,1.2,1,1,0.5,3R,"(1,)",1640,245,1.031,40.1,0.08,0.36,-74.1,4/8,2.6,False
15min,2,1.2,1,1,0.5,3R,"(-1,)",1127,168,0.821,-165.7,-0.12,0.312,-205.5,2/8,2.61,False
15min,2,1.2,1,1,0.5,3R,"(1, -1)",2767,412,0.943,-125.6,-0.07,0.34,-268.1,4/8,2.6,False
15min,2,1.5,0,0,0.1,2R,"(1,)",1678,250,0.89,-126.2,-0.1,0.435,-187.8,1/8,1.68,False
15min,2,1.5,0,0,0.1,2R,"(-1,)",1718,256,0.752,-313.1,-0.14,0.393,-335.4,1/8,1.7,False
15min,2,1.5,0,0,0.1,2R,"(1, -1)",3396,506,0.818,-439.3,-0.13,0.414,-493.8,2/8,1.69,False
15min,2,1.5,0,0,0.1,3R,"(1,)",1678,250,1.075,95.3,0.25,0.389,-57.8,4/8,2.57,False
15min,2,1.5,0,0,0.1,3R,"(-1,)",1718,256,0.898,-141.9,-0.11,0.338,-188.3,3/8,2.59,False
15min,2,1.5,0,0,0.1,3R,"(1, -1)",3396,506,0.982,-46.6,-0.04,0.363,-189.0,3/8,2.58,False
15min,2,1.5,0,0,0.25,2R,"(1,)",1710,255,0.947,-60.6,-0.06,0.442,-150.3,3/8,1.71,False
15min,2,1.5,0,0,0.25,2R,"(-1,)",1751,261,0.761,-306.5,-0.14,0.387,-326.9,1/8,1.73,False
15min,2,1.5,0,0,0.25,2R,"(1, -1)",3461,516,0.849,-367.1,-0.12,0.414,-442.7,2/8,1.72,False
15min,2,1.5,0,0,0.25,3R,"(1,)",1710,255,1.095,122.0,0.27,0.382,-66.9,4/8,2.6,False
15min,2,1.5,0,0,0.25,3R,"(-1,)",1751,261,0.869,-184.8,-0.11,0.328,-241.0,2/8,2.63,False
15min,2,1.5,0,0,0.25,3R,"(1, -1)",3461,516,0.977,-62.8,-0.05,0.355,-203.3,3/8,2.62,False
15min,2,1.5,0,0,0.5,2R,"(1,)",1760,262,0.959,-47.5,-0.06,0.439,-118.5,2/8,1.74,False
15min,2,1.5,0,0,0.5,2R,"(-1,)",1798,268,0.787,-273.4,-0.14,0.383,-286.6,1/8,1.76,False
15min,2,1.5,0,0,0.5,2R,"(1, -1)",3558,530,0.869,-320.9,-0.13,0.411,-371.8,2/8,1.75,False
15min,2,1.5,0,0,0.5,3R,"(1,)",1760,262,1.14,179.7,0.54,0.384,-50.0,7/8,2.65,False
15min,2,1.5,0,0,0.5,3R,"(-1,)",1798,268,0.855,-208.2,-0.12,0.319,-258.8,2/8,2.68,False
15min,2,1.5,0,0,0.5,3R,"(1, -1)",3558,530,0.989,-28.6,-0.03,0.351,-160.9,4/8,2.67,False
15min,2,1.5,0,1,0.1,2R,"(1,)",1035,154,0.892,-77.3,-0.09,0.434,-123.9,2/8,1.67,False
15min,2,1.5,0,1,0.1,2R,"(-1,)",749,112,0.707,-165.2,-0.14,0.371,-178.8,1/8,1.7,False
15min,2,1.5,0,1,0.1,2R,"(1, -1)",1784,266,0.811,-242.5,-0.12,0.408,-292.1,2/8,1.69,False
15min,2,1.5,0,1,0.1,3R,"(1,)",1035,154,1.057,45.3,0.11,0.386,-60.8,4/8,2.56,False
