rule,k,ote,sl_buf,tp_r,sweep_lb,need_conf,trend_mode,session,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,1.0,3,3,down,all,2845,426,0.612,-651.2,-0.15,0.495,-652.3,0/8,0.88,False
15min,2,0.5,0.05,1.0,3,3,down,kz,1508,226,0.615,-340.8,-0.15,0.5,-341.0,1/8,0.88,False
15min,2,0.5,0.05,1.0,3,3,off,all,7816,1165,0.626,-1687.4,-0.15,0.504,-1700.5,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,3,off,kz,4043,603,0.633,-854.1,-0.15,0.506,-856.7,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,3,fade,all,4971,741,0.635,-1036.2,-0.15,0.509,-1052.0,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,3,fade,kz,2535,378,0.643,-513.3,-0.15,0.509,-524.0,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,4,down,all,2565,384,0.619,-573.2,-0.15,0.497,-577.7,0/8,0.89,False
15min,2,0.5,0.05,1.0,3,4,down,kz,1353,203,0.614,-306.8,-0.15,0.498,-306.3,1/8,0.88,False
15min,2,0.5,0.05,1.0,3,4,off,all,7058,1052,0.633,-1489.9,-0.15,0.504,-1510.2,0/8,0.88,False
15min,2,0.5,0.05,1.0,3,4,off,kz,3656,545,0.632,-774.0,-0.15,0.504,-778.8,0/8,0.88,False
15min,2,0.5,0.05,1.0,3,4,fade,all,4493,670,0.641,-916.7,-0.15,0.508,-931.1,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,4,fade,kz,2303,343,0.643,-467.2,-0.15,0.507,-476.6,0/8,0.87,False
15min,2,0.5,0.05,1.0,3,5,down,all,1561,234,0.642,-326.2,-0.15,0.49,-328.6,0/8,0.91,False
15min,2,0.5,0.05,1.0,3,5,down,kz,810,121,0.669,-152.8,-0.15,0.498,-157.4,1/8,0.9,False
15min,2,0.5,0.05,1.0,3,5,off,all,4277,638,0.677,-780.4,-0.15,0.505,-790.7,0/8,0.9,False
15min,2,0.5,0.05,1.0,3,5,off,kz,2180,325,0.664,-417.9,-0.15,0.499,-421.1,0/8,0.9,False
15min,2,0.5,0.05,1.0,3,5,fade,all,2716,405,0.698,-454.2,-0.15,0.513,-460.8,1/8,0.9,False
15min,2,0.5,0.05,1.0,3,5,fade,kz,1370,204,0.66,-265.0,-0.15,0.499,-270.2,0/8,0.9,False
15min,2,0.5,0.05,1.0,6,3,down,all,3235,485,0.615,-731.7,-0.15,0.497,-731.6,0/8,0.88,False
15min,2,0.5,0.05,1.0,6,3,down,kz,1674,251,0.627,-362.9,-0.15,0.505,-363.0,1/8,0.88,False
15min,2,0.5,0.05,1.0,6,3,off,all,8923,1330,0.628,-1917.2,-0.15,0.505,-1934.8,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,3,off,kz,4551,678,0.636,-947.6,-0.15,0.508,-949.3,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,3,fade,all,5688,848,0.635,-1185.5,-0.15,0.51,-1204.9,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,3,fade,kz,2877,429,0.642,-584.7,-0.15,0.51,-596.1,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,4,down,all,2902,435,0.622,-642.1,-0.15,0.499,-646.9,0/8,0.89,False
15min,2,0.5,0.05,1.0,6,4,down,kz,1490,223,0.628,-321.7,-0.15,0.504,-321.2,1/8,0.88,False
15min,2,0.5,0.05,1.0,6,4,off,all,8017,1195,0.632,-1699.3,-0.15,0.505,-1723.5,0/8,0.88,False
15min,2,0.5,0.05,1.0,6,4,off,kz,4096,611,0.637,-851.2,-0.15,0.506,-860.5,0/8,0.88,False
15min,2,0.5,0.05,1.0,6,4,fade,all,5115,763,0.637,-1057.2,-0.15,0.508,-1075.2,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,4,fade,kz,2606,389,0.643,-529.6,-0.15,0.508,-540.9,0/8,0.87,False
15min,2,0.5,0.05,1.0,6,5,down,all,1752,263,0.636,-373.8,-0.15,0.489,-374.1,0/8,0.91,False
15min,2,0.5,0.05,1.0,6,5,down,kz,887,133,0.681,-159.6,-0.15,0.503,-159.8,1/8,0.9,False
15min,2,0.5,0.05,1.0,6,5,off,all,4811,717,0.673,-888.8,-0.15,0.505,-899.5,0/8,0.9,False
15min,2,0.5,0.05,1.0,6,5,off,kz,2416,360,0.676,-440.8,-0.15,0.505,-444.7,0/8,0.9,False
15min,2,0.5,0.05,1.0,6,5,fade,all,3059,456,0.696,-515.1,-0.15,0.514,-524.1,0/8,0.9,False
15min,2,0.5,0.05,1.0,6,5,fade,kz,1529,228,0.674,-281.2,-0.15,0.506,-287.9,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,3,down,all,3497,523,0.612,-799.0,-0.15,0.497,-799.8,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,3,down,kz,1803,270,0.633,-381.7,-0.15,0.507,-382.6,1/8,0.88,False
15min,2,0.5,0.05,1.0,10,3,off,all,9590,1429,0.626,-2069.4,-0.15,0.506,-2088.0,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,3,off,kz,4909,731,0.636,-1022.3,-0.15,0.509,-1026.0,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,3,fade,all,6093,908,0.634,-1270.3,-0.15,0.512,-1291.5,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,3,fade,kz,3106,463,0.638,-640.6,-0.15,0.51,-650.5,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,4,down,all,3143,470,0.617,-706.8,-0.15,0.498,-710.1,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,down,kz,1611,241,0.633,-340.3,-0.15,0.507,-340.6,1/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,off,all,8613,1283,0.631,-1827.3,-0.15,0.506,-1851.7,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,off,kz,4417,658,0.64,-905.5,-0.15,0.508,-913.7,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,fade,all,5470,815,0.64,-1120.5,-0.15,0.51,-1140.3,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,4,fade,kz,2806,418,0.645,-565.3,-0.15,0.51,-575.1,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,5,down,all,1887,283,0.631,-409.6,-0.15,0.488,-408.9,0/8,0.91,False
15min,2,0.5,0.05,1.0,10,5,down,kz,951,143,0.675,-174.9,-0.15,0.503,-174.5,1/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,off,all,5169,771,0.675,-948.0,-0.15,0.507,-957.3,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,off,kz,2599,388,0.679,-469.3,-0.15,0.507,-471.4,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,fade,all,3282,489,0.702,-538.4,-0.15,0.517,-547.1,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,fade,kz,1648,246,0.681,-294.4,-0.15,0.51,-299.4,0/8,0.9,False
15min,2,0.5,0.05,1.5,3,3,down,all,2845,426,0.725,-535.0,-0.15,0.417,-541.0,0/8,1.35,False
15min,2,0.5,0.05,1.5,3,3,down,kz,1508,226,0.75,-254.0,-0.15,0.426,-254.0,0/8,1.34,False
15min,2,0.5,0.05,1.5,3,3,off,all,7816,1165,0.766,-1214.7,-0.15,0.436,-1240.8,0/8,1.34,False
15min,2,0.5,0.05,1.5,3,3,off,kz,4043,603,0.779,-590.1,-0.14,0.438,-610.9,1/8,1.34,False
