rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,2R,3,3,0,0,all,"(1,)",7243,1079,0.907,-478.2,-0.1,0.393,-696.7,3/8,1.81,False
15min,2,0.5,0.05,2R,3,3,0,0,all,"(-1,)",7816,1165,0.829,-979.8,-0.14,0.377,-1009.5,0/8,1.8,False
15min,2,0.5,0.05,2R,3,3,0,0,all,"(1, -1)",15059,2244,0.866,-1458.0,-0.14,0.385,-1555.6,1/8,1.81,False
15min,2,0.5,0.05,2R,3,3,0,0,kz,"(1,)",3714,554,0.908,-242.0,-0.09,0.392,-381.8,3/8,1.81,False
15min,2,0.5,0.05,2R,3,3,0,0,kz,"(-1,)",4043,603,0.847,-449.3,-0.14,0.381,-474.8,0/8,1.8,False
15min,2,0.5,0.05,2R,3,3,0,0,kz,"(1, -1)",7757,1156,0.876,-691.3,-0.13,0.386,-783.7,2/8,1.81,False
15min,2,0.5,0.05,2R,3,3,0,1,all,"(1,)",3805,567,0.942,-153.7,-0.07,0.401,-338.4,3/8,1.82,False
15min,2,0.5,0.05,2R,3,3,0,1,all,"(-1,)",2845,426,0.804,-414.0,-0.15,0.365,-413.5,1/8,1.82,False
15min,2,0.5,0.05,2R,3,3,0,1,all,"(1, -1)",6650,992,0.881,-567.8,-0.12,0.386,-721.5,2/8,1.82,False
15min,2,0.5,0.05,2R,3,3,0,1,kz,"(1,)",2030,303,0.921,-113.7,-0.08,0.396,-214.7,2/8,1.82,False
15min,2,0.5,0.05,2R,3,3,0,1,kz,"(-1,)",1508,226,0.856,-157.9,-0.13,0.379,-176.9,1/8,1.81,False
15min,2,0.5,0.05,2R,3,3,0,1,kz,"(1, -1)",3538,528,0.892,-271.6,-0.11,0.389,-385.2,3/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,0,all,"(1,)",7243,1079,0.907,-478.2,-0.1,0.393,-696.7,3/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,0,all,"(-1,)",7816,1165,0.829,-979.8,-0.14,0.377,-1009.5,0/8,1.8,False
15min,2,0.5,0.05,2R,3,3,1,0,all,"(1, -1)",15059,2244,0.866,-1458.0,-0.14,0.385,-1555.6,1/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,0,kz,"(1,)",3714,554,0.908,-242.0,-0.09,0.392,-381.8,3/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,0,kz,"(-1,)",4043,603,0.847,-449.3,-0.14,0.381,-474.8,0/8,1.8,False
15min,2,0.5,0.05,2R,3,3,1,0,kz,"(1, -1)",7757,1156,0.876,-691.3,-0.13,0.386,-783.7,2/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,1,all,"(1,)",3805,567,0.942,-153.7,-0.07,0.401,-338.4,3/8,1.82,False
15min,2,0.5,0.05,2R,3,3,1,1,all,"(-1,)",2845,426,0.804,-414.0,-0.15,0.365,-413.5,1/8,1.82,False
15min,2,0.5,0.05,2R,3,3,1,1,all,"(1, -1)",6650,992,0.881,-567.8,-0.12,0.386,-721.5,2/8,1.82,False
15min,2,0.5,0.05,2R,3,3,1,1,kz,"(1,)",2030,303,0.921,-113.7,-0.08,0.396,-214.7,2/8,1.82,False
15min,2,0.5,0.05,2R,3,3,1,1,kz,"(-1,)",1508,226,0.856,-157.9,-0.13,0.379,-176.9,1/8,1.81,False
15min,2,0.5,0.05,2R,3,3,1,1,kz,"(1, -1)",3538,528,0.892,-271.6,-0.11,0.389,-385.2,3/8,1.81,False
15min,2,0.5,0.05,2R,3,4,0,0,all,"(1,)",6619,986,0.902,-463.7,-0.11,0.39,-632.5,3/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,0,all,"(-1,)",7058,1052,0.828,-889.3,-0.14,0.374,-923.1,0/8,1.81,False
15min,2,0.5,0.05,2R,3,4,0,0,all,"(1, -1)",13677,2038,0.863,-1353.0,-0.14,0.382,-1432.6,1/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,0,kz,"(1,)",3367,502,0.899,-242.3,-0.1,0.388,-354.4,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,0,kz,"(-1,)",3656,545,0.833,-445.5,-0.14,0.375,-474.7,0/8,1.81,False
15min,2,0.5,0.05,2R,3,4,0,0,kz,"(1, -1)",7023,1047,0.865,-687.8,-0.14,0.381,-750.9,2/8,1.81,False
15min,2,0.5,0.05,2R,3,4,0,1,all,"(1,)",3460,516,0.941,-142.1,-0.07,0.399,-291.8,2/8,1.83,False
15min,2,0.5,0.05,2R,3,4,0,1,all,"(-1,)",2565,384,0.813,-354.5,-0.14,0.366,-366.6,1/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,1,all,"(1, -1)",6025,898,0.885,-496.6,-0.11,0.385,-645.3,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,1,kz,"(1,)",1850,276,0.911,-117.2,-0.08,0.391,-206.5,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,0,1,kz,"(-1,)",1353,203,0.852,-145.3,-0.13,0.377,-171.2,3/8,1.81,False
15min,2,0.5,0.05,2R,3,4,0,1,kz,"(1, -1)",3203,478,0.886,-262.4,-0.11,0.385,-367.8,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,0,all,"(1,)",6619,986,0.902,-463.7,-0.11,0.39,-632.5,3/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,0,all,"(-1,)",7058,1052,0.828,-889.3,-0.14,0.374,-923.1,0/8,1.81,False
15min,2,0.5,0.05,2R,3,4,1,0,all,"(1, -1)",13677,2038,0.863,-1353.0,-0.14,0.382,-1432.6,1/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,0,kz,"(1,)",3367,502,0.899,-242.3,-0.1,0.388,-354.4,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,0,kz,"(-1,)",3656,545,0.833,-445.5,-0.14,0.375,-474.7,0/8,1.81,False
15min,2,0.5,0.05,2R,3,4,1,0,kz,"(1, -1)",7023,1047,0.865,-687.8,-0.14,0.381,-750.9,2/8,1.81,False
15min,2,0.5,0.05,2R,3,4,1,1,all,"(1,)",3460,516,0.941,-142.1,-0.07,0.399,-291.8,2/8,1.83,False
15min,2,0.5,0.05,2R,3,4,1,1,all,"(-1,)",2565,384,0.813,-354.5,-0.14,0.366,-366.6,1/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,1,all,"(1, -1)",6025,898,0.885,-496.6,-0.11,0.385,-645.3,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,1,kz,"(1,)",1850,276,0.911,-117.2,-0.08,0.391,-206.5,2/8,1.82,False
15min,2,0.5,0.05,2R,3,4,1,1,kz,"(-1,)",1353,203,0.852,-145.3,-0.13,0.377,-171.2,3/8,1.81,False
15min,2,0.5,0.05,2R,3,4,1,1,kz,"(1, -1)",3203,478,0.886,-262.4,-0.11,0.385,-367.8,2/8,1.82,False
15min,2,0.5,0.05,2R,3,5,0,0,all,"(1,)",4177,622,0.977,-64.9,-0.04,0.397,-242.0,3/8,1.85,False
15min,2,0.5,0.05,2R,3,5,0,0,all,"(-1,)",4277,638,0.837,-510.2,-0.15,0.362,-523.4,0/8,1.85,False
15min,2,0.5,0.05,2R,3,5,0,0,all,"(1, -1)",8454,1260,0.904,-575.1,-0.14,0.38,-628.2,1/8,1.85,False
15min,2,0.5,0.05,2R,3,5,0,0,kz,"(1,)",2086,311,0.981,-26.8,-0.03,0.397,-133.7,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,0,kz,"(-1,)",2180,325,0.819,-290.4,-0.14,0.356,-306.3,1/8,1.85,False
15min,2,0.5,0.05,2R,3,5,0,0,kz,"(1, -1)",4266,636,0.896,-317.2,-0.13,0.376,-377.9,2/8,1.85,False
15min,2,0.5,0.05,2R,3,5,0,1,all,"(1,)",2235,333,0.978,-33.5,-0.03,0.396,-190.0,4/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,1,all,"(-1,)",1561,234,0.83,-194.9,-0.13,0.359,-220.1,1/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,1,all,"(1, -1)",3796,566,0.915,-228.4,-0.09,0.381,-384.5,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,1,kz,"(1,)",1175,176,0.951,-40.2,-0.05,0.387,-118.0,4/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,1,kz,"(-1,)",810,121,0.91,-51.3,-0.08,0.378,-102.5,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,0,1,kz,"(1, -1)",1985,297,0.934,-91.6,-0.07,0.383,-210.3,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,0,all,"(1,)",4177,622,0.977,-64.9,-0.04,0.397,-242.0,3/8,1.85,False
15min,2,0.5,0.05,2R,3,5,1,0,all,"(-1,)",4277,638,0.837,-510.2,-0.15,0.362,-523.4,0/8,1.85,False
15min,2,0.5,0.05,2R,3,5,1,0,all,"(1, -1)",8454,1260,0.904,-575.1,-0.14,0.38,-628.2,1/8,1.85,False
15min,2,0.5,0.05,2R,3,5,1,0,kz,"(1,)",2086,311,0.981,-26.8,-0.03,0.397,-133.7,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,0,kz,"(-1,)",2180,325,0.819,-290.4,-0.14,0.356,-306.3,1/8,1.85,False
15min,2,0.5,0.05,2R,3,5,1,0,kz,"(1, -1)",4266,636,0.896,-317.2,-0.13,0.376,-377.9,2/8,1.85,False
15min,2,0.5,0.05,2R,3,5,1,1,all,"(1,)",2235,333,0.978,-33.5,-0.03,0.396,-190.0,4/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,1,all,"(-1,)",1561,234,0.83,-194.9,-0.13,0.359,-220.1,1/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,1,all,"(1, -1)",3796,566,0.915,-228.4,-0.09,0.381,-384.5,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,1,kz,"(1,)",1175,176,0.951,-40.2,-0.05,0.387,-118.0,4/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,1,kz,"(-1,)",810,121,0.91,-51.3,-0.08,0.378,-102.5,3/8,1.86,False
15min,2,0.5,0.05,2R,3,5,1,1,kz,"(1, -1)",1985,297,0.934,-91.6,-0.07,0.383,-210.3,3/8,1.86,False
15min,2,0.5,0.05,2R,6,3,0,0,all,"(1,)",8307,1238,0.908,-541.8,-0.11,0.394,-760.9,3/8,1.81,False
15min,2,0.5,0.05,2R,6,3,0,0,all,"(-1,)",8923,1330,0.823,-1159.3,-0.15,0.376,-1189.3,0/8,1.8,False
15min,2,0.5,0.05,2R,6,3,0,0,all,"(1, -1)",17230,2568,0.863,-1701.1,-0.14,0.385,-1796.9,1/8,1.81,False
15min,2,0.5,0.05,2R,6,3,0,0,kz,"(1,)",4227,630,0.912,-262.6,-0.09,0.394,-416.6,2/8,1.81,False
15min,2,0.5,0.05,2R,6,3,0,0,kz,"(-1,)",4551,678,0.836,-544.4,-0.14,0.378,-576.6,0/8,1.8,False
15min,2,0.5,0.05,2R,6,3,0,0,kz,"(1, -1)",8778,1308,0.872,-807.0,-0.13,0.386,-905.2,2/8,1.81,False
15min,2,0.5,0.05,2R,6,3,0,1,all,"(1,)",4316,644,0.944,-167.0,-0.07,0.403,-359.0,3/8,1.82,False
