rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,breaker,0.05,2R,0,"(1,)",1154,172,0.979,-16.8,-0.03,0.387,-89.3,4/8,1.88,False
15min,2,breaker,0.05,2R,0,"(-1,)",1090,162,0.785,-172.1,-0.15,0.337,-176.4,0/8,1.88,False
15min,2,breaker,0.05,2R,0,"(1, -1)",2244,334,0.881,-188.9,-0.12,0.363,-230.9,2/8,1.88,False
15min,2,breaker,0.05,2R,1,"(1,)",716,107,0.995,-2.3,-0.01,0.391,-59.5,3/8,1.88,False
15min,2,breaker,0.05,2R,1,"(-1,)",490,73,0.782,-78.8,-0.13,0.337,-89.4,2/8,1.88,False
15min,2,breaker,0.05,2R,1,"(1, -1)",1206,180,0.904,-81.2,-0.1,0.369,-124.7,1/8,1.88,False
15min,2,breaker,0.05,3R,0,"(1,)",1154,172,1.034,29.8,0.06,0.309,-79.5,4/8,2.84,False
15min,2,breaker,0.05,3R,0,"(-1,)",1090,162,0.831,-149.9,-0.14,0.264,-155.7,1/8,2.84,False
15min,2,breaker,0.05,3R,0,"(1, -1)",2244,334,0.932,-120.2,-0.1,0.287,-187.8,2/8,2.84,False
15min,2,breaker,0.05,3R,1,"(1,)",716,107,1.072,39.2,0.12,0.317,-48.1,5/8,2.84,False
15min,2,breaker,0.05,3R,1,"(-1,)",490,73,0.781,-88.7,-0.15,0.253,-91.1,1/8,2.84,False
15min,2,breaker,0.05,3R,1,"(1, -1)",1206,180,0.948,-49.6,-0.08,0.291,-97.0,2/8,2.84,False
15min,2,breaker,0.15,2R,0,"(1,)",1170,174,0.951,-39.2,-0.05,0.377,-112.9,4/8,1.89,False
15min,2,breaker,0.15,2R,0,"(-1,)",1108,165,0.768,-189.8,-0.15,0.329,-194.6,0/8,1.89,False
15min,2,breaker,0.15,2R,0,"(1, -1)",2278,339,0.859,-229.0,-0.13,0.354,-270.0,1/8,1.89,False
15min,2,breaker,0.15,2R,1,"(1,)",729,109,0.968,-16.1,-0.03,0.381,-73.1,3/8,1.89,False
15min,2,breaker,0.15,2R,1,"(-1,)",496,74,0.776,-81.4,-0.14,0.333,-85.6,0/8,1.89,False
