rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.1,2R,0,"(1,)",1322,197,0.822,-136.5,-0.07,0.589,-272.8,3/8,1.34,False
15min,2,0.1,2R,0,"(-1,)",1393,208,0.625,-347.3,-0.13,0.538,-384.3,1/8,1.34,False
15min,2,0.1,2R,0,"(1, -1)",2715,405,0.714,-483.8,-0.12,0.563,-616.4,2/8,1.34,False
15min,2,0.1,2R,1,"(1,)",738,110,0.859,-59.2,-0.06,0.599,-146.8,3/8,1.35,False
15min,2,0.1,2R,1,"(-1,)",526,79,0.648,-122.5,-0.13,0.546,-140.9,1/8,1.36,False
15min,2,0.1,2R,1,"(1, -1)",1264,189,0.763,-181.7,-0.1,0.577,-263.3,3/8,1.35,False
15min,2,0.1,3R,0,"(1,)",1322,197,1.246,222.4,0.26,0.567,-128.0,4/8,2.12,False
15min,2,0.1,3R,0,"(-1,)",1393,208,0.975,-26.9,-0.03,0.523,-151.7,4/8,2.12,False
15min,2,0.1,3R,0,"(1, -1)",2715,405,1.099,195.5,0.11,0.544,-254.5,4/8,2.12,False
15min,2,0.1,3R,1,"(1,)",738,110,1.294,145.5,0.32,0.577,-67.7,4/8,2.13,False
15min,2,0.1,3R,1,"(-1,)",526,79,1.013,5.1,0.02,0.525,-37.2,4/8,2.14,False
15min,2,0.1,3R,1,"(1, -1)",1264,189,1.169,150.6,0.25,0.555,-90.0,3/8,2.13,False
15min,2,0.25,2R,0,"(1,)",1606,240,0.971,-31.1,-0.02,0.482,-196.6,3/8,1.69,False
15min,2,0.25,2R,0,"(-1,)",1691,252,0.841,-194.5,-0.13,0.451,-227.8,0/8,1.69,False
15min,2,0.25,2R,0,"(1, -1)",3297,492,0.902,-225.7,-0.09,0.466,-383.9,3/8,1.69,False
15min,2,0.25,2R,1,"(1,)",890,133,1.053,30.4,0.05,0.499,-87.2,5/8,1.69,False
15min,2,0.25,2R,1,"(-1,)",638,96,0.915,-37.8,-0.1,0.47,-59.0,3/8,1.7,False
