sl_atr,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
0.5,2R,"(1,)",234,35,1.043,6.1,0.07,0.368,-13.0,4/8,2.33,False
0.5,2R,"(-1,)",252,38,0.718,-51.1,-0.11,0.286,-68.5,2/8,2.1,False
0.5,2R,"(1, -1)",486,73,0.862,-44.9,-0.11,0.325,-63.4,2/8,2.21,False
0.5,3R,"(1,)",234,35,1.045,6.8,0.05,0.333,-20.5,5/8,3.44,False
0.5,3R,"(-1,)",252,38,0.669,-63.0,-0.13,0.246,-71.0,2/8,3.13,False
0.5,3R,"(1, -1)",486,73,0.836,-56.2,-0.13,0.288,-67.3,2/8,3.28,False
1.0,2R,"(1,)",234,35,1.368,32.5,0.52,0.513,-9.5,6/8,2.01,False
1.0,2R,"(-1,)",252,38,0.688,-42.0,-0.12,0.365,-50.8,1/8,2.01,False
1.0,2R,"(1, -1)",486,73,0.958,-9.4,-0.05,0.436,-30.9,3/8,2.01,False
1.0,3R,"(1,)",234,35,1.312,28.2,0.36,0.504,-11.8,6/8,3.02,False
1.0,3R,"(-1,)",252,38,0.702,-40.7,-0.13,0.357,-48.5,1/8,3.02,False
1.0,3R,"(1, -1)",486,73,0.945,-12.5,-0.06,0.428,-33.5,2/8,3.02,False
1.5,2R,"(1,)",234,35,1.401,24.3,0.42,0.56,-8.7,6/8,2.0,False
1.5,2R,"(-1,)",252,38,0.71,-29.6,-0.13,0.409,-33.7,2/8,2.0,False
1.5,2R,"(1, -1)",486,73,0.968,-5.2,-0.04,0.481,-22.1,3/8,2.0,False
1.5,3R,"(1,)",234,35,1.411,24.9,0.43,0.56,-8.7,6/8,3.0,False
1.5,3R,"(-1,)",252,38,0.714,-29.1,-0.12,0.409,-35.3,2/8,3.0,False
1.5,3R,"(1, -1)",486,73,0.974,-4.2,-0.03,0.481,-21.8,3/8,3.0,False
2.0,2R,"(1,)",234,35,1.28,14.0,0.25,0.564,-8.5,6/8,2.0,False
2.0,2R,"(-1,)",252,38,0.675,-26.7,-0.13,0.409,-31.1,2/8,2.0,False
2.0,2R,"(1, -1)",486,73,0.904,-12.7,-0.09,0.484,-21.4,1/8,2.0,False
2.0,3R,"(1,)",234,35,1.307,15.3,0.27,0.564,-8.5,6/8,3.0,False
2.0,3R,"(-1,)",252,38,0.681,-26.2,-0.12,0.409,-32.6,2/8,3.0,False
2.0,3R,"(1, -1)",486,73,0.918,-10.9,-0.08,0.484,-20.1,3/8,3.0,False
