k,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.1,2R,"(1,)",364,55,1.215,49.5,0.44,0.418,-17.0,7/8,1.93,False
2,0.1,2R,"(-1,)",479,71,0.904,-32.2,-0.09,0.353,-52.2,3/8,1.92,False
2,0.1,2R,"(1, -1)",843,126,1.03,17.2,0.07,0.381,-37.3,3/8,1.93,False
2,0.1,3R,"(1,)",364,55,1.329,84.9,0.71,0.343,-18.0,7/8,2.91,False
2,0.1,3R,"(-1,)",479,71,0.898,-38.6,-0.1,0.267,-57.7,3/8,2.9,False
2,0.1,3R,"(1, -1)",843,126,1.073,46.3,0.21,0.3,-33.0,5/8,2.9,False
2,0.25,2R,"(1,)",365,55,1.256,57.9,0.5,0.422,-17.2,7/8,1.94,False
2,0.25,2R,"(-1,)",479,71,0.89,-37.0,-0.1,0.344,-55.1,3/8,1.93,False
2,0.25,2R,"(1, -1)",844,126,1.037,20.8,0.09,0.378,-35.6,3/8,1.93,False
2,0.25,3R,"(1,)",365,55,1.37,93.2,0.92,0.353,-15.2,7/8,2.92,False
2,0.25,3R,"(-1,)",479,71,0.879,-45.8,-0.11,0.261,-62.1,3/8,2.91,False
2,0.25,3R,"(1, -1)",844,126,1.075,47.3,0.27,0.301,-26.4,5/8,2.91,False
2,0.5,2R,"(1,)",365,55,1.303,66.5,0.66,0.43,-15.0,7/8,1.95,False
2,0.5,2R,"(-1,)",480,72,0.843,-52.9,-0.11,0.333,-69.2,3/8,1.94,False
2,0.5,2R,"(1, -1)",845,126,1.024,13.6,0.06,0.375,-36.8,4/8,1.94,False
2,0.5,3R,"(1,)",365,55,1.458,110.5,1.18,0.373,-14.0,8/8,2.93,False
2,0.5,3R,"(-1,)",480,72,0.9,-36.6,-0.08,0.273,-69.8,4/8,2.92,False
2,0.5,3R,"(1, -1)",845,126,1.121,73.8,0.38,0.316,-28.9,7/8,2.93,False
3,0.1,2R,"(1,)",336,50,1.057,12.6,0.1,0.384,-18.5,6/8,1.94,False
3,0.1,2R,"(-1,)",461,69,0.911,-28.7,-0.08,0.347,-52.5,4/8,1.94,False
3,0.1,2R,"(1, -1)",797,119,0.97,-16.1,-0.04,0.363,-55.0,4/8,1.94,False
3,0.1,3R,"(1,)",336,50,1.16,39.0,0.18,0.318,-32.2,6/8,2.92,False
3,0.1,3R,"(-1,)",461,69,1.016,5.5,0.02,0.291,-40.6,4/8,2.92,False
3,0.1,3R,"(1, -1)",797,119,1.075,44.5,0.15,0.302,-44.0,5/8,2.92,False
3,0.25,2R,"(1,)",339,51,1.153,32.7,0.3,0.401,-16.5,6/8,1.95,False
3,0.25,2R,"(-1,)",461,69,0.864,-43.8,-0.09,0.334,-70.2,4/8,1.94,False
3,0.25,2R,"(1, -1)",800,119,0.979,-11.1,-0.03,0.362,-58.1,4/8,1.95,False
3,0.25,3R,"(1,)",339,51,1.185,44.5,0.27,0.327,-24.8,5/8,2.93,False
3,0.25,3R,"(-1,)",461,69,0.957,-14.9,-0.04,0.28,-55.6,3/8,2.93,False
3,0.25,3R,"(1, -1)",800,119,1.05,29.5,0.1,0.3,-44.7,4/8,2.93,False
3,0.5,2R,"(1,)",339,51,1.333,66.0,0.55,0.437,-18.1,7/8,1.96,False
3,0.5,2R,"(-1,)",462,69,0.882,-37.2,-0.09,0.342,-59.4,4/8,1.95,False
3,0.5,2R,"(1, -1)",801,119,1.056,28.8,0.11,0.382,-39.0,5/8,1.95,False
3,0.5,3R,"(1,)",339,51,1.364,80.9,0.36,0.369,-33.6,7/8,2.94,False
3,0.5,3R,"(-1,)",462,69,0.929,-24.3,-0.06,0.284,-61.8,2/8,2.94,False
3,0.5,3R,"(1, -1)",801,119,1.1,56.6,0.14,0.32,-58.4,5/8,2.94,False
4,0.1,2R,"(1,)",310,46,1.305,56.6,0.71,0.435,-11.9,7/8,1.95,False
4,0.1,2R,"(-1,)",440,66,0.962,-11.3,-0.04,0.361,-39.0,3/8,1.95,False
4,0.1,2R,"(1, -1)",750,112,1.094,45.3,0.15,0.392,-44.9,4/8,1.95,False
4,0.1,3R,"(1,)",310,46,1.319,67.3,0.75,0.358,-13.5,7/8,2.93,False
4,0.1,3R,"(-1,)",440,66,0.981,-6.3,-0.02,0.295,-39.6,4/8,2.93,False
4,0.1,3R,"(1, -1)",750,112,1.115,61.1,0.25,0.321,-36.3,6/8,2.93,False
4,0.25,2R,"(1,)",310,46,1.394,70.5,1.11,0.452,-9.6,7/8,1.95,False
4,0.25,2R,"(-1,)",441,66,0.944,-16.2,-0.06,0.356,-43.7,3/8,1.95,False
4,0.25,2R,"(1, -1)",751,112,1.115,54.3,0.19,0.395,-42.1,4/8,1.95,False
4,0.25,3R,"(1,)",310,46,1.382,77.2,0.85,0.381,-13.6,8/8,2.94,False
4,0.25,3R,"(-1,)",441,66,0.953,-14.8,-0.04,0.295,-50.9,4/8,2.94,False
4,0.25,3R,"(1, -1)",751,112,1.12,62.4,0.25,0.33,-37.5,5/8,2.94,False
4,0.5,2R,"(1,)",310,46,1.513,86.2,1.36,0.474,-9.5,8/8,1.96,False
4,0.5,2R,"(-1,)",441,66,0.891,-31.3,-0.1,0.351,-47.5,2/8,1.96,False
4,0.5,2R,"(1, -1)",751,112,1.121,54.9,0.21,0.402,-38.4,5/8,1.96,False
4,0.5,3R,"(1,)",310,46,1.5,94.3,0.63,0.41,-22.6,7/8,2.95,False
4,0.5,3R,"(-1,)",441,66,0.915,-26.4,-0.08,0.302,-47.9,3/8,2.95,False
4,0.5,3R,"(1, -1)",751,112,1.137,68.0,0.27,0.346,-37.9,5/8,2.95,False
