k,confirm_bars,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,pos_years,gate_pass
2,4,0.1,2R,"(1,)",2762,412,0.929,-135.7,-0.07,0.372,3/8,False
2,4,0.1,2R,"(-1,)",2625,391,0.828,-327.4,-0.14,0.347,1/8,False
2,4,0.1,2R,"(1, -1)",5387,803,0.879,-463.1,-0.11,0.36,2/8,False
2,4,0.1,3R,"(1,)",2762,412,1.041,84.6,0.05,0.319,4/8,False
2,4,0.1,3R,"(-1,)",2625,391,0.864,-284.7,-0.12,0.28,1/8,False
2,4,0.1,3R,"(1, -1)",5387,803,0.952,-200.1,-0.06,0.3,4/8,False
2,4,0.25,2R,"(1,)",2762,412,0.959,-77.2,-0.05,0.378,4/8,False
2,4,0.25,2R,"(-1,)",2625,391,0.81,-359.9,-0.14,0.339,1/8,False
2,4,0.25,2R,"(1, -1)",5387,803,0.884,-437.1,-0.11,0.359,2/8,False
2,4,0.25,3R,"(1,)",2762,412,1.063,126.5,0.09,0.328,4/8,False
2,4,0.25,3R,"(-1,)",2625,391,0.85,-309.5,-0.13,0.279,1/8,False
2,4,0.25,3R,"(1, -1)",5387,803,0.955,-183.1,-0.06,0.304,4/8,False
2,4,0.5,2R,"(1,)",2762,412,0.976,-43.5,-0.03,0.383,4/8,False
2,4,0.5,2R,"(-1,)",2625,391,0.836,-297.8,-0.14,0.345,1/8,False
2,4,0.5,2R,"(1, -1)",5387,803,0.906,-341.3,-0.1,0.365,1/8,False
2,4,0.5,3R,"(1,)",2762,412,1.067,130.1,0.1,0.337,4/8,False
2,4,0.5,3R,"(-1,)",2625,391,0.867,-262.8,-0.13,0.288,1/8,False
2,4,0.5,3R,"(1, -1)",5387,803,0.966,-132.6,-0.05,0.313,4/8,False
2,8,0.1,2R,"(1,)",2895,432,0.946,-108.1,-0.06,0.377,4/8,False
2,8,0.1,2R,"(-1,)",2771,413,0.83,-340.6,-0.14,0.349,1/8,False
2,8,0.1,2R,"(1, -1)",5666,844,0.888,-448.7,-0.11,0.363,2/8,False
2,8,0.1,3R,"(1,)",2895,432,1.056,121.5,0.07,0.323,4/8,False
2,8,0.1,3R,"(-1,)",2771,413,0.871,-283.5,-0.12,0.283,1/8,False
2,8,0.1,3R,"(1, -1)",5666,844,0.963,-162.0,-0.05,0.304,4/8,False
2,8,0.25,2R,"(1,)",2895,432,0.974,-49.6,-0.03,0.383,4/8,False
2,8,0.25,2R,"(-1,)",2771,413,0.813,-371.6,-0.14,0.341,1/8,False
2,8,0.25,2R,"(1, -1)",5666,844,0.893,-421.2,-0.1,0.362,2/8,False
2,8,0.25,3R,"(1,)",2895,432,1.079,165.7,0.12,0.333,4/8,False
2,8,0.25,3R,"(-1,)",2771,413,0.857,-309.4,-0.13,0.282,1/8,False
2,8,0.25,3R,"(1, -1)",5666,844,0.966,-143.6,-0.05,0.308,4/8,False
2,8,0.5,2R,"(1,)",2895,432,0.992,-15.4,-0.01,0.388,4/8,False
2,8,0.5,2R,"(-1,)",2771,413,0.846,-294.5,-0.14,0.348,1/8,False
2,8,0.5,2R,"(1, -1)",5666,844,0.918,-309.8,-0.1,0.369,3/8,False
2,8,0.5,3R,"(1,)",2895,432,1.084,169.2,0.12,0.342,4/8,False
2,8,0.5,3R,"(-1,)",2771,413,0.882,-245.3,-0.12,0.292,1/8,False
2,8,0.5,3R,"(1, -1)",5666,844,0.981,-76.1,-0.03,0.318,4/8,False
2,12,0.1,2R,"(1,)",2978,444,0.951,-99.4,-0.05,0.378,2/8,False
2,12,0.1,2R,"(-1,)",2858,426,0.83,-351.8,-0.14,0.348,1/8,False
2,12,0.1,2R,"(1, -1)",5836,870,0.89,-451.2,-0.1,0.364,2/8,False
2,12,0.1,3R,"(1,)",2978,444,1.063,138.7,0.09,0.325,4/8,False
2,12,0.1,3R,"(-1,)",2858,426,0.86,-318.7,-0.13,0.282,1/8,False
2,12,0.1,3R,"(1, -1)",5836,870,0.96,-180.0,-0.05,0.304,4/8,False
2,12,0.25,2R,"(1,)",2978,444,0.98,-38.7,-0.02,0.384,4/8,False
2,12,0.25,2R,"(-1,)",2858,426,0.809,-392.5,-0.14,0.34,1/8,False
2,12,0.25,2R,"(1, -1)",5836,870,0.893,-431.2,-0.1,0.363,2/8,False
2,12,0.25,3R,"(1,)",2978,444,1.089,190.5,0.15,0.335,4/8,False
2,12,0.25,3R,"(-1,)",2858,426,0.847,-341.3,-0.13,0.281,1/8,False
2,12,0.25,3R,"(1, -1)",5836,870,0.966,-150.8,-0.05,0.309,4/8,False
