win_start,win_end,anchor,minor_lb,sl_buf,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
19,22,19:55,3,0.2,1.5,3945,-2638827907674.1562,-130160645019.79948,0.4223067173637516,7.450563607855454e-10,-2638827907688.625,-0.04932517374117377,1/21,"{2006: -30.89, 2007: -2638827906761.38, 2008: -72.82, 2009: -78.83, 2010: -63.23, 2011: -21.6, 2012: -51.33, 2013: -35.22, 2014: -47.87, 2015: -74.36, 2016: -33.04, 2017: -60.16, 2018: -44.46, 2019: -46.16, 2020: -10.47, 2021: -85.34, 2022: -29.85, 2023: -67.05, 2024: -52.81, 2025: -7.9, 2026: 0.63}",194.58781040999745,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.2_RR1.5
19,22,19:55,3,0.2,2.0,3945,-2638827907460.052,-130160645009.23874,0.3726235741444867,9.200041034540479e-10,-2638827907479.8687,-0.0493251737410738,2/21,"{2006: -23.33, 2007: -2638827906749.28, 2008: -63.81, 2009: -74.83, 2010: -46.11, 2011: 5.4, 2012: -44.77, 2013: -16.18, 2014: -25.38, 2015: -56.18, 2016: -18.12, 2017: -50.69, 2018: -28.36, 2019: -40.86, 2020: -11.32, 2021: -75.34, 2022: -22.58, 2023: -62.99, 2024: -52.81, 2025: -8.13, 2026: 5.63}",194.58781040999745,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.2_RR2.0
19,22,19:55,3,0.2,3.0,3945,-2638827907091.8555,-130160644991.0774,0.31254752851711026,1.176328333638352e-09,-2638827907157.504,-0.04932517374021711,5/21,"{2006: 6.87, 2007: -2638827906725.73, 2008: -54.73, 2009: -44.46, 2010: -28.61, 2011: 32.25, 2012: -26.16, 2013: 16.98, 2014: -8.83, 2015: -35.42, 2016: -19.48, 2017: -40.61, 2018: -26.21, 2019: -25.49, 2020: -3.3, 2021: -78.0, 2022: -3.52, 2023: -45.15, 2024: -27.04, 2025: 31.36, 2026: 13.41}",194.58781040999745,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.2_RR3.0
19,22,19:55,3,0.5,1.5,3949,-831.4975114104934,-41.01375921590108,0.4218789566978982,0.7156447670771905,-840.1895106948957,-0.04881489080002894,0/21,"{2006: -24.12, 2007: -53.23, 2008: -61.76, 2009: -53.28, 2010: -31.18, 2011: -3.3, 2012: -186.11, 2013: -19.57, 2014: -25.31, 2015: -50.75, 2016: -16.92, 2017: -51.08, 2018: -28.27, 2019: -22.0, 2020: -6.21, 2021: -65.88, 2022: -31.06, 2023: -49.15, 2024: -36.57, 2025: -11.59, 2026: -4.16}",194.78511110496322,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.5_RR1.5
19,22,19:55,3,0.5,2.0,3949,-697.4066358242289,-34.39970348046621,0.3671815649531527,0.7807932217379653,-717.7116361178122,-0.047929700104262354,3/21,"{2006: -15.1, 2007: -44.05, 2008: -48.26, 2009: -27.78, 2010: -24.87, 2011: 6.2, 2012: -178.46, 2013: -3.5, 2014: -18.98, 2015: -41.32, 2016: -22.06, 2017: -45.78, 2018: -20.27, 2019: -18.03, 2020: -17.9, 2021: -69.99, 2022: -35.91, 2023: -49.25, 2024: -32.57, 2025: 4.64, 2026: 5.84}",194.78511110496322,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.5_RR2.0
19,22,19:55,3,0.5,3.0,3949,-381.31161863236383,-18.808261838672664,0.31299063053937703,0.8888741171272118,-448.78349464495335,-0.04190943308544016,5/21,"{2006: -9.98, 2007: -14.29, 2008: -37.25, 2009: -39.97, 2010: -10.27, 2011: 18.91, 2012: -148.43, 2013: 18.15, 2014: -16.92, 2015: -19.4, 2016: -22.32, 2017: -33.11, 2018: -14.1, 2019: -1.6, 2020: 15.95, 2021: -54.24, 2022: -13.15, 2023: -30.28, 2024: -13.67, 2025: 35.15, 2026: 9.51}",194.78511110496322,False,False,False,False,False,w19-22_anc19:55_ml3_sl0.5_RR3.0
19,22,19:55,3,1.0,1.5,3949,-439.30568278038976,-21.668829128746506,0.42162572803241327,0.8306806218344244,-457.5813620274128,-0.047355139275642895,1/21,"{2006: -1.46, 2007: -25.89, 2008: -29.56, 2009: -31.72, 2010: -22.69, 2011: -4.51, 2012: -21.37, 2013: 4.89, 2014: -18.06, 2015: -28.86, 2016: -22.41, 2017: -29.95, 2018: -22.48, 2019: -9.81, 2020: -8.31, 2021: -74.99, 2022: -14.88, 2023: -39.89, 2024: -32.79, 2025: -1.63, 2026: -2.94}",194.78511110496322,False,False,False,False,False,w19-22_anc19:55_ml3_sl1.0_RR1.5
19,22,19:55,3,1.0,2.0,3949,-234.8150151583123,-11.582291419783612,0.38009622689288425,0.9150463493989026,-276.0010512148689,-0.04196466415182858,7/21,"{2006: -3.37, 2007: -20.98, 2008: -26.13, 2009: -22.95, 2010: -19.34, 2011: 1.67, 2012: 0.5, 2013: 9.85, 2014: -13.42, 2015: -17.35, 2016: -13.95, 2017: -24.8, 2018: -9.92, 2019: 3.92, 2020: 4.8, 2021: -67.81, 2022: -6.89, 2023: -22.53, 2024: -12.0, 2025: 18.83, 2026: 7.06}",194.78511110496322,False,False,False,True,False,w19-22_anc19:55_ml3_sl1.0_RR2.0
19,22,19:55,3,1.0,3.0,3949,-83.06331134091218,-4.0971122634301675,0.3294504937958977,0.9721013707606778,-158.4445920396895,-0.025858328206013265,8/21,"{2006: 6.77, 2007: -5.95, 2008: -22.73, 2009: -9.69, 2010: -7.95, 2011: 10.19, 2012: -8.01, 2013: -0.3, 2014: 20.22, 2015: 4.81, 2016: -6.94, 2017: -21.94, 2018: -11.62, 2019: 16.12, 2020: 14.21, 2021: -78.83, 2022: -2.01, 2023: -14.28, 2024: -17.35, 2025: 33.66, 2026: 18.55}",194.78511110496322,False,False,False,True,False,w19-22_anc19:55_ml3_sl1.0_RR3.0
19,22,19:55,5,0.2,1.5,3561,-2638827907433.54,-130159912614.55849,0.42740803145183937,6.958668219601245e-10,-2638827907450.795,-0.04932489619616679,1/21,"{2006: -22.98, 2007: -2638827906753.49, 2008: -51.78, 2009: -88.53, 2010: -22.98, 2011: -23.39, 2012: -36.21, 2013: -10.4, 2014: -37.75, 2015: -63.87, 2016: -20.21, 2017: -49.64, 2018: -42.78, 2019: -31.97, 2020: -13.38, 2021: -56.66, 2022: -13.89, 2023: -35.71, 2024: -49.8, 2025: -12.7, 2026: 4.57}",175.64595535569845,False,False,False,False,False,w19-22_anc19:55_ml5_sl0.2_RR1.5
