tol,sw,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
0.1,5,2.0,330,-25.575817855898244,-3.819456138960241,0.4121212121212121,0.8990906972420628,-40.70318872878343,-0.0938367793346691,1/8,"{2019: -0.42, 2020: -6.29, 2021: -0.69, 2022: -8.9, 2023: -2.76, 2024: -11.5, 2025: 8.56, 2026: -3.57}",49.28172905196867,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw5_TP2.0R
0.1,5,3.0,330,13.837567970873401,2.0664826529660085,0.34545454545454546,1.0492722096000195,-18.417935380927567,0.11219947351460063,6/8,"{2019: 2.58, 2020: -4.88, 2021: 2.31, 2022: 3.1, 2023: 12.24, 2024: -6.5, 2025: 2.56, 2026: 2.43}",49.28172905196867,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw5_TP3.0R
0.1,5,4.0,330,27.406466825812526,4.092842643580184,0.2909090909090909,1.0898350781688007,-22.0374900095669,0.18572181504351912,5/8,"{2019: 0.58, 2020: -6.33, 2021: 18.31, 2022: 8.1, 2023: 10.24, 2024: -2.5, 2025: 2.56, 2026: -3.55}",49.28172905196867,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw5_TP4.0R
0.1,5,5.0,330,57.40646682581253,8.572999830122791,0.2606060606060606,1.180284967373326,-20.037490009566895,0.4278479902437688,6/8,"{2019: 2.58, 2020: 1.67, 2021: 26.31, 2022: -2.9, 2023: 12.24, 2024: 3.5, 2025: 14.56, 2026: -0.55}",49.28172905196867,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw5_TP5.0R
0.1,10,2.0,329,-15.933863400996124,-2.3795404208453665,0.41641337386018235,0.9357412819640741,-30.79954343299748,-0.07725895112769807,2/8,"{2019: -0.42, 2020: -8.98, 2021: 1.03, 2022: -4.76, 2023: -1.21, 2024: -8.13, 2025: 12.04, 2026: -5.51}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw10_TP2.0R
0.1,10,3.0,329,17.37721695027119,2.5950887800622486,0.3434650455927052,1.0627411361509795,-20.09511914098456,0.12914025350412042,5/8,"{2019: 2.58, 2020: -6.67, 2021: 4.03, 2022: 8.24, 2023: 13.79, 2024: -6.13, 2025: 2.04, 2026: -0.51}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw10_TP3.0R
0.1,10,4.0,329,44.568859487520754,6.655849870967457,0.2978723404255319,1.1499148660400171,-20.924728079532077,0.3180853698872199,5/8,"{2019: 0.58, 2020: -3.5, 2021: 20.03, 2022: 14.24, 2023: 16.79, 2024: -2.13, 2025: 1.04, 2026: -2.49}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw10_TP4.0R
0.1,10,5.0,329,81.56885948752074,12.181377067703336,0.270516717325228,1.2635288686899244,-19.58816397599344,0.621874366716166,8/8,"{2019: 2.58, 2020: 4.5, 2021: 28.03, 2022: 4.24, 2023: 19.79, 2024: 9.87, 2025: 12.04, 2026: 0.51}",49.13239047908392,False,False,False,True,False,H4_ema20_close_london_tol0.1_sw10_TP5.0R
0.1,15,2.0,329,-6.763556046915505,-1.0100598076724066,0.41641337386018235,0.9720262868602079,-26.9033341953402,-0.03754403823476104,2/8,"{2019: -3.12, 2020: -8.87, 2021: 6.68, 2022: -4.52, 2023: -0.35, 2024: -4.51, 2025: 13.24, 2026: -5.3}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw15_TP2.0R
0.1,15,3.0,329,30.64982977985613,4.577201838484334,0.3465045592705167,1.1137269065007236,-20.259607480190724,0.22592746887913764,4/8,"{2019: -1.12, 2020: -7.46, 2021: 10.68, 2022: 8.48, 2023: 14.65, 2024: -1.51, 2025: 11.24, 2026: -4.3}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw15_TP3.0R
0.1,15,4.0,329,57.80480804679661,8.632487539585723,0.3009118541033435,1.199446535016342,-19.7817035362206,0.4363874690458032,6/8,"{2019: 0.88, 2020: -5.29, 2021: 27.68, 2022: 14.48, 2023: 17.65, 2024: 3.49, 2025: 6.2, 2026: -7.28}",49.13239047908392,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw15_TP4.0R
0.1,15,5.0,329,86.97654519136469,12.988953133324676,0.270516717325228,1.2868539488146775,-19.58816397599344,0.6631021237745139,7/8,"{2019: 2.88, 2020: 1.71, 2021: 30.68, 2022: 4.22, 2023: 20.65, 2024: 14.92, 2025: 17.2, 2026: -5.28}",49.13239047908392,False,False,False,True,False,H4_ema20_close_london_tol0.1_sw15_TP5.0R
0.1,20,2.0,328,2.115398597341743,0.3159106076094253,0.42073170731707316,1.0089578281387404,-23.850110336541274,0.013245666504335276,3/8,"{2019: -3.12, 2020: -9.86, 2021: 7.04, 2022: -4.34, 2023: 6.71, 2024: -3.24, 2025: 10.91, 2026: -1.98}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw20_TP2.0R
0.1,20,3.0,328,48.13105715138613,7.187823386422515,0.3567073170731707,1.1840189946207882,-18.850110336541274,0.3813146585401568,5/8,"{2019: -1.12, 2020: -5.45, 2021: 11.04, 2022: 8.66, 2023: 23.71, 2024: -0.24, 2025: 7.52, 2026: 4.02}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw20_TP3.0R
0.1,20,4.0,328,66.75926406521403,9.969733222335472,0.3048780487804878,1.2350906942785111,-19.495157212243278,0.5113953744407004,6/8,"{2019: 0.88, 2020: -8.28, 2021: 28.04, 2022: 13.7, 2023: 23.71, 2024: -0.85, 2025: 6.52, 2026: 3.05}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw20_TP4.0R
0.1,20,5.0,328,78.02894910458397,11.652731902975638,0.2652439024390244,1.2596052294380826,-22.896347274059195,0.5089341004264815,7/8,"{2019: 2.88, 2020: -8.28, 2021: 31.04, 2022: 2.7, 2023: 27.71, 2024: 9.42, 2025: 11.52, 2026: 1.05}",48.98305190619916,False,False,False,True,False,H4_ema20_close_london_tol0.1_sw20_TP5.0R
0.1,30,2.0,328,6.001290534728337,0.8962241639231093,0.42073170731707316,1.0260473918284032,-22.954522740762634,0.03904346755733652,4/8,"{2019: -3.12, 2020: -7.97, 2021: 8.5, 2022: -9.22, 2023: 4.74, 2024: 3.87, 2025: 13.04, 2026: -3.83}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw30_TP2.0R
0.1,30,3.0,328,44.92972579379621,6.709741130148826,0.35365853658536583,1.174852047604457,-17.795531060125356,0.37704641167935793,6/8,"{2019: -1.12, 2020: -7.56, 2021: 12.5, 2022: 5.21, 2023: 20.74, 2024: 4.87, 2025: 9.13, 2026: 1.17}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw30_TP3.0R
0.1,30,4.0,328,52.69805153933628,7.869851810691669,0.29878048780487804,1.1880554382042694,-18.63967518126153,0.42220970774229116,6/8,"{2019: 0.88, 2020: -11.39, 2021: 26.68, 2022: 9.21, 2023: 24.74, 2024: 0.27, 2025: 3.13, 2026: -0.81}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw30_TP4.0R
0.1,30,5.0,328,71.8899314411755,10.735939766207924,0.2682926829268293,1.2451223262532964,-26.130707224897858,0.41085530804074477,7/8,"{2019: 2.88, 2020: -12.39, 2021: 28.68, 2022: 1.83, 2023: 27.32, 2024: 10.54, 2025: 10.85, 2026: 2.19}",48.98305190619916,False,False,False,True,False,H4_ema20_close_london_tol0.1_sw30_TP5.0R
0.1,50,2.0,328,23.14469153187909,3.4563952032286633,0.4298780487804878,1.1058998598138656,-19.4214177416894,0.17796822297937986,4/8,"{2019: -0.98, 2020: -4.33, 2021: 13.52, 2022: -8.79, 2023: 6.26, 2024: 7.02, 2025: 11.06, 2026: -0.61}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw50_TP2.0R
0.1,50,3.0,328,52.22056457258944,7.798544588506626,0.3567073170731707,1.2124706155047091,-15.252992059579718,0.5112796596264345,7/8,"{2019: 1.02, 2020: -3.91, 2021: 8.62, 2022: 5.64, 2023: 25.26, 2024: 7.1, 2025: 7.11, 2026: 1.39}",48.98305190619916,False,False,False,True,False,H4_ema20_close_london_tol0.1_sw50_TP3.0R
0.1,50,4.0,328,57.64553856957757,8.608702463153731,0.3079268292682927,1.2160157115785255,-18.494653804172906,0.4654697813922513,6/8,"{2019: 3.02, 2020: -11.34, 2021: 22.62, 2022: 9.64, 2023: 26.42, 2024: 2.77, 2025: 10.11, 2026: -5.59}",48.98305190619916,False,False,False,False,False,H4_ema20_close_london_tol0.1_sw50_TP4.0R
