tf,direction,session,swing,atr_mult,retest_prox,wait,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
M5,long,all,5,1.2,0.25,5,2.0,964,60.86453662817106,9.071650287759073,0.38900414937759337,1.0973858373576335,-40.03955219881507,0.22656722639439356,6/8,"{2019: -1.09, 2020: 1.14, 2021: -11.02, 2022: 9.87, 2023: 14.18, 2024: 21.7, 2025: 18.09, 2026: 7.99}",143.6808914002658,False,False,False,False,False,long_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR2.0
M5,long,all,5,1.2,0.25,5,3.0,964,116.00865013092172,17.2906911420668,0.3350622406639004,1.1710729587754047,-42.542384918809006,0.4064344576606511,7/8,"{2019: 2.55, 2020: 5.25, 2021: -4.81, 2022: 12.77, 2023: 16.31, 2024: 50.21, 2025: 20.03, 2026: 13.71}",143.6808914002658,False,False,False,True,False,long_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR3.0
M5,long,all,5,1.2,0.25,5,4.0,964,167.04681996794415,24.897755185242676,0.3112033195020747,1.2390093709673287,-43.7498881050704,0.5690930026026089,7/8,"{2019: 2.51, 2020: 19.67, 2021: -9.46, 2022: 43.41, 2023: 23.88, 2024: 40.3, 2025: 30.4, 2026: 16.34}",143.6808914002658,False,False,False,True,False,long_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR4.0
M5,long,london,5,1.2,0.25,5,2.0,425,24.32325473818532,3.629324128977848,0.3811764705882353,1.0886863500367137,-33.465169837586366,0.10845079067555118,4/8,"{2019: -4.51, 2020: -5.42, 2021: -9.99, 2022: 13.42, 2023: 7.34, 2024: 13.39, 2025: 10.5, 2026: -0.43}",63.41514618082989,False,False,False,False,False,long_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR2.0
M5,long,london,5,1.2,0.25,5,3.0,425,43.47261765661327,6.486640949546957,0.3247058823529412,1.146158907982752,-36.2061849082042,0.17915836661589568,5/8,"{2019: 0.13, 2020: -2.99, 2021: -6.47, 2022: 18.28, 2023: -0.83, 2024: 18.06, 2025: 13.73, 2026: 3.57}",63.41514618082989,False,False,False,False,False,long_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR3.0
M5,long,london,5,1.2,0.25,5,4.0,425,70.71628029372543,10.551725299273267,0.3058823529411765,1.2323576779674497,-40.297967538833404,0.26184261747456683,6/8,"{2019: 4.13, 2020: 9.18, 2021: -10.24, 2022: 25.38, 2023: -4.82, 2024: 23.45, 2025: 20.44, 2026: 3.2}",63.41514618082989,False,False,False,False,False,long_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR4.0
M5,long,ny,5,1.2,0.25,5,2.0,342,15.350968743664485,2.2893651135092954,0.391812865497076,1.071958820160329,-14.190300480889674,0.16133309626476364,4/8,"{2019: -2.45, 2020: 4.28, 2021: -0.89, 2022: -1.02, 2023: 4.02, 2024: -4.08, 2025: 6.9, 2026: 8.6}",51.004134129536055,False,False,False,False,False,long_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR2.0
M5,long,ny,5,1.2,0.25,5,3.0,342,23.078778657425303,3.4418512344713283,0.3391812865497076,1.0996102722666299,-19.415151125672892,0.17727656159833474,5/8,"{2019: 0.19, 2020: -2.74, 2021: -1.7, 2022: 0.01, 2023: 8.58, 2024: -2.83, 2025: 8.11, 2026: 13.46}",51.004134129536055,False,False,False,False,False,long_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR3.0
M5,long,ny,5,1.2,0.25,5,4.0,342,37.92115941492892,5.655368132007467,0.3216374269005848,1.159259440789123,-24.878437028629087,0.22732007342340282,5/8,"{2019: 2.19, 2020: -0.06, 2021: -7.2, 2022: 6.77, 2023: 11.69, 2024: -1.59, 2025: 11.91, 2026: 14.21}",51.004134129536055,False,False,False,False,False,long_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR4.0
M5,long,london_ny,5,1.2,0.25,5,2.0,547,32.65131515252923,4.869450460658929,0.3875685557586837,1.0940301435982507,-29.04390267023186,0.16765826948076798,6/8,"{2019: -5.56, 2020: 1.29, 2021: -12.29, 2022: 11.94, 2023: 10.79, 2024: 12.61, 2025: 12.41, 2026: 1.47}",81.57678762823457,False,False,False,False,False,long_M5_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR2.0
