system,seed,bias_mode,total_trades,wins,losses,win_rate,profit_factor,total_pnl,max_drawdown_pct
gold-macro,42,production,2242,1469,773,65.52,3.5315,427597.9000,-13.7471
gold-macro,42,neutral,2863,1913,950,66.82,3.5278,660851.5500,-13.6349
gold-macro,7,production,2242,1469,773,65.52,3.5314,427651.3000,-13.7476
gold-macro,7,neutral,2863,1913,950,66.82,3.5278,660834.3200,-13.6358
gold-macro,1337,production,2242,1469,773,65.52,3.5315,427606.0600,-13.7471
gold-macro,1337,neutral,2863,1913,950,66.82,3.5278,660850.1500,-13.6356
gold-macro,2024,production,2242,1469,773,65.52,3.5315,427608.7600,-13.7476
gold-macro,2024,neutral,2863,1913,950,66.82,3.5267,660576.2200,-13.6338
gold-macro,99,production,2242,1469,773,65.52,3.5314,427653.3300,-13.7472
gold-macro,99,neutral,2863,1913,950,66.82,3.5278,660858.0500,-13.6354
gold-micro,42,production,1784,1375,409,77.07,5.3498,390097.4300,-9.4438
gold-micro,42,neutral,2286,1809,477,79.13,5.6227,575686.5300,-9.5463
gold-micro,7,production,1784,1375,409,77.07,5.3497,390125.9000,-9.4413
gold-micro,7,neutral,2286,1809,477,79.13,5.6226,575667.7900,-9.5458
gold-micro,1337,production,1784,1375,409,77.07,5.3522,390601.8500,-9.4407
gold-micro,1337,neutral,2286,1809,477,79.13,5.6192,575385.5100,-9.5458
gold-micro,2024,production,1784,1375,409,77.07,5.3522,390587.2100,-9.4412
gold-micro,2024,neutral,2286,1809,477,79.13,5.6217,575567.8900,-9.5468
gold-micro,99,production,1784,1375,409,77.07,5.3497,390301.0900,-9.4426
gold-micro,99,neutral,2286,1809,477,79.13,5.6195,574902.0600,-9.5468
oil-macro,42,production,1656,1038,618,62.68,5.4298,1006056.7600,-11.8737
oil-macro,42,neutral,2442,1548,894,63.39,5.0545,2002591.8400,-12.3697
oil-macro,7,production,1656,1036,620,62.56,5.4083,994179.1300,-11.8878
oil-macro,7,neutral,2439,1546,893,63.39,5.0434,1994883.9000,-12.3803
oil-macro,1337,production,1654,1034,620,62.52,5.3729,986522.7400,-11.8750
oil-macro,1337,neutral,2439,1546,893,63.39,5.0428,1994498.4700,-12.3976
oil-macro,2024,production,1654,1033,621,62.45,5.3733,984344.6000,-11.8993
oil-macro,2024,neutral,2442,1548,894,63.39,5.0594,2004459.2000,-12.3935
oil-macro,99,production,1656,1035,621,62.50,5.3989,990701.2900,-11.9051
oil-macro,99,neutral,2442,1548,894,63.39,5.0584,1998728.4300,-12.3997
oil-micro,42,production,4504,3600,904,79.93,7.5611,3711942.0400,-9.3819
oil-micro,42,neutral,6128,4929,1199,80.43,7.6231,5873415.6900,-7.0508
oil-micro,7,production,4496,3593,903,79.92,7.6152,3715062.9800,-9.3955
oil-micro,7,neutral,6134,4947,1187,80.65,7.7427,5926753.8100,-7.0130
oil-micro,1337,production,4500,3599,901,79.98,7.6214,3728835.4500,-9.3980
oil-micro,1337,neutral,6123,4932,1191,80.55,7.6166,5880613.5900,-7.0526
oil-micro,2024,production,4499,3594,905,79.88,7.5763,3706870.9400,-9.3882
oil-micro,2024,neutral,6134,4945,1189,80.62,7.7266,5918325.3300,-7.0690
oil-micro,99,production,4500,3597,903,79.93,7.6035,3716489.2900,-9.3900
oil-micro,99,neutral,6138,4946,1192,80.58,7.6741,5883455.9300,-7.0514
